브레이크 유형,수준,간격,시도 번호,선두 차량 감속률,실험 차량 평균 감속률,선두 차량 평균 속도,실험 차량 평균 속도,브레이크 평균 세기,반응 시간,Reaction_Duration,충돌여부,최소 안전 거리 유지,block_id,GSR_avg,GSR_std,GSR_max,GSR_min,GSR_range,GSR_peaks,GSR_Z_avg,GSR_Z_std,GSR_Z_max,GSR_Z_min,GSR_Z_range,GSR_Z_peaks,SCR_avg,SCR_std,SCR_max,SCR_min,SCR_range,SCR_peaks,SCR_Z_avg,SCR_Z_std,SCR_Z_max,SCR_Z_min,SCR_Z_range,SCR_Z_peaks,PPG_avg,PPG_std,PPG_max,PPG_min,PPG_range,PPG_peaks
기본제동등A,수준3,20,1,-2,0.5187389141592917,87.32743362831859,90.81858407079646,0.062478387610619475,1396.0,3095.0,False,True,78,4.5675578776624075,0.15017528800303348,4.786154611938584,4.423683169327768,0.36247144261081576,0,-0.5222196249706144,0.4872093647820351,0.1865153136395664,-0.985343831571488,1.1718591452110543,3,0.012298967002799742,0.029712401503224115,0.0816837053770864,-0.015315694758204,0.0969994001352904,4,0.41121480444521974,0.9790457615740665,2.7000274930175028,-0.5066966773029381,3.2067241703204408,3,1396.7032967032965,41.93672628420423,1493.040293040293,1323.076923076923,169.96336996336981,6
기본제동등A,수준3,20,2,-2,-0.011574045889380918,87.35840707964601,90.26991150442478,0.04328570814159292,1549.0,2941.0,False,True,82,4.504902762742484,0.052512181251768035,4.581945348495872,4.433893632499904,0.148051715995968,0,-0.6530916998562493,0.18939036663396075,-0.3744811003387678,-0.907705255600567,0.5332241552617992,1,-0.0044090636425130275,0.010124461271285861,0.02552615793034,-0.020420926344272,0.045947084274612,5,-0.1432237067564314,0.33856766941910554,0.8572950101288835,-0.6799673486508924,1.5372623587797758,1,1396.8364968364965,50.682693399026086,1503.2967032967033,1315.7509157509155,187.5457875457878,5
기본제동등A,수준3,20,3,-2,-2.013066008849558,87.33628318584071,79.65486725663717,0.005202761858407081,1801.0000000000002,2714.0,False,True,96,3.9669055582099064,0.01382206908609332,3.987545787545788,3.947985347985348,0.039560439560439864,1,-1.1272533765020543,0.036660188718008635,-1.0710281521625864,-1.1754694539736732,0.1044413018110868,2,-0.00031852205765245644,0.004460756399708955,0.0087912087912092,-0.0058608058608058,0.014652014652015,5,-0.002297576360061107,0.17028763884387732,0.3455252825920848,-0.2137084883992646,0.5592337709913494,4,1411.4030896639592,65.06993812483863,1543.5897435897434,1309.1575091575091,234.43223443223428,5
기본제동등A,수준3,20,4,-2,-1.646009705619469,87.35840707964601,83.41592920353982,0.049795981327433625,1500.0,2982.0,False,True,101,4.03768115942029,0.0939153061553945,4.175091575091575,3.8981684981684985,0.2769230769230768,0,-0.5523115952657863,0.2071479173673031,-0.2509334155884375,-0.8598184684045883,0.6088850528161508,1,-0.003822264691829926,0.03199968752228991,0.0981684981684991,-0.032234432234433,0.1304029304029321,2,-0.1438968146017335,1.262024648003184,3.877205155513282,-1.2661950168177076,5.143400172330989,2,1410.097149227584,70.6190477042846,1545.054945054945,1295.970695970696,249.084249084249,5
기본제동등A,수준3,20,1,-4,-1.0824165619469026,74.55309734513274,78.97787610619469,0.1435260694690265,1225.0,3269.0,False,True,76,4.892900363283639,0.08335184057960313,5.020995264897705,4.765733685594314,0.255261579303391,0,0.4234774870323049,0.245694307674208,0.8028402351709364,0.047956568680035,0.7548836664909014,2,0.0034808397177734864,0.03207181408826526,0.0765784737910166,-0.0408418526885432,0.1174203264795598,2,0.10198051942191534,1.0330243273140214,2.4579982092481947,-1.323936071125471,3.7819342803736657,3,1414.6520146520147,38.859091779835246,1476.190476190476,1337.7289377289376,138.46153846153834,5
기본제동등A,수준3,20,2,-4,-2.052069913716814,74.50442477876106,81.47345132743362,0.07266044553097345,1372.0,3105.0,False,True,86,4.589835251856159,0.22597280526892852,4.791259843524652,4.183737284782582,0.6075225587420698,0,-0.13474029309468302,0.7870863599607593,0.5669339081663827,-1.5504612178688242,2.117395126035207,1,0.02111709428782593,0.04228400690684316,0.1072098633074229,-0.0357366211024761,0.142946484409899,2,0.7174666040378218,1.4324487094707445,3.632775168240945,-1.206022667166573,4.838797835407518,3,1420.2464202464198,49.30558460051879,1542.857142857143,1350.18315018315,192.67399267399287,6
기본제동등A,수준3,20,3,-4,-2.819929203539823,74.58407079646018,75.72566371681415,0.10173553946902655,1418.0,3074.0,False,True,90,4.440361295019681,0.23305122548075705,4.775944148766449,4.1531135531135535,0.6228305956528954,1,-0.26100417151998345,0.7018976512147257,0.7499711925194953,-1.1247926947572875,1.874763887276783,2,0.01509827848261423,0.05529749003664902,0.1415144669500074,-0.0510523158606783,0.1925667828106857,2,0.5507720579919713,2.0042062556408164,5.109382245210736,-1.8370485790642144,6.946430824274951,2,1377.8308647873864,39.74698398693675,1470.3296703296703,1319.4139194139193,150.915750915751,5
기본제동등A,수준3,20,4,-4,-2.6269768561946907,74.56194690265487,75.42035398230088,0.12298926132743364,1240.0,3265.0,False,True,100,4.021436534480013,0.1452286096496518,4.24981684981685,3.87032967032967,0.3794871794871799,1,-0.6130542031015186,0.3205597592924642,-0.1089909190368284,-0.9456263160986847,0.8366353970618563,1,0.010383819079471255,0.029473082280718852,0.07032967032967,-0.0205128205128204,0.0908424908424904,5,0.4175655515179254,1.1627687075969453,2.784738067363716,-0.8031533392970711,3.5878914066607868,2,1407.166746297181,34.86591546637091,1476.923076923077,1339.92673992674,136.99633699633682,5
기본제동등A,수준3,20,1,-6,-5.260425130088495,61.610619469026545,66.85840707964601,0.3876216138495575,1191.0,3304.0,False,False,74,4.84370449527244,0.33151331381847987,5.306888233717502,4.525787801049124,0.7811004326683779,1,0.2741668517219277,0.8630950824339634,1.4807297841528653,-0.553880513999839,2.034610298152704,2,0.027846717742188155,0.060728191202207085,0.1582621791681013,-0.0408418526885423,0.1991040318566436,1,0.8847506873330597,1.9324628431969832,5.081798192485703,-1.2930558300373391,6.374854022523042,3,1364.235764235764,42.991710663880426,1458.6080586080584,1302.5641025641023,156.0439560439561,6
기본제동등A,수준3,20,2,-6,-3.73706746681416,61.676991150442475,70.09734513274336,0.2846263888938053,1310.0,3177.0,False,False,84,4.561968355332997,0.19528254318095895,4.898469706832075,4.387946548225294,0.5105231586067811,2,-0.29117346674893385,0.6947632653658783,0.9056057608075312,-0.9083907436004428,1.813996504407974,2,0.017091427483792273,0.03880735290507287,0.0969994001352878,-0.0204209263442711,0.1174203264795589,4,0.5887159399809996,1.3288240299194503,3.323268690091153,-0.7004970439754133,4.023765734066567,5,1414.174231565536,53.20893920673993,1510.6227106227104,1313.5531135531137,197.06959706959674,6
