브레이크 유형,수준,간격,시도 번호,선두 차량 감속률,실험 차량 평균 감속률,선두 차량 평균 속도,실험 차량 평균 속도,브레이크 평균 세기,반응 시간,Reaction_Duration,충돌여부,최소 안전 거리 유지,block_id,GSR_avg,GSR_std,GSR_max,GSR_min,GSR_range,GSR_peaks,GSR_Z_avg,GSR_Z_std,GSR_Z_max,GSR_Z_min,GSR_Z_range,GSR_Z_peaks,SCR_avg,SCR_std,SCR_max,SCR_min,SCR_range,SCR_peaks,SCR_Z_avg,SCR_Z_std,SCR_Z_max,SCR_Z_min,SCR_Z_range,SCR_Z_peaks,PPG_avg,PPG_std,PPG_max,PPG_min,PPG_range,PPG_peaks
기본제동등A,수준2,20,1,-2,-1.7938293269911503,87.38053097345133,89.91592920353982,0.05697928942477876,2321.0,2152.0,False,True,52,3.964368964368965,0.01630724667697607,3.994871794871795,3.936263736263737,0.058608058608057956,0.0,-0.7445824540425435,0.0219521038101467,-0.7018932398354611,-0.782599422995468,0.08070618316000688,1.0,-0.0028638028638028087,0.0018903382685674962,0.0014652014652005,-0.0058608058608058,0.0073260073260063,6.0,-0.13657532006673834,0.070836900415626,0.0257456025897726,-0.2484887944387541,0.2742343970285267,7.0,1405.927405927406,66.62502426300597,1500.3663003663005,1307.6923076923076,192.67399267399287,4.0
기본제동등A,수준2,20,2,-2,-1.0139363620265485,87.38053097345133,85.84070796460178,0.0372250028761062,1381.0,3113.0,False,True,59,4.192787468048793,0.04670876573474414,4.265420990159667,4.142895432094039,0.12252555806562793,1.0,0.5230762358362006,0.07774301814863173,0.6447596287543887,0.4391563996110457,0.20560322914334306,2.0,0.0018564478494791585,0.01255923085218426,0.0306313895164063,-0.015315694758204,0.045947084274610306,1.0,0.06550314699612049,0.5831797486282527,1.3998974602396108,-0.7348390223192547,2.1347364825588655,3.0,1374.6586746586747,70.34408069811562,1488.6446886446886,1278.3882783882782,210.2564102564104,4.0
기본제동등A,수준2,20,3,-2,-1.7273792597345137,87.40707964601769,84.53539823008849,0.054007623716814154,1998.0,2500.0,False,True,63,3.2280386280386284,0.006403377508394939,3.2402930402930408,3.2153846153846155,0.024908424908425264,0.0,-1.010365422443367,0.008655068852879115,-0.9941340747632752,-1.0272785690400312,0.03314449427675603,2.0,-0.0011988011988011726,0.0016697520360386233,0.0029304029304029,-0.0043956043956048,0.0073260073260077,4.0,-0.05189688985049657,0.09146110660337921,0.1742379267469078,-0.2272548682568927,0.40149279500380053,5.0,1395.5377955377953,71.88911149623299,1523.8095238095236,1293.7728937728937,230.03663003662996,3.0
기본제동등A,수준2,20,4,-2,0.2309846122566374,87.32743362831859,89.61504424778761,0.033227100929203536,1506.0,2977.9999999999995,False,True,73,2.9867494824016565,0.026126336345929667,3.0249084249084253,2.961904761904762,0.06300366300366322,0.0,-1.1350363553087732,0.05363232243408164,-1.0572484265998348,-1.1866300040985525,0.1293815774987177,2.0,0.0021659499920369347,0.005111424239475516,0.0175824175824175,-0.0029304029304038,0.0205128205128213,3.0,0.15858979281608904,0.3373275486120553,1.1762019739011824,-0.1788722878307433,1.3550742617319258,4.0,1403.2489249880553,92.94974265548856,1584.6153846153843,1290.10989010989,294.5054945054942,2.0
기본제동등A,수준2,20,1,-6,-3.6440346765486726,61.57964601769911,68.33628318584071,0.3121029050884956,1120.0,3372.0,False,True,56,3.1304029304029313,0.0036734544792851546,3.137728937728938,3.1260073260073256,0.011721611721612568,1.0,-1.273287145430612,0.010485808162438272,-1.2561927578190724,-1.2832712491130938,0.0270784912940214,2.0,-0.0005994005994005816,0.0012513860431839134,0.0014652014652023,-0.0029304029304029,0.0043956043956052005,4.0,0.0024933137588610595,0.06712511589329155,0.113438456056033,-0.121954270242837,0.23539272629887,4.0,1410.8225108225106,70.0062085366668,1528.937728937729,1308.4249084249084,220.51282051282055,4.0
기본제동등A,수준2,20,2,-6,-1.1152080787610619,61.73451327433628,66.90265486725664,0.31541548061946906,1016.9999999999999,3469.0,False,True,58,3.963902763902764,0.02295539650446203,4.012454212454212,3.926007326007327,0.08644688644688525,1.0,0.1926420904336969,0.038804783066041085,0.2744865803525905,0.1284790247520982,0.1460075556004923,2.0,-0.0042624042624042,0.0035864055621226917,0.0043956043956043,-0.0087912087912083,0.0131868131868126,5.0,-0.21761005647723738,0.172156222569921,0.1982012541967347,-0.435163830343764,0.6333650845404987,5.0,1380.3196803196804,78.33243981979524,1515.018315018315,1271.062271062271,243.9560439560439,4.0
기본제동등A,수준2,20,3,-6,-3.8735734570796465,61.61946902654867,67.36725663716814,0.24303589632743364,1102.0,3536.0,False,True,67,3.3264735264735266,0.00683715376091835,3.33992673992674,3.3179487179487177,0.021978021978022344,1.0,-0.7456813829565102,0.011951538690781778,-0.7225325935309607,-0.7617445008968177,0.039211907365857,2.0,-0.00066600066600065,0.0016753086305516098,0.0029304029304033,-0.0029304029304033,0.0058608058608066,5.0,-0.029272809138724907,0.0961999109423455,0.1774756700462223,-0.1593014104546333,0.33677708050085564,5.0,1367.8987678987678,41.76016126491642,1447.6190476190477,1299.6336996336995,147.9853479853482,4.0
기본제동등A,수준2,20,4,-6,-2.9600121345132746,61.703539823008846,65.32743362831859,0.20222663066371682,1040.0,3460.0,False,True,69,3.2004140786749486,0.008428023825545868,3.2139194139194145,3.187545787545788,0.02637362637362628,0.0,-0.885650563472939,0.01758397657570137,-0.8569444451015348,-0.9111135691019232,0.054169124000388424,1.0,-6.370441153046521e-05,0.002912977188599062,0.0073260073260077,-0.0029304029304033,0.010256410256411,3.0,0.0077087175869948055,0.17771048014410676,0.458504421062588,-0.1677957226568189,0.6263001437194069,4.0,1410.6067845198281,73.79818012521031,1565.5677655677655,1302.5641025641023,263.0036630036632,4.0
기본제동등A,수준2,40,1,-2,-1.5719972030090712e-17,87.38053097345133,100.0,0.0,2500.0,0.0,False,True,54,3.4131231087752836,0.01434563633181858,3.4366300366300373,3.38974358974359,0.046886446886447164,0.0,-1.296848703653922,0.007315943983985785,-1.2844365835746256,-1.3087417178745215,0.024305134299895892,9.0,-0.0021022455805063864,0.0007426663763657583,-0.0014652014652005,-0.0029304029304033,0.0014652014652027999,7.0,-0.07855849033502832,0.034233288003489376,-0.0482908581911003,-0.1171008596233276,0.06881000143222729,9.0,1387.86430960344,80.68405211841369,1526.739926739927,1286.4468864468863,240.29304029304058,4.0
기본제동등A,수준2,40,2,-2,0.0,87.34955752212389,100.0,0.0,2500.0,0.0,False,True,62,3.3621595795508843,0.00889770300836765,3.373626373626373,3.348717948717948,0.024908424908425264,0.0,-0.8850340052309774,0.018175755255627007,-0.8594584534107614,-0.9101018805962434,0.05064342718548198,1.0,-6.370441153046091e-05,0.002979222408944657,0.0073260073260073,-0.0029304029304033,0.0102564102564106,4.0,0.006805046884359247,0.15388895593619872,0.3886376359464316,-0.1421589504124761,0.5307965863589077,5.0,1385.1568721133935,69.99351390945446,1510.6227106227104,1289.3772893772891,221.2454212454213,3.0
