브레이크 유형,수준,간격,감속률,시도 번호,Accel_Min,Accel_Max,Accel_Mean,Reaction_Duration,Reaction_Start_Time,block_id
밝기변화제동등B,수준3,20.0,-6.0,4,-7.677078,2.798986,-2.0087488751381217,3606.0,906.0,63.0
밝기변화제동등B,수준3,40.0,-2.0,1,-0.3699303,-0.3619194,-0.3659787391304349,1354.0,3137.0,43.0
밝기변화제동등B,수준3,40.0,-2.0,2,-7.677078,-4.001617,-6.506593548387096,1216.0,3281.0,50.0
밝기변화제동등B,수준3,40.0,-2.0,3,-7.055473,-6.962109,-7.0077271551724145,1146.0,3339.0,56.0
밝기변화제동등B,수준3,40.0,-2.0,4,-4.334259,-4.246426,-4.290138224719101,1722.9999999999998,2750.0,69.0
밝기변화제동등B,수준3,40.0,-4.0,1,-7.677078,0.2087355,-7.5747444837398366,2439.0,2067.0,39.0
밝기변화제동등B,수준3,40.0,-4.0,2,-7.677078,-3.858662,-6.585507724770643,2157.0,2317.0,53.0
밝기변화제동등B,수준3,40.0,-4.0,3,-7.677078,-0.3703117,-7.598510620430111,1854.0,2647.0000000000005,58.0
밝기변화제동등B,수준3,40.0,-4.0,4,-7.677078,-0.3691673,-5.741863592380953,2089.0,2413.0,64.0
밝기변화제동등B,수준3,40.0,-6.0,1,-7.677078,-0.3714561,-7.307333208148148,2673.0,1792.0,36.0
밝기변화제동등B,수준3,40.0,-6.0,2,-7.677078,0.6024361,-5.614836453846154,3377.0,1119.0,47.0
밝기변화제동등B,수준3,40.0,-6.0,3,-7.677078,3.931189,-3.9443842528735633,3477.9999999999995,1014.0,54.0
밝기변화제동등B,수준3,40.0,-6.0,4,-7.677078,4.37541,-4.156813045962734,3204.0,1289.0,70.0
밝기변화제동등B,수준3,60.0,-2.0,1,-0.3698349,-0.3675461,-0.3687381769230769,502.0,3982.0,48.0
밝기변화제동등B,수준3,60.0,-2.0,2,-7.677078,-0.2848625,-5.243072017543859,1100.0,3379.0,61.0
밝기변화제동등B,수준3,60.0,-2.0,3,-7.677078,-7.677078,-7.677077999999999,714.0,3775.0,68.0
밝기변화제동등B,수준3,60.0,-4.0,1,-0.3699303,-0.3629684,-0.36683082678571427,1100.0,3186.0,44.0
밝기변화제동등B,수준3,60.0,-4.0,2,-7.677078,-0.3703117,-7.457980532432432,749.0,3770.0,46.0
밝기변화제동등B,수준3,60.0,-4.0,3,-7.677078,-3.942728,-7.571549610389612,1525.0,2977.9999999999995,55.0
밝기변화제동등B,수준3,60.0,-4.0,4,-7.677078,-0.2681732,-4.0762721225,1550.0,2925.0,71.0
밝기변화제동등B,수준3,60.0,-6.0,1,-7.677078,-0.3680229,-6.677949032307693,2600.0,1913.0,41.0
밝기변화제동등B,수준3,60.0,-6.0,2,-7.677078,1.516104,-5.312756865030675,3264.0000000000005,1397.0,49.0
밝기변화제동등B,수준3,60.0,-6.0,3,-7.677078,2.714443,-5.569308660493827,3227.0,1277.0000000000002,57.0
밝기변화제동등B,수준3,60.0,-6.0,4,-7.677078,-0.2408028,-3.111758696621622,2939.0,1554.0,65.0
점멸주파수변화제동등C,수준3,20.0,-2.0,1,-7.677078,4.950237,-3.702682847368421,2627.0,1837.0,72.0
점멸주파수변화제동등C,수준3,20.0,-2.0,2,-7.677078,-0.3704071,-7.594576803296703,1960.9999999999998,2669.0,85.0
점멸주파수변화제동등C,수준3,20.0,-2.0,3,-7.677078,4.127693,-2.6708956380530973,2229.0,2257.0,96.0
점멸주파수변화제동등C,수준3,20.0,-2.0,4,-7.677078,5.542278,-0.6584929643750002,3208.0,1297.0,102.0
점멸주파수변화제동등C,수준3,20.0,-4.0,1,-7.677078,5.000591,-2.6414901637426897,3366.0,1117.0,80.0
점멸주파수변화제동등C,수준3,20.0,-4.0,2,-7.677078,4.754066,-4.162247832,2981.0,1528.0,84.0
점멸주파수변화제동등C,수준3,20.0,-4.0,3,-7.677078,3.36256,-2.170487637572255,3434.0,1044.0,91.0
점멸주파수변화제동등C,수준3,20.0,-4.0,4,-7.677078,2.470589,-2.1108402113793105,3464.0,1031.0,103.0
점멸주파수변화제동등C,수준3,20.0,-6.0,1,-7.677078,6.710148,-4.6640418662983425,3594.0,875.0,75.0
점멸주파수변화제동등C,수준3,20.0,-6.0,2,-7.677078,3.603363,-3.8860719682065206,3681.0,833.0,82.0
점멸주파수변화제동등C,수준3,20.0,-6.0,3,-7.677078,5.827761,-3.473901137569061,3608.0,875.0,98.0
점멸주파수변화제동등C,수준3,20.0,-6.0,4,-7.677078,6.993484,-3.2486175326086957,3638.0,838.0,101.0
점멸주파수변화제동등C,수준3,40.0,-2.0,1,-7.677078,-0.2426147,-4.758048825316456,1577.0,2927.0,77.0
점멸주파수변화제동등C,수준3,40.0,-2.0,2,-7.677078,-0.368309,-5.0216367151785715,2214.0,2276.0,88.0
점멸주파수변화제동등C,수준3,40.0,-2.0,3,-7.677078,6.320858,-2.9807258548387097,2435.0,2037.9999999999998,94.0
점멸주파수변화제동등C,수준3,40.0,-2.0,4,-7.677078,5.906105,-3.862166108108107,2195.0,2293.0,99.0
점멸주파수변화제동등C,수준3,40.0,-4.0,1,-7.677078,5.587006,-3.3471799507042252,2815.0,1680.0000000000002,76.0
점멸주파수변화제동등C,수준3,40.0,-4.0,2,-7.677078,7.299137,-3.803156440251573,3183.0,1305.0,86.0
점멸주파수변화제동등C,수준3,40.0,-4.0,3,-7.677078,-0.25177,-3.0125072121428573,2781.0,1710.9999999999998,95.0
점멸주파수변화제동등C,수준3,40.0,-4.0,4,-7.677078,5.006838,-5.511361362962963,2677.0,1827.0,105.0
점멸주파수변화제동등C,수준3,40.0,-6.0,1,-7.677078,2.060127,-3.780685509039548,3502.0,994.0,78.0
점멸주파수변화제동등C,수준3,40.0,-6.0,2,-7.677078,6.639481,-4.426515483870968,3059.0,1423.0,89.0
점멸주파수변화제동등C,수준3,40.0,-6.0,3,-7.677078,5.212116,-5.036914760625001,3191.0,1317.0,90.0
점멸주파수변화제동등C,수준3,40.0,-6.0,4,-7.677078,3.867722,-4.050950156626505,3262.0,1214.0,106.0
점멸주파수변화제동등C,수준3,60.0,-2.0,1,-1.85709,-0.1244545,-0.38991144642857145,1098.0,3402.0,79.0
점멸주파수변화제동등C,수준3,60.0,-2.0,2,-7.677078,-1.675606,-7.273053511904761,1681.0,2816.0,81.0
점멸주파수변화제동등C,수준3,60.0,-2.0,3,-7.677078,-0.3696442,-7.229689930612245,959.0,3524.0,97.0
점멸주파수변화제동등C,수준3,60.0,-2.0,4,-7.677078,-0.2696037,-4.287567006250001,1573.9999999999998,2920.0,104.0
