브레이크 유형,수준,간격,감속률,시도 번호,Accel_Min,Accel_Max,Accel_Mean,Reaction_Duration,Reaction_Start_Time,block_id
밝기변화제동등B,수준3,40,-4,1,-7.677078,7.791376,-2.2069283048780486,3252.0,1234.0,1
밝기변화제동등B,수준3,40,-4,2,-7.677078,8.042717,0.5800673544303802,3152.0,1338.0,12
밝기변화제동등B,수준3,40,-4,3,-7.677078,7.69968,0.8942215904458594,3130.0,1357.0,18
밝기변화제동등B,수준3,40,-4,4,-7.677078,7.744598,0.672027472392638,3237.0,1259.0,32
밝기변화제동등B,수준3,40,-6,1,-7.677078,7.265282,-2.932587527272727,3283.0,1225.0,0
밝기변화제동등B,수준3,40,-6,2,-7.677078,8.042717,0.8893874437869828,3351.0,1147.0,16
밝기변화제동등B,수준3,40,-6,3,-7.677078,7.825375,-3.574840500606061,3269.0,1242.0,25
밝기변화제동등B,수준3,40,-6,4,-7.677078,7.726383,-0.6724568637426902,3403.0,1094.0,33
밝기변화제동등B,수준3,60,-2,1,-7.677078,7.722759,1.9599441018867936,3136.0,1349.0,6
밝기변화제동등B,수준3,60,-2,2,-7.677078,8.042717,0.6953563790849668,3059.0,1437.0,9
밝기변화제동등B,수준3,60,-2,3,-7.677078,7.741833,-0.22475926666666698,2972.0,1539.0000000000002,23
밝기변화제동등B,수준3,60,-2,4,-7.677078,7.710648,1.4864535540540547,2928.0,1546.0,34
밝기변화제동등B,수준3,60,-4,1,-7.677078,7.725048,0.5202576848484844,3289.0,1206.0,5
밝기변화제동등B,수준3,60,-4,2,-7.677078,7.697964,0.7238388450617286,3228.0,1267.0,11
밝기변화제동등B,수준3,60,-4,3,-7.677078,7.734585,-1.0346638811188817,2824.0,1667.0,20
밝기변화제동등B,수준3,60,-4,4,-7.677078,7.725239,0.19557438297872337,2777.0,1714.9999999999998,35
밝기변화제동등B,수준3,60,-6,1,-7.677078,7.754803,-2.0962094398692805,3052.0,1462.0,8
밝기변화제동등B,수준3,60,-6,2,-7.677078,8.042717,-2.878610078048781,3285.0,1218.0,14
밝기변화제동등B,수준3,60,-6,3,-7.677078,7.806587,-3.9344783267973855,3039.0,1441.0,24
밝기변화제동등B,수준3,60,-6,4,-7.677078,7.803917,-1.58250407345679,3212.0,1290.0,30
점멸주파수변화제동등C,수준3,20,-2,1,-7.677078,7.209492,0.029712597790697192,3391.0,1086.0,42
점멸주파수변화제동등C,수준3,20,-2,2,-7.677078,3.803635,-1.3839771521511623,3426.0,1051.0,46
점멸주파수변화제동등C,수준3,20,-2,3,-7.677078,5.014038,0.05443787068965525,3459.0,1033.0,61
점멸주파수변화제동등C,수준3,20,-2,4,-7.677078,5.55687,-2.3566871887790697,3440.0,1050.0,70
점멸주파수변화제동등C,수준3,20,-4,1,-7.677078,-0.2448082,-2.433745051977401,3528.0,968.0,43
점멸주파수변화제동등C,수준3,20,-4,2,-7.677078,3.753185,-2.4547769234285717,3475.0,998.0,52
점멸주파수변화제동등C,수준3,20,-4,3,-7.677078,6.305981,-2.4453665587912092,3600.0,875.0,55
점멸주파수변화제동등C,수준3,20,-4,4,-7.677078,3.061104,-2.0384529944252874,3462.0,1045.0,64
점멸주파수변화제동등C,수준3,20,-6,1,-7.677078,7.098007,-5.369138961325967,3610.9999999999995,875.0,40
점멸주파수변화제동등C,수준3,20,-6,2,-7.677078,7.843208,-4.154519622222222,3560.0,937.0,50
점멸주파수변화제동등C,수준3,20,-6,3,-7.677078,7.845068,-2.381970044198895,3578.9999999999995,910.0,62
점멸주파수변화제동등C,수준3,20,-6,4,-7.677078,5.407,-4.451819386388889,3610.0,899.0,69
점멸주파수변화제동등C,수준3,40,-2,1,-7.677078,4.99239,-1.252473474090909,3501.0,1004.9999999999999,37
점멸주파수변화제동등C,수준3,40,-2,2,-7.677078,7.736874,1.0503609710982658,3438.0,1048.0,53
점멸주파수변화제동등C,수준3,40,-2,3,-7.677078,7.730293,1.1092478783636361,3263.0,1217.0,60
점멸주파수변화제동등C,수준3,40,-2,4,-7.677078,7.746887,-0.7218181651898737,3139.0000000000005,1376.0,71
점멸주파수변화제동등C,수준3,40,-4,1,-7.677078,5.075359,-3.457759556213018,3376.0,1123.0,38
점멸주파수변화제동등C,수준3,40,-4,2,-7.677078,7.51791,-3.199752556886228,3318.0,1185.0,51
점멸주파수변화제동등C,수준3,40,-4,3,-7.677078,4.533958,-2.3357994892151166,3404.0,1075.0,57
점멸주파수변화제동등C,수준3,40,-4,4,-7.677078,-0.2313614,-2.9967336950000005,3181.0,1306.0,67
점멸주파수변화제동등C,수준3,40,-6,1,-7.677078,-0.2021313,-2.9644539458333337,3349.0,1132.0000000000002,41
점멸주파수변화제동등C,수준3,40,-6,2,-7.677078,4.696655,-4.982404198830409,3382.0,1103.0,47
점멸주파수변화제동등C,수준3,40,-6,3,-7.677078,7.360744,-3.5899355964912276,3392.0,1250.0,59
점멸주파수변화제동등C,수준3,40,-6,4,-7.677078,1.968241,-5.153840254913296,3438.0,1068.0,66
점멸주파수변화제동등C,수준3,60,-2,1,-7.677078,7.438087,1.0068001883116884,3069.0,1405.0,44
점멸주파수변화제동등C,수준3,60,-2,2,-7.677078,7.717609,-1.5073343611764705,3408.0,1093.0,48
점멸주파수변화제동등C,수준3,60,-2,3,-7.677078,7.736206,-0.0669467100591708,3354.0,1160.0,56
점멸주파수변화제동등C,수준3,60,-2,4,-7.677078,5.497551,-1.47824223,3337.0,1171.0,65
