unix_timestamp,Date,Time,eda,scr,eda_z,scr_z,Time(ms)
1728867603921330 ,2024-10-14,10:00:04,0.013929261,0.00000000000000000000 ,-1.207718823,-0.17787805343644900000 ,36004000
1728867604171330 ,2024-10-14,10:00:04,0.016705422,0.00000000000000000000 ,-1.196133163,-0.17787805343644900000 ,36004000
1728867604421330 ,2024-10-14,10:00:04,0.01528138,-0.00345506723560712000 ,-1.20207607,-0.20481227902401600000 ,36004000
1728867604671340 ,2024-10-14,10:00:05,0.015425223,0.00284145619109353000 ,-1.201475775,-0.15572727695969200000 ,36005000
1728867604921340 ,2024-10-14,10:00:05,0.015741676,0.00661235217342861000 ,-1.200155132,-0.12633098562019300000 ,36005000
1728867605171340 ,2024-10-14,10:00:05,0.015324533,0.00869562178207144000 ,-1.201895981,-0.11009070727752000000 ,36005000
1728867605421340 ,2024-10-14,10:00:05,0.01730956,0.00966678300161844000 ,-1.193611934,-0.10251995001421600000 ,36005000
1728867605671340 ,2024-10-14,10:00:06,0.01565537,0.00992232706311086000 ,-1.20051531,-0.10052783786980800000 ,36006000
1728867605921340 ,2024-10-14,10:00:06,0.015943056,0.01039197490905200000 ,-1.19931472,-0.09686666424663520000 ,36006000
1728867606171340 ,2024-10-14,10:00:06,0.017180102,0.01163403065957160000 ,-1.194152197,-0.08718412914802330000 ,36006000
1728867606421340 ,2024-10-14,10:00:06,0.015827982,0.01264355801731020000 ,-1.199794954,-0.07931428589000230000 ,36006000
1728867606671340 ,2024-10-14,10:00:07,0.015612219,0.01306536248065700000 ,-1.200695391,-0.07602607880316420000 ,36007000
1728867606921340 ,2024-10-14,10:00:07,0.015712908,0.01373284491537800000 ,-1.200275189,-0.07082267138832850000 ,36007000
1728867607171340 ,2024-10-14,10:00:07,0.016216356,0.01464659882278600000 ,-1.198174166,-0.06369943696324700000 ,36007000
1728867607421340 ,2024-10-14,10:00:07,0.016072514,0.01505721962440100000 ,-1.198774457,-0.06049841291726990000 ,36007000
1728867607671340 ,2024-10-14,10:00:08,0.016043745,0.01522398532428640000 ,-1.198894518,-0.05919837888763030000 ,36008000
1728867607921340 ,2024-10-14,10:00:08,0.015957441,0.01583559335168800000 ,-1.199254687,-0.05443054444104340000 ,36008000
1728867608171340 ,2024-10-14,10:00:08,0.017252022,0.01639832288903080000 ,-1.193852055,-0.05004374578561430000 ,36008000
1728867608421350 ,2024-10-14,10:00:08,0.017079413,0.01631006027626610000 ,-1.194572399,-0.05073180334312080000 ,36008000
1728867608671350 ,2024-10-14,10:00:09,0.015842367,0.01569505931262590000 ,-1.199734922,-0.05552608766863140000 ,36009000
1728867608921350 ,2024-10-14,10:00:09,0.015943056,0.01493635911289570000 ,-1.19931472,-0.06144058974322690000 ,36009000
1728867609171350 ,2024-10-14,10:00:09,0.015871136,0.01442568151558960000 ,-1.199614861,-0.06542161374953470000 ,36009000
1728867609421350 ,2024-10-14,10:00:09,0.015238227,0.01427963502541250000 ,-1.202256159,-0.06656012968698530000 ,36009000
1728867609671350 ,2024-10-14,10:00:10,0.016604731,0.01419303722973650000 ,-1.196553373,-0.06723520904291970000 ,36010000
1728867609921350 ,2024-10-14,10:00:10,0.015684139,0.01379383875047160000 ,-1.200395249,-0.07034718955198930000 ,36010000
1728867610171350 ,2024-10-14,10:00:10,0.015842367,0.01305661918176720000 ,-1.199734922,-0.07609423781965180000 ,36010000
1728867610421350 ,2024-10-14,10:00:10,0.016676653,0.01213778416496970000 ,-1.196253224,-0.08325708239909490000 ,36010000
1728867610671350 ,2024-10-14,10:00:11,0.01585675,0.01114001084358660000 ,-1.199674898,-0.09103529621977790000 ,36011000
1728867610921350 ,2024-10-14,10:00:11,0.017266408,0.01012926151739290000 ,-1.193792019,-0.09891466542093870000 ,36011000
1728867611171350 ,2024-10-14,10:00:11,0.015051233,0.00914656516322673000 ,-1.203036535,-0.10657534565732200000 ,36011000
1728867611421350 ,2024-10-14,10:00:11,0.015885519,0.00821615387272214000 ,-1.199554837,-0.11382843391256900000 ,36011000
1728867611671350 ,2024-10-14,10:00:12,0.015899904,0.00735106593296359000 ,-1.199494804,-0.12057228928024800000 ,36012000
1728867611921350 ,2024-10-14,10:00:12,0.016288279,0.00655699082349027000 ,-1.197874012,-0.12676255901266000000 ,36012000
1728867612171360 ,2024-10-14,10:00:12,0.015022464,0.00583489584013630000 ,-1.203156595,-0.13239170248543200000 ,36012000
1728867612421360 ,2024-10-14,10:00:12,0.015137538,0.00518280975420572000 ,-1.202676361,-0.13747508655389900000 ,36012000
1728867612671360 ,2024-10-14,10:00:13,0.015209459,0.00459702447746020000 ,-1.202376215,-0.14204161788710600000 ,36013000
