unix_timestamp,Date,Time,eda,scr,eda_z,scr_z,Time(ms)
1729230773487300 ,2024-10-18,14:52:53,0.020056952,0.00000000000000000000 ,-0.49481676,-0.16972913288283700000 ,53573000
1729230773737280 ,2024-10-18,14:52:54,0.019395277,0.00000000000000000000 ,-0.510817212,-0.16972913288283700000 ,53574000
1729230773987260 ,2024-10-18,14:52:54,0.020445326,-0.00106510946054517000 ,-0.485425202,-0.35133634473650700000 ,53574000
1729230774237240 ,2024-10-18,14:52:54,0.020747397,-0.00091255430175799600 ,-0.4781206,-0.32532482379193500000 ,53574000
1729230774487230 ,2024-10-18,14:52:54,0.018517837,-0.00078620381326618100 ,-0.532035236,-0.30378134795086700000 ,53574000
1729230774737210 ,2024-10-18,14:52:55,0.019294586,-0.00068047296835097200 ,-0.513252095,-0.28575363844000100000 ,53575000
1729230774987190 ,2024-10-18,14:52:55,0.018920597,-0.00059119202102590400 ,-0.522295799,-0.27053072988836600000 ,53575000
1729230775237180 ,2024-10-18,14:52:55,0.019294586,-0.00051521023916371800 ,-0.513252095,-0.25757540457503900000 ,53575000
1729230775487160 ,2024-10-18,14:52:55,0.018805522,-0.00045011588197719700 ,-0.525078513,-0.24647644699935400000 ,53575000
1729230775737140 ,2024-10-18,14:52:56,0.018647296,-0.00039403764785997000 ,-0.528904692,-0.23691478961017500000 ,53576000
1729230775987130 ,2024-10-18,14:52:56,0.018345226,-0.00034550330417135100 ,-0.53620927,-0.22863940838135100000 ,53576000
1729230776237110 ,2024-10-18,14:52:56,0.018906211,-0.00030333852449735800 ,-0.522643678,-0.22145007399021900000 ,53576000
1729230776487090 ,2024-10-18,14:52:56,0.019841189,-0.00026659405653180800 ,-0.500034285,-0.21518493352770300000 ,53576000
1729230776737080 ,2024-10-18,14:52:57,0.018704833,-0.00023449290353069400 ,-0.527513348,-0.20971150463633200000 ,53577000
1729230776987060 ,2024-10-18,14:52:57,0.019826805,-0.00020639169822338500 ,-0.500382115,-0.20492008954273600000 ,53577000
1729230777237040 ,2024-10-18,14:52:57,0.019510351,-0.00018175218607651900 ,-0.508034523,-0.20071891279219200000 ,53577000
1729230777487020 ,2024-10-18,14:52:57,0.02021518,-0.00016011994201971400 ,-0.490990532,-0.19703049232948800000 ,53577000
1729230777737010 ,2024-10-18,14:52:58,0.018891828,-0.00014110829390233600 ,-0.522991484,-0.19378889835700300000 ,53578000
1729230777986990 ,2024-10-18,14:52:58,0.019726114,-0.00012438602123530600 ,-0.502816998,-0.19093765590032400000 ,53578000
1729230778236970 ,2024-10-18,14:52:58,0.017395865,-0.00010966781363313500 ,-0.559166469,-0.18842811791842900000 ,53578000
1729230778486960 ,2024-10-18,14:52:58,0.019237051,-0.00009670676634272380 ,-0.514643391,-0.18621818574872500000 ,53578000
1729230778736940 ,2024-10-18,14:52:59,0.018906211,-0.00008528839578544110 ,-0.522643678,-0.18427128872298800000 ,53579000
1729230778986920 ,2024-10-18,14:52:59,0.01825892,-0.00007522580291252120 ,-0.538296299,-0.18255555949199000000 ,53579000
1729230779236910 ,2024-10-18,14:52:59,0.018819906,-0.00006635571530357630 ,-0.524730683,-0.18104315918082000000 ,53579000
1729230779486890 ,2024-10-18,14:52:59,0.018560991,-0.00005853521105740180 ,-0.530991697,-0.17970971879366000000 ,53579000
1729230779736870 ,2024-10-18,14:53:00,0.018359611,-0.00005163897850815890 ,-0.535861416,-0.17853387197983000000 ,53580000
1729230779986850 ,2024-10-18,14:53:00,0.018043157,-0.00004555700319496440 ,-0.543513823,-0.17749686064896900000 ,53580000
1729230780236840 ,2024-10-18,14:53:00,0.018172616,-0.00004019260019114130 ,-0.54038328,-0.17658219947199900000 ,53580000
1729230780486820 ,2024-10-18,14:53:00,0.018604143,-0.00003546072881399780 ,-0.529948207,-0.17577538852957000000 ,53580000
1729230780736800 ,2024-10-18,14:53:01,0.017338328,-0.00003128654096350740 ,-0.560557813,-0.17506366579555800000 ,53581000
