timestamp,date,time,time(ms),GSR,GSR_z,SCR,SCR_z,PPG,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise,Emotion,Leye_X,Leye_Y,Reye_X,Reye_Y,Leye_open,Reye_open
1166294,2024-10-15,10:10:59,1728954659288,3.708950747,0.144170667,0.0,0.008809185,0.732600733,0.20488301,0.023749623,0.19623958,0.06974321,0.16582565,0.3074664,0.032092478,Sad,264,195,357,191,1,1
1172847,2024-10-15,10:10:59,1728954659547,3.722923620396311,0.16613909733726215,0.02257414220168963,0.47911943524898665,0.732600733,0.09706238,0.00571323,0.13965574,0.022985058,0.49368873,0.19364798,0.047246862,Neutral,261,189,356,187,1,1
1179400,2024-10-15,10:10:59,1728954659621,3.7454977625980006,0.2036702714792534,0.022107286094086742,0.4691796730305887,0.0,0.070086345,0.002856275,0.09291849,0.014999576,0.63644624,0.15907592,0.023617174,Neutral,262,188,355,186,1,1
1185953,2024-10-15,10:10:59,1728954659699,3.7671381925844845,0.23964908028951704,0.020558319622953736,0.43620086402156244,0.0,0.06525249,0.002642747,0.0912975,0.016528087,0.6508321,0.14697924,0.026467841,Neutral,262,187,356,186,1,1
1192506,2024-10-15,10:10:59,1728954659794,3.786614401843908,0.27202971273217874,0.017778844639966263,0.37702348586807527,0.0,0.07757108,0.003371118,0.10311749,0.01399316,0.60426676,0.17095083,0.02672955,Neutral,261,190,356,187,1,1
1199059,2024-10-15,10:10:59,1728954659898,3.802695881864417,0.29876635777136423,0.013768861145124989,0.2916475385701414,0.0,0.08789593,0.004036871,0.11303597,0.011810464,0.56589395,0.19004521,0.02728153,Neutral,260,193,355,190,1,1
1205612,2024-10-15,10:11:00,1728954660104,3.814152124134158,0.3178132043712014,0.008707226704984361,0.18388105131182958,0.0,0.0812655,0.003315926,0.10125932,0.010355017,0.59635997,0.18555395,0.02189033,Neutral,258,192,353,189,1,1
1212165,2024-10-15,10:11:00,1728954660302,3.8201103352743857,0.3277191692526444,0.0034882291523146147,0.07276417001344032,0.0,0.09253983,0.004322797,0.121240065,0.010162512,0.54476243,0.19557449,0.031397898,Neutral,259,193,353,190,1,1
1218718,2024-10-15,10:11:00,1728954660509,3.8211285824387873,0.3294120801639561,-0.0009938436801137929,-0.022662959404720906,0.0,0.09107071,0.003890908,0.109881505,0.008597374,0.5623362,0.20169435,0.022528864,Neutral,259,192,352,189,1,1
1225271,2024-10-15,10:11:02,1728954662777,3.818122647914158,0.3244144926102268,-0.004560134225746415,-0.09859230775858548,0.0,0.10357294,0.006047223,0.1501029,0.010287011,0.4810226,0.19311985,0.05584748,Neutral,268,181,363,179,1,1
1231824,2024-10-15,10:11:02,1728954662859,3.8120083139872944,0.31424896209654773,-0.007210642484583696,-0.15502387504816287,0.732600733,0.103553616,0.005530802,0.13880996,0.008258278,0.5006633,0.20111592,0.04206814,Neutral,268,180,363,178,1,1
1238377,2024-10-15,10:11:02,1728954662934,3.8037013629449907,0.30043804412800756,-0.008945368456625635,-0.19195766127345307,1290.10989,0.105325885,0.006021518,0.14543232,0.009833045,0.48559803,0.19972876,0.048060462,Neutral,270,180,365,179,1,1
1244930,2024-10-15,10:11:03,1728954663013,3.794117577074043,0.2845042942096977,-0.009673265140716758,-0.20745519861226058,1325.274725,0.13344997,0.008778287,0.15834935,0.010359095,0.4092566,0.24159244,0.03821427,Neutral,272,188,363,186,0,0
1251483,2024-10-15,10:11:03,1728954663093,3.784354832663557,0.26827301253795044,-0.009027640972231854,-0.19370931286142126,1298.901099,0.14099298,0.009259969,0.16045633,0.008426205,0.3957808,0.24805734,0.0370264,Neutral,270,187,364,184,0,0
1258036,2024-10-15,10:11:03,1728954663167,3.7760622951295795,0.2544860580886504,-0.006995978151142612,-0.1504534894487734,1502.564103,0.117966495,0.007348846,0.15340851,0.010875359,0.44644263,0.21886964,0.045088492,Neutral,269,185,364,182,0,0
1264589,2024-10-15,10:11:03,1728954663242,3.770362876361272,0.24501035458725795,-0.0039299468820397365,-0.08517508509087574,1372.161172,0.108242124,0.00920645,0.20955499,0.016601764,0.32535294,0.15547061,0.1755711,Neutral,266,185,361,182,1,0
1271142,2024-10-15,10:11:03,1728954663334,3.7682024013655,0.2414184057738201,8.190939392793695e-05,0.00024073530452937376,1415.384615,0.08937727,0.004254945,0.12086626,0.010586401,0.55534756,0.18458846,0.034979112,Neutral,265,188,360,184,1,1
1277695,2024-10-15,10:11:03,1728954663412,3.770526695149128,0.24528271538838237,0.005039590676760186,0.10579397173743722,1320.14652,0.088294044,0.004322326,0.115858525,0.014582992,0.5610169,0.1852639,0.030661302,Neutral,264,187,358,184,1,1
1284248,2024-10-15,10:11:03,1728954663488,3.7782815827190204,0.258175787170991,0.010943096966457455,0.23148462420785726,1581.684982,0.1126198,0.007330565,0.16674475,0.010404163,0.436886,0.19612034,0.06989435,Neutral,265,184,358,181,1,1
1290801,2024-10-15,10:11:03,1728954663565,3.7924128890820428,0.28167012486169296,0.017485154424482285,0.37077057226099036,1404.395604,0.1483706,0.010840722,0.17759073,0.008119422,0.36593407,0.23761067,0.051533792,Neutral,264,188,357,185,0,0
1297354,2024-10-15,10:11:03,1728954663639,3.813251891567985,0.3163165014219835,0.02315359060920663,0.4914563829610374,1438.095238,0.10764266,0.005891368,0.12855233,0.015044889,0.49486116,0.22121818,0.026789488,Neutral,264,190,357,186,0,0
1303907,2024-10-15,10:11:03,1728954663715,3.838720070300456,0.3586592244609208,0.026533020083236547,0.5634073007249227,1328.937729,0.13351029,0.009349098,0.17980306,0.007684355,0.38758183,0.2121986,0.0698728,Neutral,261,182,357,180,1,1
1310460,2024-10-15,10:11:03,1728954663794,3.866317931734458,0.4045427018560684,0.027437152763324146,0.5826570517886872,1612.454212,0.12825294,0.008751392,0.17340332,0.008934747,0.40367404,0.21351671,0.06346683,Neutral,261,183,356,180,1,1
1317013,2024-10-15,10:11:03,1728954663869,3.8935943758271043,0.44989179924674455,0.025890185400527788,0.549720805490508,1490.842491,0.12741295,0.008956957,0.18021658,0.008464448,0.3953989,0.20330966,0.07624051,Neutral,261,181,356,180,1,1
1323566,2024-10-15,10:11:03,1728954663944,3.9180983025355136,0.49063138227227654,0.021892117994847915,0.4645985618303946,1392.673993,0.12388397,0.007342104,0.1549317,0.006253198,0.4447501,0.21684942,0.045989543,Neutral,262,180,357,178,1,1
1330119,2024-10-15,10:11:04,1728954664016,3.9373786118168,0.522686316571984,0.015442950546282974,0.32729032080831405,1419.78022,0.12723702,0.008308388,0.16933632,0.006684342,0.4192232,0.20703492,0.062175754,Neutral,262,180,357,178,1,1
1336672,2024-10-15,10:11:04,1728954664103,3.9489842036280796,0.5419814677851891,0.0065426830548347414,0.137796082424304,1515.018315,0.1244881,0.007767179,0.16032998,0.006644535,0.43713328,0.21131179,0.052325137,Neutral,262,180,357,178,1,1
1343225,2024-10-15,10:11:04,1728954664307,3.9504639779264696,0.5444417015512174,-0.0044197480677974355,-0.09560336747046944,1371.428571,0.103370726,0.003977274,0.10327074,0.004712877,0.5402911,0.23107304,0.013304227,Neutral,263,181,365,180,1,1
1349778,2024-10-15,10:11:04,1728954664492,3.9401447074924847,0.5272851543736594,-0.015503708730655985,-0.3315902842799713,1345.054945,0.121827245,0.005901462,0.13095257,0.005610071,0.47565696,0.2362272,0.023824401,Neutral,265,180,367,179,1,1
1356331,2024-10-15,10:11:07,1728954667049,3.9194565604651577,0.4928895861247975,-0.02478475671296576,-0.5291916620478962,1332.600733,0.10163752,0.004748764,0.11051113,0.011591619,0.52157265,0.2332228,0.016715564,Neutral,275,205,370,203,0,0
1362884,2024-10-15,10:11:07,1728954667122,3.890575194066553,0.4448721871875502,-0.03189419544075678,-0.6805576382227686,1460.07326,0.11358014,0.00544895,0.11703523,0.009083094,0.48692548,0.2524281,0.01549901,Neutral,277,204,371,202,1,1
1369437,2024-10-15,10:11:07,1728954667194,3.855668169583644,0.3868366878564282,-0.03683607288157331,-0.7857743974644924,1371.428571,0.11061659,0.005479727,0.11977567,0.010923914,0.48991165,0.24492703,0.018365508,Neutral,278,203,372,201,1,0
1375990,2024-10-15,10:11:07,1728954667274,3.8169030483034065,0.32238681842594724,-0.039610389035414695,-0.8448419397730534,1310.622711,0.111596406,0.005537208,0.12026903,0.010551778,0.48751906,0.24618687,0.018339634,Neutral,278,202,373,201,0,0
1382543,2024-10-15,10:11:07,1728954667352,3.7764473915128147,0.2551263091906201,-0.04021714390228137,-0.8577602651484612,1385.347985,0.1033202,0.004706545,0.11002679,0.010233796,0.5173296,0.23862082,0.015762327,Neutral,278,201,374,199,1,0
1389096,2024-10-15,10:11:07,1728954667425,3.736468760498844,0.18865889044496123,-0.038656337482173564,-0.8245293735907203,1258.608059,0.10874547,0.005106289,0.11164934,0.010289393,0.5010252,0.24897677,0.014207475,Neutral,278,200,374,198,1,0
