참여자번호,브레이크유형,감속정도,브레이크지속시간표준편차,브레이크세기표준편차,충돌횟수
13,B밝기변화제동등,고감속,0.40237,0.21291,0
13,C점멸주파수변화제동등,저감속,0.31829,0.09969,0
13,C점멸주파수변화제동등,고감속,0.33306,0.20602,0
13,D면적변화제동등,저감속,0.0,0.00075,0
13,D면적변화제동등,고감속,0.45615,0.25239,0
14,A기본제동등,저감속,0.2855,0.13349,0
14,A기본제동등,고감속,0.45215,0.24662,1
14,B밝기변화제동등,저감속,0.0605,0.17451,1
14,B밝기변화제동등,고감속,0.20204,0.27617,1
14,C점멸주파수변화제동등,저감속,0.261,0.04245,0
14,C점멸주파수변화제동등,고감속,0.38341,0.14711,0
14,D면적변화제동등,저감속,0.0005,0.04923,0
14,D면적변화제동등,고감속,0.29004,0.19166,0
15,A기본제동등,저감속,0.28641,0.18235,0
15,A기본제동등,고감속,0.42571,0.34635,0
15,B밝기변화제동등,저감속,0.28811,0.07237,0
15,B밝기변화제동등,고감속,0.29696,0.16763,0
15,C점멸주파수변화제동등,저감속,0.36874,0.19496,0
15,C점멸주파수변화제동등,고감속,0.29892,0.32559,0
15,D면적변화제동등,저감속,0.0,0.12367,0
15,D면적변화제동등,고감속,0.14592,0.26877,0
16,A기본제동등,저감속,0.0,0.07886,0
16,A기본제동등,고감속,0.36584,0.20843,0
16,B밝기변화제동등,저감속,0.02666,0.01315,0
16,B밝기변화제동등,고감속,0.23613,0.06843,0
16,C점멸주파수변화제동등,저감속,0.30395,0.06852,0
16,C점멸주파수변화제동등,고감속,0.29715,0.1212,0
16,D면적변화제동등,저감속,0.1531,0.05953,0
16,D면적변화제동등,고감속,0.32283,0.15279,0
17,A기본제동등,저감속,0.0,0.07616,0
17,A기본제동등,고감속,0.39387,0.22624,0
17,B밝기변화제동등,저감속,0.46007,0.11334,0
17,B밝기변화제동등,고감속,0.4015,0.27094,0
17,C점멸주파수변화제동등,저감속,0.33505,0.14115,0
17,C점멸주파수변화제동등,고감속,0.28971,0.26059,0
17,D면적변화제동등,저감속,0.27627,0.10837,0
17,D면적변화제동등,고감속,0.42577,0.2643,0
