참여자번호,브레이크유형,저감속구간 번호,저감속구간의 길이,브레이크세기,반응시간
12,D면적변화제동등,8,1.218,0.0,0.54
12,D면적변화제동등,9,2.483,0.0,0.572
12,D면적변화제동등,10,2.629,0.0,1.541
12,D면적변화제동등,11,2.382,0.0,0.423
12,D면적변화제동등,12,3.308,0.0,0.637
12,D면적변화제동등,13,2.327,0.0,0.0
12,D면적변화제동등,14,1.773,0.00643,0.157
12,D면적변화제동등,15,1.774,0.0,0.327
12,D면적변화제동등,16,1.767,0.0,0.547
12,D면적변화제동등,17,1.376,0.0,0.733
12,D면적변화제동등,18,0.835,0.0,0.451
12,D면적변화제동등,19,2.772,0.0,0.76
12,D면적변화제동등,20,1.751,0.0,0.62
12,D면적변화제동등,21,1.294,0.21588,0.038
13,A기본제동등,1,1.788,0.0,0.0
13,A기본제동등,2,1.37,0.03853,0.348
13,A기본제동등,3,1.77,0.0,0.321
13,A기본제동등,4,1.385,0.18761,0.447
13,A기본제동등,5,1.76,0.0,0.492
13,A기본제동등,6,1.774,0.0,0.206
13,A기본제동등,7,2.36,0.0,0.0
13,A기본제동등,8,3.28,0.0,1.02
13,A기본제동등,9,1.217,0.00314,0.362
13,A기본제동등,10,1.352,0.26508,0.462
13,A기본제동등,11,2.857,0.00393,0.472
13,A기본제동등,12,1.918,0.0,1.162
13,A기본제동등,13,1.975,0.0,0.0
13,B밝기변화제동등,1,2.74,0.0,0.469
13,B밝기변화제동등,2,1.787,0.0,1.398
13,B밝기변화제동등,3,3.098,0.0,1.544
13,B밝기변화제동등,4,2.512,0.01353,0.045
13,B밝기변화제동등,5,1.92,0.0,1.18
13,B밝기변화제동등,6,2.376,0.0,1.202
13,B밝기변화제동등,7,1.288,0.0,0.0
13,B밝기변화제동등,8,3.295,0.0299,0.161
13,B밝기변화제동등,9,1.781,0.0,1.657
13,B밝기변화제동등,10,1.851,0.13463,0.341
13,B밝기변화제동등,11,1.248,0.0,0.0
13,B밝기변화제동등,12,1.361,0.0,0.0
13,B밝기변화제동등,13,1.78,0.0,0.611
13,B밝기변화제동등,14,1.466,0.0,0.591
13,B밝기변화제동등,15,1.814,0.0,0.925
13,B밝기변화제동등,16,1.227,0.0,0.563
13,B밝기변화제동등,17,1.775,0.0,0.0
13,B밝기변화제동등,18,1.226,0.0,0.0
13,B밝기변화제동등,19,2.462,0.0,0.0
13,B밝기변화제동등,20,2.814,0.0,1.138
13,B밝기변화제동등,21,1.808,0.0,0.428
13,B밝기변화제동등,22,1.936,0.26358,0.11
13,B밝기변화제동등,23,1.913,0.0,0.503
13,C점멸주파수변화제동등,1,1.76,0.0,0.602
13,C점멸주파수변화제동등,2,1.42,0.0,0.502
13,C점멸주파수변화제동등,3,1.213,0.00408,0.247
13,C점멸주파수변화제동등,4,1.009,0.0,0.0
13,C점멸주파수변화제동등,5,1.208,0.0,0.148
13,C점멸주파수변화제동등,6,1.778,0.0,0.258
13,C점멸주파수변화제동등,7,1.692,0.00318,0.806
13,C점멸주파수변화제동등,8,1.796,0.0,0.0
13,C점멸주파수변화제동등,9,2.743,0.0,0.359
13,C점멸주파수변화제동등,10,1.799,0.0,0.389
13,C점멸주파수변화제동등,11,3.041,0.0015,1.828
13,C점멸주파수변화제동등,12,1.235,0.0,0.4
13,C점멸주파수변화제동등,13,1.779,0.0,1.422
13,C점멸주파수변화제동등,14,2.989,0.0,1.262
13,C점멸주파수변화제동등,15,1.762,0.0,0.228
13,C점멸주파수변화제동등,16,1.403,0.0,0.495
13,C점멸주파수변화제동등,17,1.91,0.20437,0.0
13,C점멸주파수변화제동등,18,1.361,0.0,0.319
13,C점멸주파수변화제동등,19,2.188,0.02722,0.082
13,C점멸주파수변화제동등,20,2.006,0.23855,0.786
13,C점멸주파수변화제동등,21,3.398,0.0,0.941
13,C점멸주파수변화제동등,22,1.974,0.0,0.0
13,D면적변화제동등,1,1.223,0.0,0.461
13,D면적변화제동등,2,1.221,0.0,0.649
13,D면적변화제동등,3,2.494,0.0,0.0
13,D면적변화제동등,4,1.925,0.0,0.0
13,D면적변화제동등,5,1.79,0.0,0.336
13,D면적변화제동등,6,2.769,0.0,0.0
13,D면적변화제동등,7,1.785,0.0,0.348
13,D면적변화제동등,8,3.05,0.0,1.669
13,D면적변화제동등,9,1.763,0.0,0.118
13,D면적변화제동등,10,2.334,0.0,0.0
13,D면적변화제동등,11,3.418,0.0,0.767
13,D면적변화제동등,12,1.951,0.00035,0.743
13,D면적변화제동등,13,1.776,0.0,0.0
13,D면적변화제동등,14,1.395,0.0,0.436
13,D면적변화제동등,15,1.771,0.0,0.0
13,D면적변화제동등,16,1.43,0.0,0.507
13,D면적변화제동등,17,1.603,0.0,1.304
13,D면적변화제동등,18,1.519,0.0,0.633
14,A기본제동등,1,1.055,0.0,0.553
14,A기본제동등,2,2.477,0.0,0.196
14,A기본제동등,3,1.945,0.0,0.39
14,A기본제동등,4,2.345,0.0,0.455
14,A기본제동등,5,3.381,0.0,1.025
14,A기본제동등,6,1.146,0.1303,0.12
14,A기본제동등,7,1.76,0.0,0.704
14,A기본제동등,8,1.791,0.0,0.464
14,A기본제동등,9,1.342,0.0,0.118
14,A기본제동등,10,2.73,0.0,0.452
14,A기본제동등,11,1.759,0.0,0.0
14,A기본제동등,12,3.049,0.0,1.528
14,A기본제동등,13,1.783,0.0,0.483
14,A기본제동등,14,1.478,0.0,0.487
14,A기본제동등,15,0.904,0.0,0.0
14,A기본제동등,16,1.56,0.0,0.388
14,A기본제동등,17,3.058,0.0,0.0
14,A기본제동등,18,1.213,0.0,0.494
14,A기본제동등,19,1.775,0.0,0.0
14,A기본제동등,20,2.958,0.0,2.957
14,A기본제동등,21,1.026,0.88854,0.0
14,A기본제동등,22,1.369,0.0,0.0
14,A기본제동등,23,2.334,0.0,0.777
14,A기본제동등,24,1.785,0.0,1.233
14,A기본제동등,25,1.683,0.00345,0.747
14,B밝기변화제동등,1,1.762,0.0,0.864
14,B밝기변화제동등,2,0.953,0.53836,0.0
14,B밝기변화제동등,3,1.775,0.0,0.522
14,B밝기변화제동등,4,1.242,0.0,0.32
14,B밝기변화제동등,5,2.351,0.0,0.982
14,B밝기변화제동등,6,1.24,0.0,0.443
14,B밝기변화제동등,7,1.365,0.0,0.0
14,B밝기변화제동등,8,2.341,0.0,0.272
14,B밝기변화제동등,9,3.423,0.0,0.381
14,B밝기변화제동등,10,1.8,0.0,0.939
14,B밝기변화제동등,11,1.458,0.0,0.659
14,B밝기변화제동등,12,2.353,0.0,0.395
14,B밝기변화제동등,13,3.071,0.0,1.498
14,B밝기변화제동등,14,1.202,0.0,1.13
14,B밝기변화제동등,15,1.777,0.0,0.15
14,B밝기변화제동등,16,1.791,0.0,0.626
14,B밝기변화제동등,17,1.356,0.0,0.471
14,B밝기변화제동등,18,2.581,0.32356,0.121
14,B밝기변화제동등,19,1.764,0.0,0.557
14,B밝기변화제동등,20,1.724,0.21946,0.401
14,B밝기변화제동등,21,1.243,0.0,0.335
14,C점멸주파수변화제동등,1,1.75,0.0,0.333
14,C점멸주파수변화제동등,2,1.242,0.0,0.324
14,C점멸주파수변화제동등,3,1.811,0.0,1.361
14,C점멸주파수변화제동등,4,2.988,0.0,1.949
14,C점멸주파수변화제동등,5,1.783,0.0,0.583
14,C점멸주파수변화제동등,6,1.175,0.03662,0.73
14,C점멸주파수변화제동등,7,1.567,0.1218,0.52
14,C점멸주파수변화제동등,8,1.366,0.0,0.52
14,C점멸주파수변화제동등,9,2.332,0.0,0.688
14,C점멸주파수변화제동등,10,2.649,0.0,1.461
14,C점멸주파수변화제동등,11,2.347,0.0,0.0
14,C점멸주파수변화제동등,12,3.398,0.0,2.705
14,C점멸주파수변화제동등,13,1.778,0.0,0.293
14,C점멸주파수변화제동등,14,1.791,0.0,1.2
14,C점멸주파수변화제동등,15,1.21,0.0,0.411
14,C점멸주파수변화제동등,16,2.88,0.0,1.34
14,C점멸주파수변화제동등,17,1.355,0.0,0.347
14,C점멸주파수변화제동등,18,1.768,0.0,0.356
14,C점멸주파수변화제동등,19,1.449,0.0,0.0
14,C점멸주파수변화제동등,20,2.406,0.0,1.988
14,C점멸주파수변화제동등,21,2.34,0.0,0.118
14,C점멸주파수변화제동등,22,1.914,0.0,0.116
14,C점멸주파수변화제동등,23,1.226,0.0,0.635
14,D면적변화제동등,1,2.75,0.0,0.681
14,D면적변화제동등,2,1.781,0.0,0.534
14,D면적변화제동등,3,3.04,0.0,1.15
14,D면적변화제동등,4,1.787,0.08719,0.284
14,D면적변화제동등,5,1.523,0.0,0.643
14,D면적변화제동등,6,1.233,0.0,0.156
14,D면적변화제동등,7,2.486,0.0,0.599
14,D면적변화제동등,8,2.8,0.0,1.364
14,D면적변화제동등,9,1.209,0.0,0.248
14,D면적변화제동등,10,1.237,0.0,0.158
14,D면적변화제동등,11,1.778,0.0,0.691
14,D면적변화제동등,12,1.46,0.0,0.643
14,D면적변화제동등,13,1.796,0.0,0.245
14,D면적변화제동등,14,4.227,0.0,0.615
14,D면적변화제동등,15,1.787,0.0,1.331
14,D면적변화제동등,16,2.813,0.0,1.703
14,D면적변화제동등,17,1.206,0.0,0.394
14,D면적변화제동등,18,1.788,0.0,0.432
14,D면적변화제동등,19,2.984,0.0,1.48
14,D면적변화제동등,20,2.334,0.0,0.18
14,D면적변화제동등,21,2.003,0.10265,0.725
14,D면적변화제동등,22,3.418,0.0,0.736
14,D면적변화제동등,23,1.776,0.0,0.453
15,A기본제동등,1,2.733,0.0,0.279
15,A기본제동등,2,1.805,0.0819,0.32
15,A기본제동등,3,1.782,0.14109,0.286
15,A기본제동등,4,1.478,0.0,0.213
15,A기본제동등,5,1.519,0.0,0.0
15,A기본제동등,6,1.762,0.05894,0.343
15,A기본제동등,7,1.203,0.40289,0.362
15,A기본제동등,8,1.801,0.0,0.0
15,A기본제동등,9,0.912,0.33179,0.0
15,A기본제동등,10,2.474,0.16364,0.961
15,A기본제동등,11,1.939,0.12394,1.011
15,A기본제동등,12,1.225,0.17362,0.533
15,A기본제동등,13,1.991,0.0,1.186
15,A기본제동등,14,1.776,0.22897,0.263
15,A기본제동등,15,1.37,0.22515,0.118
15,A기본제동등,16,1.775,0.00618,0.644
15,A기본제동등,17,1.133,0.01352,0.624
15,A기본제동등,18,1.207,0.0,0.0
15,A기본제동등,19,2.467,0.0,0.0
15,A기본제동등,20,2.816,0.0,1.563
15,A기본제동등,21,1.213,0.04351,0.0
15,A기본제동등,22,1.609,0.0,0.731
15,A기본제동등,23,1.225,0.0,0.0
15,B밝기변화제동등,1,2.347,0.0605,0.123
15,B밝기변화제동등,2,3.292,0.0,0.712
15,B밝기변화제동등,3,1.774,0.0,0.492
15,B밝기변화제동등,4,1.361,0.0,0.729
15,B밝기변화제동등,5,1.845,0.14499,0.686
15,B밝기변화제동등,6,2.485,0.0,0.257
15,B밝기변화제동등,7,1.917,0.0,0.0
15,B밝기변화제동등,8,1.775,0.0,0.265
15,B밝기변화제동등,9,2.656,0.0,0.115
15,B밝기변화제동등,10,1.233,0.0,0.547
15,B밝기변화제동등,11,2.314,0.0,0.352
15,B밝기변화제동등,12,2.636,0.0,0.525
15,B밝기변화제동등,13,1.781,0.0,0.562
15,B밝기변화제동등,14,1.48,0.0,0.775
15,B밝기변화제동등,15,2.537,0.11046,0.493
15,B밝기변화제동등,16,2.961,0.0,2.175
15,B밝기변화제동등,17,1.336,0.0,0.383
15,B밝기변화제동등,18,1.785,0.0,0.659
15,B밝기변화제동등,19,1.766,0.0,0.0
15,B밝기변화제동등,20,2.757,0.0,0.791
15,B밝기변화제동등,21,1.927,0.02598,0.216
15,B밝기변화제동등,22,1.244,0.0,0.0
15,B밝기변화제동등,23,1.773,0.0,1.406
15,C점멸주파수변화제동등,1,1.763,0.11428,0.318
15,C점멸주파수변화제동등,2,1.475,0.53659,0.038
15,C점멸주파수변화제동등,3,1.206,0.0,0.52
15,C점멸주파수변화제동등,4,1.928,0.0,0.594
15,C점멸주파수변화제동등,5,2.705,0.19435,0.187
15,C점멸주파수변화제동등,6,1.248,0.0,0.429
15,C점멸주파수변화제동등,7,2.461,0.0,0.079
15,C점멸주파수변화제동등,8,2.788,0.0,0.864
15,C점멸주파수변화제동등,9,1.737,0.0,0.225
15,C점멸주파수변화제동등,10,1.383,0.0,0.0
15,C점멸주파수변화제동등,11,1.099,0.2397,0.0
15,C점멸주파수변화제동등,12,1.807,0.0,0.385
15,C점멸주파수변화제동등,13,2.754,0.0,0.041
15,C점멸주파수변화제동등,14,1.801,0.0,0.999
15,C점멸주파수변화제동등,15,2.868,0.0,1.969
15,C점멸주파수변화제동등,16,1.437,0.50016,0.0
15,C점멸주파수변화제동등,17,1.54,0.0,0.637
15,C점멸주파수변화제동등,18,1.798,0.0,0.832
15,C점멸주파수변화제동등,19,2.364,0.0,0.45
15,C점멸주파수변화제동등,20,3.322,0.0,0.0
15,C점멸주파수변화제동등,21,1.793,0.0,0.0
15,C점멸주파수변화제동등,22,1.357,0.0,0.0
15,C점멸주파수변화제동등,23,1.655,0.15008,0.283
15,C점멸주파수변화제동등,24,1.253,0.0,0.462
15,C점멸주파수변화제동등,25,1.695,0.25083,0.64
15,C점멸주파수변화제동등,26,1.223,0.001,0.43
15,D면적변화제동등,1,1.76,0.0,0.341
15,D면적변화제동등,2,1.496,0.0,0.822
15,D면적변화제동등,3,1.512,0.0,0.0
15,D면적변화제동등,4,1.231,0.0,0.441
15,D면적변화제동등,5,2.471,0.0,0.63
15,D면적변화제동등,6,1.78,0.0,0.0
15,D면적변화제동등,7,1.39,0.0,0.516
15,D면적변화제동등,8,1.784,0.0,0.0
15,D면적변화제동등,9,0.965,0.61239,0.0
15,D면적변화제동등,10,2.453,0.0,0.161
15,D면적변화제동등,11,2.011,0.0,0.617
15,D면적변화제동등,12,2.857,0.0,0.0
15,D면적변화제동등,13,1.215,0.0,0.422
15,D면적변화제동등,14,1.785,0.0,0.353
15,D면적변화제동등,15,2.968,0.0,1.239
15,D면적변화제동등,16,2.763,0.0,0.43
15,D면적변화제동등,17,1.794,0.0,1.227
15,D면적변화제동등,18,2.359,0.0,0.0
15,D면적변화제동등,19,1.961,0.21136,0.602
15,D면적변화제동등,20,3.406,0.0,1.22
15,D면적변화제동등,21,1.23,0.0,0.256
16,A기본제동등,1,2.404,0.13001,0.552
16,A기본제동등,2,1.804,0.0,0.345
16,A기본제동등,3,2.34,0.0,0.235
16,A기본제동등,4,3.368,0.0,0.957
16,A기본제동등,5,1.804,0.0,0.0
16,A기본제동등,6,1.336,0.0,0.504
16,A기본제동등,7,1.182,0.0,0.765
16,A기본제동등,8,1.503,0.0,0.883
16,A기본제동등,9,1.777,0.0,0.394
16,A기본제동등,10,0.838,0.23659,0.0
16,A기본제동등,11,1.225,0.0,0.385
16,A기본제동등,12,2.325,0.0,0.0
16,A기본제동등,13,2.806,0.0,1.316
16,A기본제동등,14,1.154,0.0,0.038
16,A기본제동등,15,2.349,0.0,0.529
16,A기본제동등,16,1.756,0.0,1.102
16,A기본제동등,17,2.825,0.0,1.538
16,A기본제동등,18,1.766,0.0,0.414
16,A기본제동등,19,1.202,0.0,0.205
16,A기본제동등,20,1.775,0.0,0.82
16,A기본제동등,21,2.986,0.0,1.594
16,A기본제동등,22,1.796,0.0,0.0
16,A기본제동등,23,1.361,0.0,0.0
16,B밝기변화제동등,1,1.211,0.0,0.227
16,B밝기변화제동등,2,1.253,0.00313,1.065
16,B밝기변화제동등,3,1.063,0.0,0.0
16,B밝기변화제동등,4,1.783,0.0,0.0
16,B밝기변화제동등,5,1.786,0.0,0.0
16,B밝기변화제동등,6,1.43,0.01119,1.244
16,B밝기변화제동등,7,1.6,0.0,0.71
16,B밝기변화제동등,8,1.373,0.0,0.385
16,B밝기변화제동등,9,1.537,0.0,0.747
16,B밝기변화제동등,10,2.748,0.0,0.0
16,B밝기변화제동등,11,1.92,0.0,0.158
16,B밝기변화제동등,12,1.36,0.02391,0.121
16,B밝기변화제동등,13,1.814,0.0,0.585
16,B밝기변화제동등,14,1.468,0.0,1.467
16,B밝기변화제동등,15,1.796,0.00426,0.211
16,B밝기변화제동등,16,1.798,0.0,1.276
16,B밝기변화제동등,17,1.481,0.0,0.663
16,B밝기변화제동등,18,2.351,0.0,0.752
16,B밝기변화제동등,19,0.983,0.0,0.512
16,B밝기변화제동등,20,3.429,0.0,1.122
16,B밝기변화제동등,21,2.453,0.0,1.445
16,B밝기변화제동등,22,1.736,0.0,0.689
16,C점멸주파수변화제동등,1,1.518,0.08435,0.593
16,C점멸주파수변화제동등,2,1.334,0.0,0.193
16,C점멸주파수변화제동등,3,1.208,0.0,0.118
16,C점멸주파수변화제동등,4,1.85,0.0226,0.915
16,C점멸주파수변화제동등,5,1.25,0.0335,1.047
16,C점멸주파수변화제동등,6,1.136,0.00498,0.954
16,C점멸주파수변화제동등,7,1.245,0.0,0.767
16,C점멸주파수변화제동등,8,2.158,0.0,0.0
16,C점멸주파수변화제동등,9,1.793,0.0,0.0
16,C점멸주파수변화제동등,10,1.528,0.20689,0.231
16,C점멸주파수변화제동등,11,2.758,0.0,0.0
16,C점멸주파수변화제동등,12,1.922,0.0,0.492
16,C점멸주파수변화제동등,13,1.783,0.0,0.0
16,C점멸주파수변화제동등,14,1.334,0.0,0.586
16,C점멸주파수변화제동등,15,0.918,0.00928,0.839
16,C점멸주파수변화제동등,16,2.556,0.07326,0.145
16,C점멸주파수변화제동등,17,2.521,0.0,0.793
16,C점멸주파수변화제동등,18,1.953,0.0,0.604
16,C점멸주파수변화제동등,19,1.801,0.0,0.0
16,C점멸주파수변화제동등,20,1.365,0.0,0.0
16,C점멸주파수변화제동등,21,0.913,0.01029,0.153
16,C점멸주파수변화제동등,22,2.351,0.0,0.0
16,C점멸주파수변화제동등,23,3.475,0.0,0.547
16,C점멸주파수변화제동등,24,1.218,0.0,0.0
16,C점멸주파수변화제동등,25,1.932,0.0,0.739
16,C점멸주파수변화제동등,26,0.911,0.09391,0.0
16,C점멸주파수변화제동등,27,1.782,0.0,0.0
16,C점멸주파수변화제동등,28,1.772,0.0,0.0
16,D면적변화제동등,1,1.765,0.0,0.341
16,D면적변화제동등,2,1.76,0.0,0.928
16,D면적변화제동등,3,1.005,0.22585,0.0
16,D면적변화제동등,4,1.252,0.0,0.525
16,D면적변화제동등,5,2.46,0.0,1.128
16,D면적변화제동등,6,2.644,0.0,2.092
16,D면적변화제동등,7,2.746,0.0,0.568
16,D면적변화제동등,8,1.784,0.0,0.664
16,D면적변화제동등,9,3.05,0.0,2.0
16,D면적변화제동등,10,0.915,0.0216,0.323
16,D면적변화제동등,11,2.473,0.0,0.674
16,D면적변화제동등,12,1.943,0.0,0.438
16,D면적변화제동등,13,2.359,0.0,1.147
16,D면적변화제동등,14,3.427,0.0,0.941
16,D면적변화제동등,15,1.335,0.08366,0.329
16,D면적변화제동등,16,1.526,0.0,1.068
16,D면적변화제동등,17,1.782,0.0,0.677
16,D면적변화제동등,18,1.786,0.0,0.157
16,D면적변화제동등,19,1.394,0.0,0.654
16,D면적변화제동등,20,1.333,0.06686,0.975
16,D면적변화제동등,21,1.23,0.0,0.112
16,D면적변화제동등,22,1.771,0.0,0.705
16,D면적변화제동등,23,2.971,0.0,2.021
16,D면적변화제동등,24,1.229,0.0,0.0
17,A기본제동등,1,1.769,0.0,0.791
17,A기본제동등,2,1.373,0.0,1.292
17,A기본제동등,3,1.92,0.0,0.24
17,A기본제동등,4,1.745,0.0,0.258
17,A기본제동등,5,1.364,0.0,0.348
17,A기본제동등,6,1.503,0.30675,0.515
17,A기본제동등,7,2.91,0.0,0.0
17,A기본제동등,8,1.905,0.0,1.749
17,A기본제동등,9,1.787,0.0,0.512
17,A기본제동등,10,1.355,0.0,0.0
17,A기본제동등,11,1.358,0.0,0.66
17,A기본제동등,12,2.361,0.0,1.883
17,A기본제동등,13,1.781,0.0,0.661
17,A기본제동등,14,1.224,0.0,0.477
17,A기본제동등,15,1.375,0.0,0.671
17,A기본제동등,16,2.325,0.0,1.391
17,A기본제동등,17,1.757,0.0,0.827
17,A기본제동등,18,2.463,0.0,0.0
17,A기본제동등,19,3.312,0.0,0.677
17,A기본제동등,20,1.204,0.0,0.449
17,A기본제동등,21,1.934,0.0,0.887
17,B밝기변화제동등,1,2.463,0.0,0.473
17,B밝기변화제동등,2,1.922,0.0,0.117
17,B밝기변화제동등,3,1.359,0.0,1.197
17,B밝기변화제동등,4,1.777,0.0,0.0
17,B밝기변화제동등,5,1.757,0.32992,0.26
17,B밝기변화제동등,6,1.24,0.0,0.0
17,B밝기변화제동등,7,1.153,0.0,0.412
17,B밝기변화제동등,8,1.351,0.0,0.304
17,B밝기변화제동등,9,2.335,0.0,0.0
17,B밝기변화제동등,10,0.834,0.0,0.834
17,B밝기변화제동등,11,3.461,0.0,1.228
17,B밝기변화제동등,12,1.767,0.0,0.0
17,B밝기변화제동등,13,1.372,0.0,0.999
17,B밝기변화제동등,14,3.517,0.0,0.282
17,B밝기변화제동등,15,1.478,0.06138,0.625
17,B밝기변화제동등,16,1.582,0.18277,0.999
17,B밝기변화제동등,17,1.783,0.0,0.669
17,B밝기변화제동등,18,1.374,0.0,0.982
17,B밝기변화제동등,19,2.348,0.0,1.712
17,B밝기변화제동등,20,2.761,0.0,0.0
17,B밝기변화제동등,21,1.912,0.10979,0.522
17,B밝기변화제동등,22,1.95,0.0,0.0
17,B밝기변화제동등,23,1.347,0.0,0.0
17,B밝기변화제동등,24,1.222,0.0,0.0
17,B밝기변화제동등,25,1.944,0.0,0.0
17,C점멸주파수변화제동등,1,1.802,0.0,1.038
17,C점멸주파수변화제동등,2,2.771,0.0,0.78
17,C점멸주파수변화제동등,3,1.904,0.0,0.437
17,C점멸주파수변화제동등,4,1.375,0.0,1.192
17,C점멸주파수변화제동등,5,3.066,0.08005,0.145
17,C점멸주파수변화제동등,6,1.782,0.0,0.0
17,C점멸주파수변화제동등,7,1.381,0.0,0.746
17,C점멸주파수변화제동등,8,1.396,0.01841,0.504
17,C점멸주파수변화제동등,9,2.348,0.0,1.298
17,C점멸주파수변화제동등,10,2.362,0.0,0.594
17,C점멸주파수변화제동등,11,1.875,0.0,0.0
17,C점멸주파수변화제동등,12,3.259,0.05962,2.035
17,C점멸주파수변화제동등,13,1.251,0.0,0.743
17,C점멸주파수변화제동등,14,1.921,0.0,0.75
17,C점멸주파수변화제동등,15,1.764,0.0,0.0
17,C점멸주파수변화제동등,16,2.351,0.00335,0.504
17,C점멸주파수변화제동등,17,1.754,0.00878,0.591
17,C점멸주파수변화제동등,18,1.947,0.0,0.801
17,C점멸주파수변화제동등,19,1.773,0.04319,0.388
17,C점멸주파수변화제동등,20,1.374,0.0,0.647
17,C점멸주파수변화제동등,21,1.515,0.45708,0.0
17,C점멸주파수변화제동등,22,2.252,0.19627,0.525
17,C점멸주파수변화제동등,23,1.352,0.22244,0.227
17,D면적변화제동등,1,1.804,0.0,0.546
17,D면적변화제동등,2,1.763,0.0,0.836
17,D면적변화제동등,3,1.388,0.0,0.111
17,D면적변화제동등,4,1.369,0.0,0.0
17,D면적변화제동등,5,2.351,0.09106,0.86
17,D면적변화제동등,6,1.214,0.0,0.0
17,D면적변화제동등,7,1.931,0.0,0.0
17,D면적변화제동등,8,2.332,0.0,0.7
17,D면적변화제동등,9,3.287,0.0,0.768
17,D면적변화제동등,10,1.766,0.0,0.0
17,D면적변화제동등,11,1.361,0.0,0.719
17,D면적변화제동등,12,1.248,0.0,0.0
17,D면적변화제동등,13,1.383,0.0,0.355
17,D면적변화제동등,14,2.397,0.25069,0.614
17,D면적변화제동등,15,2.327,0.03075,0.697
17,D면적변화제동등,16,1.797,0.0,0.425
17,D면적변화제동등,17,1.793,0.0,0.0
17,D면적변화제동등,18,1.375,0.0,0.0
17,D면적변화제동등,19,2.76,0.0,0.74
17,D면적변화제동등,20,1.91,0.0,0.0
17,D면적변화제동등,21,1.792,0.0,0.0
18,A기본제동등,1,1.221,0.0,0.435
18,A기본제동등,2,1.923,0.0,1.098
18,A기본제동등,3,1.218,0.0,0.0
18,A기본제동등,4,1.375,0.01958,0.0
18,A기본제동등,5,1.778,0.0,0.597
18,A기본제동등,6,1.355,0.0,0.0
18,A기본제동등,7,1.237,0.09553,0.0
18,A기본제동등,8,1.925,0.0,1.4
18,A기본제동등,9,0.919,0.00109,0.879
18,A기본제동등,10,2.342,0.0,0.509
18,A기본제동등,11,1.636,0.0,0.667
18,A기본제동등,12,1.378,0.0,0.158
18,A기본제동등,13,1.748,0.0,0.797
18,A기본제동등,14,1.51,0.01406,1.366
18,A기본제동등,15,1.218,0.0,0.184
18,A기본제동등,16,2.329,0.0,0.0
18,A기본제동등,17,1.762,0.0,0.563
18,A기본제동등,18,1.321,0.0,0.81
18,A기본제동등,19,1.775,0.0,0.0
18,A기본제동등,20,2.788,0.0,2.591
18,A기본제동등,21,1.903,0.0,0.474
18,A기본제동등,22,2.376,0.0,1.17
18,A기본제동등,23,1.703,0.07079,0.362
18,A기본제동등,24,3.492,0.0,0.186
18,B밝기변화제동등,1,1.377,0.0,0.568
18,B밝기변화제동등,2,2.206,0.0,0.154
18,B밝기변화제동등,3,1.215,0.0,0.0
18,B밝기변화제동등,4,1.426,0.0,0.584
18,B밝기변화제동등,5,1.229,0.0,0.644
18,B밝기변화제동등,6,1.905,0.0,0.559
18,B밝기변화제동등,7,1.79,0.0,1.052
18,B밝기변화제동등,8,1.388,0.0,0.0
18,B밝기변화제동등,9,1.153,0.08049,0.629
18,B밝기변화제동등,10,1.764,0.0,1.464
18,B밝기변화제동등,11,2.359,0.0,0.0
18,B밝기변화제동등,12,3.318,0.0,0.469
18,B밝기변화제동등,13,0.99,0.0,0.788
18,B밝기변화제동등,14,1.431,0.0,0.105
18,B밝기변화제동등,15,2.773,0.0,0.461
18,B밝기변화제동등,16,1.785,0.0,0.0
18,B밝기변화제동등,17,1.716,0.07418,0.272
18,B밝기변화제동등,18,1.799,0.0,0.115
18,B밝기변화제동등,19,1.774,0.0,0.0
18,B밝기변화제동등,20,1.789,0.0,0.0
18,B밝기변화제동등,21,1.359,0.0,0.0
18,B밝기변화제동등,22,0.913,0.0,0.704
18,B밝기변화제동등,23,2.485,0.0,0.221
18,B밝기변화제동등,24,1.93,0.0,0.072
18,C점멸주파수변화제동등,1,2.328,0.0,0.449
18,C점멸주파수변화제동등,2,3.315,0.0,0.157
18,C점멸주파수변화제동등,3,1.761,0.0,0.659
18,C점멸주파수변화제동등,4,1.762,0.0,0.0
18,C점멸주파수변화제동등,5,1.361,0.0,0.196
18,C점멸주파수변화제동등,6,1.612,0.01097,1.355
18,C점멸주파수변화제동등,7,1.785,0.0,0.495
18,C점멸주파수변화제동등,8,1.368,0.0,0.116
18,C점멸주파수변화제동등,9,2.75,0.0,0.72
18,C점멸주파수변화제동등,10,1.938,0.0,0.685
18,C점멸주파수변화제동등,11,1.753,0.0,0.0
18,C점멸주파수변화제동등,12,1.363,0.0,0.404
18,C점멸주파수변화제동등,13,2.325,0.0,0.154
18,C점멸주파수변화제동등,14,1.796,0.0,0.0
18,C점멸주파수변화제동등,15,2.475,0.0,1.011
18,C점멸주파수변화제동등,16,1.938,0.0,0.0
18,C점멸주파수변화제동등,17,1.668,0.0,0.159
18,C점멸주파수변화제동등,18,1.353,0.0,0.122
18,C점멸주파수변화제동등,19,1.234,0.0,0.0
18,C점멸주파수변화제동등,20,1.149,0.0629,0.403
18,C점멸주파수변화제동등,21,1.374,0.0,0.121
18,C점멸주파수변화제동등,22,1.222,0.0,0.986
18,C점멸주파수변화제동등,23,1.927,0.0,1.622
18,D면적변화제동등,1,0.958,0.01342,0.0
18,D면적변화제동등,2,1.781,0.0,0.389
