참여자번호,브레이크유형,감속정도,구간번호,브레이크세기,반응시간,인지시간,브레이크횟수,실시간앞차간격최소,실시간앞차간격최대
1,A기본제동등,저감속,1,0.24119,1.068,0.257,1,9.37979,18.14566
1,A기본제동등,고감속,1,0.2869,0.898,0.087,1,9.18805,17.86539
1,A기본제동등,저감속,2,0,0,0.584,0,24.79855,25.94856
1,A기본제동등,저감속,3,0,0,0,0,21.10405,22.2349
1,A기본제동등,저감속,4,0,0,0.659,0,29.87725,32.21968
1,A기본제동등,저감속,5,0,0,2.061,0,23.65984,32.16508
1,A기본제동등,저감속,6,0,0,0,0,22.99772,23.3697
1,A기본제동등,저감속,7,0.03983,1.628,0.503,1,16.56113,25.35633
1,A기본제동등,고감속,2,0.03919,1.481,0.356,1,16.46436,25.35633
1,A기본제동등,저감속,8,0,0,0.197,0,19.22526,20.84055
1,A기본제동등,고감속,3,0.24594,1.158,0.379,1,10.25951,27.82907
1,A기본제동등,저감속,9,0,0,0.269,0,20.71625,27.25081
1,A기본제동등,저감속,10,0,0,0.237,0,25.95458,29.51436
1,A기본제동등,저감속,11,0,0,0.302,0,26.76236,28.56511
1,A기본제동등,저감속,12,0,0,2.606,0,31.69176,35.31741
1,A기본제동등,저감속,13,0,0,0.417,0,23.7525,29.96756
1,A기본제동등,저감속,14,0,0,0.619,0,20.89581,25.42166
1,A기본제동등,고감속,4,0.01173,1.732,0.538,1,19.72391,25.42166
1,A기본제동등,저감속,15,0,0,2.14,0,31.84091,36.36495
1,A기본제동등,고감속,5,0,0,0.618,0,17.95376,29.87046
1,A기본제동등,저감속,16,0,0,0.353,0,17.17766,29.87046
1,A기본제동등,저감속,17,0,0,0.516,0,25.42095,27.17068
1,A기본제동등,저감속,18,0,0,0.286,0,25.03287,26.00807
1,A기본제동등,저감속,19,0,0,0.471,0,28.30965,35.24698
1,A기본제동등,고감속,6,0.01594,1.379,0.399,1,17.64281,28.02854
1,A기본제동등,저감속,20,0,0,0.189,0,24.2412,27.49532
1,A기본제동등,저감속,21,0,0,0.825,0,17.39149,21.38645
1,A기본제동등,저감속,22,0,0,0.333,0,15.64596,20.37844
1,A기본제동등,저감속,23,0,0,0,0,19.24138,19.76859
1,A기본제동등,저감속,24,0,0,0.469,0,23.05496,29.44412
1,A기본제동등,고감속,7,0.00797,1.71,0.066,1,16.94216,28.93876
1,A기본제동등,저감속,25,0,0,0.402,0,24.2035,28.82642
1,A기본제동등,저감속,26,0,0,0.436,0,24.60346,25.12351
1,A기본제동등,고감속,8,0,0,1.768,0,24.18411,42.5069
1,B밝기변화제동등,저감속,1,0,0,0.596,0,16.01003,24.5376
1,B밝기변화제동등,고감속,1,0,0,0.435,0,12.33978,24.5376
1,B밝기변화제동등,저감속,2,0,0,0,0,30.414,43.55564
1,B밝기변화제동등,저감속,3,0,0,0,0,36.23877,44.68206
1,B밝기변화제동등,저감속,4,0,0,0,0,26.98368,30.77623
1,B밝기변화제동등,고감속,2,0.0539,1.841,0.414,1,23.04647,44.17107
1,B밝기변화제동등,저감속,5,0.06943,1.629,0.201,1,22.4105,43.49256
1,B밝기변화제동등,저감속,6,0,0,0,0,34.57682,38.71634
1,B밝기변화제동등,고감속,3,0.24707,0.951,0.414,1,10.54227,23.31075
