참여자번호,브레이크유형,감속정도,구간번호,브레이크세기,반응시간,인지시간,브레이크횟수,실시간앞차간격최소,실시간앞차간격최대
1,B밝기변화제동등,저감속,7,0.26739,0.768,0.231,1,10.63539,22.51768
1,B밝기변화제동등,저감속,8,0,0,0,0,29.43532,31.32463
1,B밝기변화제동등,고감속,4,0.05188,0.968,0,1,14.15848,19.38733
1,B밝기변화제동등,저감속,9,0,0,0.521,0,17.94349,18.76112
1,B밝기변화제동등,고감속,5,0.00383,2.247,0.461,1,21.87878,27.07298
1,B밝기변화제동등,저감속,10,0.00107,1.945,0.159,1,22.43637,27.07298
1,B밝기변화제동등,저감속,11,0,0,1.103,0,30.80833,32.7315
1,B밝기변화제동등,저감속,12,0,0,0,0,22.66992,30.70482
1,B밝기변화제동등,저감속,13,0,0,1.419,0,36.68612,39.65763
1,B밝기변화제동등,저감속,14,0,0,0.338,0,28.12198,32.56499
1,B밝기변화제동등,저감속,15,0,0,0,0,38.64654,44.02832
1,B밝기변화제동등,저감속,16,0,0,0.984,0,27.21335,33.19524
1,B밝기변화제동등,저감속,17,0,0,0.389,0,26.60645,28.21048
1,B밝기변화제동등,저감속,18,0,0,0,0,40.79193,41.88398
1,B밝기변화제동등,저감속,19,0,0,0.548,0,31.29123,33.35737
1,B밝기변화제동등,고감속,6,0.0383,1.616,0.435,1,22.31663,33.35737
1,B밝기변화제동등,저감속,20,0,0,0.382,0,32.47219,43.2944
1,B밝기변화제동등,저감속,21,0.01652,0.918,0,1,14.13043,18.585
1,B밝기변화제동등,고감속,7,0.13655,0.616,0,1,11.86893,17.84816
1,B밝기변화제동등,저감속,22,0,0,0.664,0,14.48317,25.94897
1,B밝기변화제동등,고감속,8,0.06509,0.932,0.182,1,17.9466,32.64739
1,B밝기변화제동등,저감속,23,0.11583,0,0,0,19.3371,25.82741
1,B밝기변화제동등,저감속,24,0,0,0,0,18.8917,21.42667
1,B밝기변화제동등,저감속,25,0,0,0.748,0,20.14747,22.23509
1,B밝기변화제동등,저감속,26,0,0,0.876,0,23.48621,24.34172
1,B밝기변화제동등,저감속,27,0,0,1.246,0,30.87906,43.70852
1,B밝기변화제동등,고감속,9,0,0,1.047,0,28.23656,43.70852
1,B밝기변화제동등,고감속,10,0.00324,2.613,0.458,1,14.20154,26.15203
1,B밝기변화제동등,저감속,28,0.00687,1.434,0,1,13.72995,24.63087
1,C점멸주파수변화제동등,저감속,1,0.0881,1.334,0.545,1,13.78309,20.94596
1,C점멸주파수변화제동등,고감속,1,0.17379,1.167,0.378,1,11.92714,20.94596
1,C점멸주파수변화제동등,저감속,2,0,0,0.324,0,23.8649,28.70567
1,C점멸주파수변화제동등,저감속,3,0,0,0.509,0,23.7996,25.1812
1,C점멸주파수변화제동등,저감속,4,0.00356,2.028,0.509,1,25.32283,32.29424
1,C점멸주파수변화제동등,고감속,2,0.03089,1.841,0.322,1,23.15973,32.29424
1,C점멸주파수변화제동등,고감속,3,0.0136,0.695,0,1,25.80241,30.49383
1,C점멸주파수변화제동등,저감속,5,0,0,0.474,0,24.9596,25.52394
1,C점멸주파수변화제동등,저감속,6,0,0,1.207,0,24.55171,29.56787
1,C점멸주파수변화제동등,저감속,7,0,0,2.635,0,27.2687,35.59288
1,C점멸주파수변화제동등,저감속,8,0,0,0.315,0,25.00187,25.48343
1,C점멸주파수변화제동등,저감속,9,0.08512,1.152,0.529,1,27.96613,31.86357
1,C점멸주파수변화제동등,고감속,4,0.09158,1.022,0.399,1,28.09858,31.86357
1,C점멸주파수변화제동등,고감속,5,0.03791,1.379,0,1,16.49648,25.03815
1,C점멸주파수변화제동등,저감속,10,0.04007,1.236,0,1,16.57386,24.76569
1,C점멸주파수변화제동등,저감속,11,0.03424,1.537,0.956,1,13.26278,22.14948
1,C점멸주파수변화제동등,저감속,12,0,0,1.075,0,24.79239,28.05638
1,C점멸주파수변화제동등,저감속,13,0,0,0.403,0,23.53857,26.49316
1,C점멸주파수변화제동등,저감속,14,0,0,0.445,0,32.0905,34.31386
1,C점멸주파수변화제동등,저감속,15,0.037,1.114,0.468,1,16.03856,26.34835
1,C점멸주파수변화제동등,고감속,6,0.04633,1.039,0.391,1,17.61667,26.14742
1,C점멸주파수변화제동등,저감속,16,0,0,0.403,0,29.18278,32.20191
1,C점멸주파수변화제동등,고감속,7,0.12227,0.833,0.244,1,15.49637,25.08711
1,C점멸주파수변화제동등,저감속,17,0,0,0,0,19.53844,25.24306
1,C점멸주파수변화제동등,저감속,18,0,0,0.212,0,16.14894,16.32309
1,C점멸주파수변화제동등,고감속,8,0.01656,1.988,0.037,1,19.72874,30.28582
1,C점멸주파수변화제동등,저감속,19,0.04611,0.408,0,1,19.46378,25.38595
1,C점멸주파수변화제동등,저감속,20,0,0,0.198,0,20.01563,24.03293
1,C점멸주파수변화제동등,저감속,21,0,0,0.412,0,21.2426,22.85509
1,C점멸주파수변화제동등,저감속,22,0,0,0.751,0,23.48123,27.02941
1,C점멸주파수변화제동등,저감속,23,0,0,1.505,0,21.32247,28.59117
1,C점멸주파수변화제동등,저감속,24,0,0,0.559,0,24.70433,26.05338
1,C점멸주파수변화제동등,저감속,25,0,0,1.398,0,27.30135,31.53519
1,C점멸주파수변화제동등,저감속,26,0,0,1.793,0,26.50101,32.90675
1,D면적변화제동등,저감속,1,0,0,0.302,0,24.30028,29.72273
1,D면적변화제동등,저감속,2,0,0,0.398,0,25.2609,26.01417
1,D면적변화제동등,저감속,3,0,0,1.384,0,22.72785,28.7342
1,D면적변화제동등,고감속,1,0.15136,1.11,0.374,1,13.81226,24.21857
1,D면적변화제동등,저감속,4,0,0,0.888,0,21.68249,26.19251
1,D면적변화제동등,고감속,2,0.13172,0.982,0.358,1,14.76446,22.38821
1,D면적변화제동등,저감속,5,0.15497,0.698,0.074,1,15.07255,21.86709
1,D면적변화제동등,저감속,6,0,0,0.781,0,27.56642,31.49097
1,D면적변화제동등,저감속,7,0,0,2.241,0,34.99567,40.09254
1,D면적변화제동등,고감속,3,0.09691,0.932,0.194,1,16.52694,22.39698
1,D면적변화제동등,저감속,8,0.09563,0.776,0.075,1,16.40473,22.03895
1,D면적변화제동등,저감속,9,0,0,0.674,0,20.81914,24.09939
1,D면적변화제동등,저감속,10,0,0,0.61,0,29.08956,30.27127
1,D면적변화제동등,저감속,11,0.01296,2.713,0.809,1,26.46593,40.73903
1,D면적변화제동등,고감속,4,0.01605,2.525,0.621,1,26.17368,40.73903
1,D면적변화제동등,저감속,12,0,0,0.859,0,29.74086,33.3254
1,D면적변화제동등,저감속,13,0,0,1.125,0,28.9229,32.51238
1,D면적변화제동등,저감속,14,0,0,1.184,0,31.86515,34.46859
1,D면적변화제동등,저감속,15,0.14841,1.194,0.224,1,10.82644,25.44148
1,D면적변화제동등,고감속,5,0.25288,0,0,0,10.85451,18.15707
1,D면적변화제동등,저감속,16,0,0,0.409,0,28.00537,32.14605
1,D면적변화제동등,저감속,17,0.24762,0.969,0.447,1,11.20413,23.11646
1,D면적변화제동등,고감속,6,0.16875,0.968,0.446,1,12.66847,23.0311
1,D면적변화제동등,저감속,18,0,0,0.455,0,22.76213,27.71692
1,D면적변화제동등,저감속,19,0,0,0,0,22.81939,23.80225
1,D면적변화제동등,고감속,7,0.01544,1.676,0.44,1,26.44468,34.03544
1,D면적변화제동등,저감속,20,0,0,0.251,0,21.9854,24.73123
1,D면적변화제동등,고감속,8,0,0,0.553,0,20.6934,22.69293
1,D면적변화제동등,저감속,21,0,0,0.517,0,21.44,22.69293
1,D면적변화제동등,저감속,22,0,0,0.482,0,17.46005,18.39495
1,D면적변화제동등,저감속,23,0,0,0.745,0,27.31875,28.55274
1,D면적변화제동등,저감속,24,0,0,2.075,0,22.7775,31.4592
1,D면적변화제동등,고감속,9,0.04032,1.234,0.37,1,17.12168,21.89859
1,D면적변화제동등,저감속,25,0.06855,0.219,0,1,17.01181,20.55582
1,D면적변화제동등,저감속,26,0,0,0.673,0,15.57261,20.7515
2,A기본제동등,저감속,1,0,0,0.426,0,21.18642,22.8037
2,A기본제동등,저감속,2,0,0,0,0,25.44762,27.18874
2,A기본제동등,저감속,3,0,0,1.178,0,32.6602,34.87368
2,A기본제동등,고감속,1,0.03905,2.233,0,1,17.61838,30.25497
2,A기본제동등,저감속,4,0,0,0.97,0,20.55652,30.1711
2,A기본제동등,저감속,5,0,0,0.614,0,23.1742,27.59003
2,A기본제동등,저감속,6,0,0,0.412,0,27.37737,29.97681
2,A기본제동등,저감속,7,0,0,0.692,0,35.13169,35.83951
2,A기본제동등,저감속,8,0.02048,1.326,0.355,1,27.44069,32.88552
2,A기본제동등,고감속,2,0.05724,1.185,0.214,1,24.1836,32.78675
2,A기본제동등,저감속,9,0,0,0.399,0,29.07755,31.00409
2,A기본제동등,저감속,10,0.06137,2.221,0.191,1,23.70431,32.57911
2,A기본제동등,고감속,3,0.1053,2.072,0.118,1,22.53736,32.57911
2,A기본제동등,저감속,11,0,0,0.39,0,22.86307,24.6104
2,A기본제동등,고감속,4,0.04551,2.094,0,1,22.92714,32.86351
2,A기본제동등,저감속,12,0.03364,1.742,0,1,23.45541,32.43067
2,A기본제동등,저감속,13,0,0,0.508,0,21.70069,25.41155
2,A기본제동등,저감속,14,0,0,0.31,0,19.31473,20.79345
2,A기본제동등,저감속,15,0,0,0.351,0,22.10894,24.86776
2,A기본제동등,저감속,16,0.00034,2.729,0.318,1,22.67073,34.24934
2,A기본제동등,고감속,5,0,0,0.246,0,23.34601,34.24934
2,A기본제동등,저감속,17,0,0,0.464,0,23.87029,24.26509
2,A기본제동등,저감속,18,0,0,0.219,0,24.78807,33.49637
2,A기본제동등,고감속,6,0.01345,2.167,0.408,1,24.26378,35.86355
2,A기본제동등,저감속,19,0.00031,1.723,0.072,1,25.74257,35.45386
2,A기본제동등,저감속,20,0,0,0.338,0,39.86675,40.48357
2,A기본제동등,저감속,21,0,0,0,0,29.20646,32.2774
2,A기본제동등,저감속,22,0,0,0.353,0,24.53148,26.62199
2,A기본제동등,저감속,23,0,0,0.428,0,27.09949,27.74493
2,A기본제동등,저감속,24,0,0,0.649,0,34.77307,37.05335
2,A기본제동등,고감속,7,0.00897,2.825,0.471,1,25.01899,37.05335
2,A기본제동등,저감속,25,0.04232,1.014,0.322,1,19.75397,23.19474
2,A기본제동등,저감속,26,0.03338,1.661,0.624,1,21.16015,28.20472
2,A기본제동등,고감속,8,0.02646,1.479,0.442,1,21.46286,28.20472
2,A기본제동등,저감속,27,0,0,0.618,0,24.16878,27.83736
2,B밝기변화제동등,저감속,1,0.10984,1.158,0.496,1,21.84825,24.67022
2,B밝기변화제동등,고감속,1,0.10453,0.997,0.335,1,20.57422,24.67022
2,B밝기변화제동등,저감속,2,0,0,0.477,0,22.90609,23.55272
2,B밝기변화제동등,저감속,3,0,0,0.479,0,24.36484,24.83187
2,B밝기변화제동등,저감속,4,0,0,0.377,0,23.65254,27.38367
2,B밝기변화제동등,저감속,5,0,0,0,0,22.67326,24.6766
2,B밝기변화제동등,고감속,2,0,0,0.284,0,28.39111,30.79234
2,B밝기변화제동등,저감속,6,0.19315,0,0,0,23.61054,27.30721
2,B밝기변화제동등,저감속,7,0,0,0.346,0,23.5639,24.27859
2,B밝기변화제동등,저감속,8,0,0,0.191,0,22.35952,27.50888
2,B밝기변화제동등,저감속,9,0,0,0.37,0,29.7575,30.87368
2,B밝기변화제동등,저감속,10,0,0,1.378,0,30.63973,35.09413
2,B밝기변화제동등,저감속,11,0,0,0.328,0,29.12823,30.47141
2,B밝기변화제동등,저감속,12,0,0,0.644,0,29.44343,30.15501
2,B밝기변화제동등,저감속,13,0.13179,1.072,0.392,1,21.96956,28.54834
2,B밝기변화제동등,고감속,3,0.14155,0.999,0.319,1,20.73561,28.49292
2,B밝기변화제동등,저감속,14,0,0,0.318,0,26.43712,30.73117
2,B밝기변화제동등,저감속,15,0,0,0.599,0,27.64238,27.96299
2,B밝기변화제동등,고감속,4,0.1012,1.066,0,1,26.19166,27.96299
2,B밝기변화제동등,저감속,16,0,0,0.316,0,21.65377,27.40055
2,B밝기변화제동등,저감속,17,0.09378,1.133,0.47,1,22.78467,24.74146
2,B밝기변화제동등,고감속,5,0.11524,0.807,0.143,1,22.78467,24.74146
2,B밝기변화제동등,저감속,18,0,0,1.206,0,28.4631,36.8228
2,B밝기변화제동등,저감속,19,0,0,0,0,30.23466,30.83268
2,B밝기변화제동등,저감속,20,0,0,0,0,27.57201,27.95389
2,B밝기변화제동등,고감속,6,0.05963,1.244,0,1,26.02383,30.75608
2,B밝기변화제동등,저감속,21,0.07549,0.704,0,1,25.89787,30.35815
2,B밝기변화제동등,저감속,22,0,0,0.467,0,20.6715,27.81089
2,B밝기변화제동등,저감속,23,0,0,0.3,0,19.7527,23.65462
2,B밝기변화제동등,고감속,7,0.22464,0.726,0,1,21.9226,25.71614
2,B밝기변화제동등,저감속,24,0.22653,0.645,0,1,21.9226,25.54733
2,B밝기변화제동등,저감속,25,0,0,0.576,0,22.4913,25.92926
2,B밝기변화제동등,고감속,8,0.12601,1.039,0.511,1,22.04909,26.73874
2,B밝기변화제동등,저감속,26,0.12495,1.001,0.473,1,22.04909,26.73874
2,B밝기변화제동등,저감속,27,0,0,0.54,0,21.35278,24.59475
2,C점멸주파수변화제동등,저감속,1,0.1013,0.89,0.307,1,24.09291,26.45514
2,C점멸주파수변화제동등,저감속,2,0,0,0.819,0,43.40482,44.54014
2,C점멸주파수변화제동등,고감속,1,0.15789,0.818,0.29,2,21.99021,39.15415
2,C점멸주파수변화제동등,저감속,3,0,0,0.204,0,19.30691,22.0166
2,C점멸주파수변화제동등,저감속,4,0,0,0.345,0,24.8422,25.09558
2,C점멸주파수변화제동등,저감속,5,0,0,1.727,0,21.75982,29.03886
2,C점멸주파수변화제동등,저감속,6,0,0,0.462,0,21.2711,22.42662
2,C점멸주파수변화제동등,저감속,7,0.1764,1.142,0.615,1,25.5267,29.6149
2,C점멸주파수변화제동등,고감속,2,0.18467,0.953,0.391,1,25.56211,29.6149
2,C점멸주파수변화제동등,저감속,8,0,0,1.475,0,34.12589,37.73423
2,C점멸주파수변화제동등,고감속,3,0.17836,1.054,0.389,1,23.23512,30.45221
2,C점멸주파수변화제동등,저감속,9,0.18928,0.977,0.312,1,23.38091,30.36675
2,C점멸주파수변화제동등,저감속,10,0,0,0.379,0,24.03053,28.14378
2,C점멸주파수변화제동등,저감속,11,0,0,0.535,0,18.5989,23.28591
2,C점멸주파수변화제동등,고감속,4,0.1367,0.973,0.374,1,21.82628,29.82105
2,C점멸주파수변화제동등,저감속,12,0.21008,0.168,0,1,22.3922,27.45412
2,C점멸주파수변화제동등,저감속,13,0,0,0.312,0,19.49178,22.70659
2,C점멸주파수변화제동등,저감속,14,0,0,0.55,0,32.41364,33.27882
2,C점멸주파수변화제동등,저감속,15,0,0,0,0,44.54886,47.00596
2,C점멸주파수변화제동등,고감속,5,0.10036,0.971,0.502,1,22.47004,33.52596
2,C점멸주파수변화제동등,저감속,16,0.14448,0.757,0.288,1,25.01598,33.2103
2,C점멸주파수변화제동등,저감속,17,0,0,0.283,0,17.84502,19.51929
2,C점멸주파수변화제동등,고감속,6,0.03356,1.86,0.429,1,22.25523,32.12398
2,C점멸주파수변화제동등,저감속,18,0.00507,1.317,0,1,24.28638,31.44402
2,C점멸주파수변화제동등,저감속,19,0,0,0.548,0,28.37501,30.3528
2,C점멸주파수변화제동등,저감속,20,0,0,0.162,0,22.81506,30.15184
2,C점멸주파수변화제동등,저감속,21,0,0,0.462,0,30.27423,30.75842
2,C점멸주파수변화제동등,고감속,7,0.26879,0.766,0.315,1,17.63317,24.66825
2,C점멸주파수변화제동등,저감속,22,0.28597,0.486,0.072,1,17.35602,23.84808
2,C점멸주파수변화제동등,저감속,23,0,0,0.245,0,16.97248,21.53664
2,C점멸주파수변화제동등,저감속,24,0,0,0,0,24.88617,25.72532
2,C점멸주파수변화제동등,저감속,25,0.11629,1.434,0.702,1,22.33752,30.05601
2,C점멸주파수변화제동등,고감속,8,0.11068,1.283,0.551,1,21.81335,30.05601
2,C점멸주파수변화제동등,저감속,26,0,0,0.568,0,26.92152,27.40334
2,D면적변화제동등,저감속,1,0,0,0.312,0,24.7518,25.51166
2,D면적변화제동등,저감속,2,0,0,0.461,0,25.79281,27.2478
2,D면적변화제동등,고감속,1,0,0,0.905,0,37.61493,42.46613
2,D면적변화제동등,저감속,3,0,0,0.792,0,37.29675,42.46613
2,D면적변화제동등,저감속,4,0,0,0.287,0,27.29155,27.94725
2,D면적변화제동등,저감속,5,0,0,0.416,0,28.32301,31.53248
2,D면적변화제동등,고감속,2,0.13246,0.599,0,1,18.41352,26.37321
2,D면적변화제동등,저감속,6,0,0,0,0,20.16964,20.86634
2,D면적변화제동등,저감속,7,0,0,0,0,26.35284,26.5801
2,D면적변화제동등,저감속,8,0,0,0.553,0,29.11578,31.9256
2,D면적변화제동등,고감속,3,0.05013,1.27,0.293,1,23.20662,31.9256
2,D면적변화제동등,저감속,9,0,0,1.553,0,33.31777,36.79594
2,D면적변화제동등,저감속,10,0,0,0.389,0,24.64562,28.08421
2,D면적변화제동등,고감속,4,0.06274,1.029,0.28,1,15.38206,23.69902
2,D면적변화제동등,저감속,11,0,0,1.013,0,31.30614,35.18436
2,D면적변화제동등,고감속,5,0.1007,1.15,0.481,1,15.96379,25.26232
2,D면적변화제동등,저감속,12,0.12328,0.793,0.124,1,16.41983,24.7004
2,D면적변화제동등,저감속,13,0,0,0.598,0,29.17124,31.76266
2,D면적변화제동등,저감속,14,0,0,0.407,0,32.52536,33.74416
2,D면적변화제동등,저감속,15,0,0,0.228,0,17.60936,23.1397
2,D면적변화제동등,저감속,16,0,0,0.569,0,26.44923,29.6463
2,D면적변화제동등,고감속,6,0.13119,1.151,0.679,1,17.65214,24.78069
2,D면적변화제동등,저감속,17,0.14183,1.113,0.641,1,17.90887,24.78069
2,D면적변화제동등,저감속,18,0,0,0.361,0,20.09474,21.90953
2,D면적변화제동등,저감속,19,0,0,0.407,0,17.80094,20.69256
2,D면적변화제동등,고감속,7,0.15278,1.092,0.12,1,17.85073,26.83467
2,D면적변화제동등,저감속,20,0,0,0.412,0,23.45173,27.15691
2,D면적변화제동등,저감속,21,0.19742,0.878,0.504,1,18.66496,21.33662
2,D면적변화제동등,고감속,8,0.29612,0.695,0.282,1,19.27815,21.33662
2,D면적변화제동등,저감속,22,0,0,0.113,0,15.45065,18.3974
2,D면적변화제동등,저감속,23,0,0,0.138,0,16.24932,21.48185
2,D면적변화제동등,저감속,24,0.0184,1.686,0.614,1,25.52279,28.09828
2,D면적변화제동등,고감속,9,0.03608,1.539,0.467,1,25.32897,28.09828
3,A기본제동등,저감속,1,0,0,0,0,40.72007,42.65126
3,A기본제동등,저감속,2,0,0,0.973,0,38.52016,42.85867
3,A기본제동등,고감속,1,0.02776,2.281,0.889,1,23.41702,42.85867
3,A기본제동등,저감속,3,0,0,0,0,26.25144,27.9482
3,A기본제동등,저감속,4,0,0,0.253,0,35.25698,37.31844
3,A기본제동등,저감속,5,0,0,0.08,0,28.63017,33.69354
3,A기본제동등,저감속,6,0.01321,1.993,0.739,1,22.41355,36.26269
3,A기본제동등,고감속,2,0.01404,1.863,0.659,1,22.6741,36.26269
3,A기본제동등,저감속,7,0,0,0.41,0,37.03613,42.61454
3,A기본제동등,저감속,8,0,0,0.539,0,26.5097,26.90714
3,A기본제동등,고감속,3,0,0,0.563,0,32.12648,40.24868
3,A기본제동등,저감속,9,0,0,0.527,0,33.8731,40.24868
3,A기본제동등,저감속,10,0,0,0,0,34.83933,35.33585
3,A기본제동등,고감속,4,0.00646,2.008,1.083,1,21.54497,34.35317
3,A기본제동등,저감속,11,0,0,1.002,0,25.24416,34.35317
3,A기본제동등,저감속,12,0,0,0,0,33.12934,37.39287
3,A기본제동등,저감속,13,0,0,0,0,25.4149,26.91104
3,A기본제동등,고감속,5,0.06585,0.959,0.292,1,20.47496,32.56001
3,A기본제동등,저감속,14,0.09348,0.295,0,1,20.97485,28.94128
3,A기본제동등,저감속,15,0,0,0,0,37.25246,41.51822
3,A기본제동등,고감속,6,0.00406,2.375,1.418,1,23.51083,41.45202
3,A기본제동등,저감속,16,0.02161,1.781,0.824,1,19.87273,39.6414
3,A기본제동등,저감속,17,0,0,0.926,0,35.22122,36.47597
3,A기본제동등,저감속,18,0.00023,2.33,0.452,1,27.17628,37.98883
3,A기본제동등,저감속,19,0,0,0.617,0,30.88609,31.46028
3,A기본제동등,고감속,7,0.05459,1.423,0.582,1,17.30229,25.41153
3,A기본제동등,저감속,20,0,0,0.362,0,35.65528,39.05381
3,A기본제동등,저감속,21,0,0,0.202,0,26.07965,33.1432
3,A기본제동등,저감속,22,0.01451,1.239,0.279,1,22.20634,31.65425
3,A기본제동등,저감속,23,0,0,1.027,0,20.67792,23.54676
3,A기본제동등,저감속,24,0,0,0.426,0,18.01565,22.5703
3,A기본제동등,고감속,8,0.06184,1.121,0.396,1,15.73292,22.10596
3,A기본제동등,저감속,25,0,0,0.628,0,20.63254,22.99205
3,A기본제동등,저감속,26,0,0,0.869,0,28.19924,29.25246
3,B밝기변화제동등,고감속,1,0.00763,2.175,1.18,1,30.29088,48.02971
3,B밝기변화제동등,저감속,1,0,0,0.148,0,33.38748,42.93575
3,B밝기변화제동등,저감속,2,0,0,0,0,31.3889,33.25208
3,B밝기변화제동등,저감속,3,0,0,0.607,0,26.35713,32.79715
3,B밝기변화제동등,고감속,2,0.02703,1.397,0.556,1,26.27169,33.59931
3,B밝기변화제동등,저감속,4,0,0,3.192,0,48.00486,56.20142
3,B밝기변화제동등,저감속,5,0,0,0,0,18.92172,20.7236
3,B밝기변화제동등,저감속,6,0,0,0.951,0,30.38453,32.91831
3,B밝기변화제동등,저감속,7,0.01271,1.984,0.466,1,23.94556,33.29461
3,B밝기변화제동등,고감속,3,0.02984,1.906,0.388,1,22.62063,33.28867
3,B밝기변화제동등,저감속,8,0,0,0.352,0,32.58453,32.98463
3,B밝기변화제동등,저감속,9,0,0,0.53,0,30.21785,32.56363
3,B밝기변화제동등,고감속,4,0.06498,1.32,0.437,1,12.44338,27.34383
3,B밝기변화제동등,저감속,10,0.07671,0.883,0,1,12.83039,25.85862
3,B밝기변화제동등,저감속,11,0,0,0.387,0,28.93933,31.29068
3,B밝기변화제동등,저감속,12,0.02422,2.053,0.797,1,23.7965,36.62489
3,B밝기변화제동등,고감속,5,0.0258,1.892,0.636,1,23.99806,36.62489
3,B밝기변화제동등,저감속,13,0,0,0.321,0,20.71456,24.10217
3,B밝기변화제동등,저감속,14,0,0,0.327,0,26.34793,30.395
3,B밝기변화제동등,저감속,15,0,0,1.385,0,31.01441,33.602
3,B밝기변화제동등,저감속,16,0,0,0.398,0,26.35693,27.27231
3,B밝기변화제동등,고감속,6,0.01196,2.307,0.514,1,22.30518,42.37545
3,B밝기변화제동등,저감속,17,0.01161,2.051,0.258,1,22.95118,41.85249
3,B밝기변화제동등,저감속,18,0,0,0,0,35.77987,37.35443
3,B밝기변화제동등,저감속,19,0,0,0.734,0,29.03013,33.63943
3,B밝기변화제동등,저감속,20,0,0,0,0,32.98262,35.72836
3,B밝기변화제동등,고감속,7,0.02792,1.839,0.574,1,20.46415,32.21508
3,B밝기변화제동등,저감속,21,0.00142,1.567,0.302,1,24.13652,32.0447
3,B밝기변화제동등,저감속,22,0.0262,1.336,0.2,1,30.84443,46.898
3,B밝기변화제동등,고감속,8,0.04734,0.579,0,1,29.88249,41.69768
3,B밝기변화제동등,저감속,23,0,0,1.349,0,25.92971,31.10254
3,B밝기변화제동등,저감속,24,0,0,0.958,0,24.0723,27.15141
3,B밝기변화제동등,고감속,9,0.00257,1.944,0.498,1,25.02904,37.00733
3,B밝기변화제동등,저감속,25,0.00083,1.906,0.46,1,27.56222,36.98976
3,B밝기변화제동등,저감속,26,0,0,1.596,0,26.14162,28.71346
3,C점멸주파수변화제동등,저감속,1,0,0,0.576,0,32.63984,33.87442
3,C점멸주파수변화제동등,저감속,2,0.03021,1.786,0.668,1,20.98099,32.77493
3,C점멸주파수변화제동등,고감속,1,0.03724,1.688,0.57,1,19.86779,32.77493
3,C점멸주파수변화제동등,저감속,3,0,0,0.364,0,20.85026,22.00726
3,C점멸주파수변화제동등,고감속,2,0.06445,0.866,0.335,1,21.74876,34.36794
3,C점멸주파수변화제동등,저감속,4,0,0,0.447,0,29.03219,29.59537
3,C점멸주파수변화제동등,저감속,5,0,0,0.254,0,41.43783,43.39794
