참여자번호,브레이크유형,고감속구간 번호,고감속구간길이,최소거리
18,A기본제동등,10,1.926,25.13036
18,B밝기변화제동등,1,4.233,25.45473
18,B밝기변화제동등,2,2.883,19.21679
18,B밝기변화제동등,3,2.707,18.33772
18,B밝기변화제동등,4,2.886,26.30251
18,B밝기변화제동등,5,1.846,28.1141
18,B밝기변화제동등,6,2.357,30.47022
18,B밝기변화제동등,7,2.378,23.5293
18,B밝기변화제동등,8,2.44,29.83041
18,B밝기변화제동등,9,2.303,28.307
18,B밝기변화제동등,10,2.391,25.84941
18,C점멸주파수변화제동등,1,1.851,27.38659
18,C점멸주파수변화제동등,2,2.43,31.38454
18,C점멸주파수변화제동등,3,2.416,15.09855
18,C점멸주파수변화제동등,4,2.907,15.64942
18,C점멸주파수변화제동등,5,2.905,10.32411
18,C점멸주파수변화제동등,6,2.896,26.61647
18,C점멸주파수변화제동등,7,2.12,21.72142
18,C점멸주파수변화제동등,8,2.369,28.23803
18,C점멸주파수변화제동등,9,2.472,34.19949
18,C점멸주파수변화제동등,10,2.874,26.2687
18,D면적변화제동등,1,2.32,28.84797
18,D면적변화제동등,2,2.362,31.50195
18,D면적변화제동등,3,2.371,24.83115
18,D면적변화제동등,4,2.013,34.07798
18,D면적변화제동등,5,2.917,19.10967
18,D면적변화제동등,6,2.88,32.40395
18,D면적변화제동등,7,2.866,24.1834
18,D면적변화제동등,8,2.455,37.47267
18,D면적변화제동등,9,2.024,27.02618
18,D면적변화제동등,10,2.89,14.16892
19,A기본제동등,1,2.387,26.25951
19,A기본제동등,2,2.701,17.29512
19,A기본제동등,3,2.893,16.6722
19,A기본제동등,4,2.02,24.54897
19,A기본제동등,5,2.951,30.09927
19,A기본제동등,6,2.453,21.84962
19,A기본제동등,7,2.864,15.42496
19,A기본제동등,8,2.411,14.37501
19,A기본제동등,9,2.255,37.19411
19,A기본제동등,10,2.364,36.22177
19,B밝기변화제동등,1,2.882,27.28218
19,B밝기변화제동등,2,2.385,18.30735
19,B밝기변화제동등,3,2.39,26.17436
19,B밝기변화제동등,4,2.845,22.4046
19,B밝기변화제동등,5,2.373,38.49341
19,B밝기변화제동등,6,2.353,27.3917
19,B밝기변화제동등,7,1.935,23.67688
19,B밝기변화제동등,8,2.883,25.75059
19,B밝기변화제동등,9,2.394,33.52581
19,B밝기변화제동등,10,2.913,18.59175
19,C점멸주파수변화제동등,1,2.349,27.84622
19,C점멸주파수변화제동등,2,2.365,25.3262
19,C점멸주파수변화제동등,3,2.43,21.9828
19,C점멸주파수변화제동등,4,2.427,29.16701
19,C점멸주파수변화제동등,5,2.761,20.9197
19,C점멸주파수변화제동등,6,1.894,18.51323
19,C점멸주파수변화제동등,7,2.445,24.87667
19,C점멸주파수변화제동등,8,2.893,16.05542
19,C점멸주파수변화제동등,9,2.859,30.39585
19,D면적변화제동등,1,2.34,23.87542
19,D면적변화제동등,2,2.864,21.77588
19,D면적변화제동등,3,2.853,17.98764
19,D면적변화제동등,4,2.351,28.2902
19,D면적변화제동등,5,2.967,23.83154
19,D면적변화제동등,6,1.874,35.05058
19,D면적변화제동등,7,2.886,34.14805
19,D면적변화제동등,8,2.381,35.21861
19,D면적변화제동등,9,2.394,14.31997
19,D면적변화제동등,10,2.42,28.99489
20,A기본제동등,1,2.928,15.02159
20,A기본제동등,2,2.455,34.48135
20,A기본제동등,3,2.394,12.59784
20,A기본제동등,4,2.801,10.34984
20,A기본제동등,5,2.853,13.87212
20,A기본제동등,6,2.396,11.37368
20,A기본제동등,7,2.393,22.53501
20,A기본제동등,8,2.884,19.36617
20,A기본제동등,9,2.364,11.7664
20,B밝기변화제동등,1,2.897,14.52554
20,B밝기변화제동등,2,2.332,14.4438
20,B밝기변화제동등,3,1.866,24.28742
20,B밝기변화제동등,4,2.365,17.83186
20,B밝기변화제동등,5,2.953,9.47171
20,B밝기변화제동등,6,1.932,24.94768
20,B밝기변화제동등,7,2.433,34.00327
20,B밝기변화제동등,8,2.776,21.37287
20,C점멸주파수변화제동등,1,2.37,20.75641
20,C점멸주파수변화제동등,2,1.928,21.11584
20,C점멸주파수변화제동등,3,2.856,13.31507
20,C점멸주파수변화제동등,4,2.786,15.46323
20,C점멸주파수변화제동등,5,2.361,15.48053
20,C점멸주파수변화제동등,6,2.417,18.80528
20,C점멸주파수변화제동등,7,2.404,20.14454
20,C점멸주파수변화제동등,8,1.27,26.55862
20,D면적변화제동등,1,2.333,16.81222
20,D면적변화제동등,2,2.799,19.17966
20,D면적변화제동등,3,2.889,16.61077
20,D면적변화제동등,4,2.727,9.9446
20,D면적변화제동등,5,1.786,31.97689
20,D면적변화제동등,6,2.361,23.33413
20,D면적변화제동등,7,2.477,29.62029
20,D면적변화제동등,8,2.864,11.88775
20,D면적변화제동등,9,2.832,23.3427
21,A기본제동등,1,2.424,24.84382
21,A기본제동등,2,2.871,27.75738
21,A기본제동등,3,2.393,27.66374
21,A기본제동등,4,2.898,26.12229
21,A기본제동등,5,2.385,27.86443
21,A기본제동등,6,1.891,26.02769
21,A기본제동등,7,2.813,14.98005
21,A기본제동등,8,1.224,22.21472
21,A기본제동등,9,2.349,29.25802
21,A기본제동등,10,2.443,23.02491
21,B밝기변화제동등,1,2.342,22.42561
21,B밝기변화제동등,2,2.992,14.36826
21,B밝기변화제동등,3,2.366,27.71404
21,B밝기변화제동등,4,1.874,24.78066
21,B밝기변화제동등,5,2.393,21.27051
21,B밝기변화제동등,6,2.754,19.80569
21,B밝기변화제동등,7,2.844,27.14134
21,B밝기변화제동등,8,2.442,25.78085
21,B밝기변화제동등,9,2.358,29.08766
21,C점멸주파수변화제동등,1,2.378,17.94933
21,C점멸주파수변화제동등,2,2.971,21.56951
21,C점멸주파수변화제동등,3,2.985,22.90124
21,C점멸주파수변화제동등,4,2.413,20.1412
21,C점멸주파수변화제동등,5,1.922,24.19374
21,C점멸주파수변화제동등,6,2.456,30.50272
21,C점멸주파수변화제동등,7,2.882,28.38452
21,C점멸주파수변화제동등,8,2.428,23.10122
21,C점멸주파수변화제동등,9,2.877,31.96345
21,C점멸주파수변화제동등,10,2.367,20.62788
21,D면적변화제동등,1,2.408,23.0589
21,D면적변화제동등,2,2.35,24.82292
21,D면적변화제동등,3,2.885,22.88921
21,D면적변화제동등,4,2.377,26.39982
21,D면적변화제동등,5,2.842,26.1137
21,D면적변화제동등,6,2.39,23.79664
21,D면적변화제동등,7,2.44,27.29923
21,D면적변화제동등,8,2.883,21.58547
21,D면적변화제동등,9,1.56,27.45942
22,A기본제동등,1,2.222,19.96714
22,A기본제동등,2,2.905,19.13759
22,A기본제동등,3,2.394,23.44549
22,A기본제동등,4,1.873,16.15639
22,A기본제동등,5,2.374,20.34043
22,A기본제동등,6,2.372,26.23307
22,A기본제동등,7,2.905,30.07492
22,A기본제동등,8,3.009,29.83044
22,A기본제동등,9,2.613,29.84289
22,B밝기변화제동등,1,2.024,35.48249
22,B밝기변화제동등,2,2.799,29.14281
22,B밝기변화제동등,3,2.888,24.54993
22,B밝기변화제동등,4,2.399,31.02617
22,B밝기변화제동등,5,2.345,29.95149
22,B밝기변화제동등,6,1.87,30.76309
22,B밝기변화제동등,7,2.389,17.96152
22,B밝기변화제동등,8,2.967,26.51702
22,B밝기변화제동등,9,2.922,22.7759
22,B밝기변화제동등,10,2.394,32.57747
22,C점멸주파수변화제동등,1,2.318,21.1307
22,C점멸주파수변화제동등,2,2.442,21.96937
22,C점멸주파수변화제동등,3,2.361,18.1558
22,C점멸주파수변화제동등,4,2.495,15.8936
22,C점멸주파수변화제동등,5,2.95,24.88868
22,C점멸주파수변화제동등,6,2.861,9.47202
22,C점멸주파수변화제동등,7,2.956,21.57525
22,C점멸주파수변화제동등,8,2.388,9.49948
22,C점멸주파수변화제동등,9,1.932,21.98041
22,D면적변화제동등,1,2.471,33.54473
22,D면적변화제동등,2,2.893,15.64333
22,D면적변화제동등,3,2.397,21.32142
22,D면적변화제동등,4,2.944,21.33962
22,D면적변화제동등,5,2.487,15.48462
22,D면적변화제동등,6,2.907,14.39741
22,D면적변화제동등,7,2.79,26.14113
22,D면적변화제동등,8,1.786,22.84495
23,A기본제동등,1,2.392,31.65509
23,A기본제동등,2,2.914,14.41647
23,A기본제동등,3,2.892,24.30796
23,A기본제동등,4,2.912,22.75476
23,A기본제동등,5,2.333,27.35934
23,A기본제동등,6,2.399,13.86648
23,A기본제동등,7,2.353,22.48917
23,A기본제동등,8,1.738,16.26869
23,A기본제동등,9,2.838,20.26993
23,B밝기변화제동등,1,2.443,24.77305
23,B밝기변화제동등,2,2.894,35.09908
23,B밝기변화제동등,3,2.841,22.52453
23,B밝기변화제동등,4,2.382,15.32602
23,B밝기변화제동등,5,1.827,16.39781
23,B밝기변화제동등,6,2.428,21.00802
23,B밝기변화제동등,7,2.395,25.31548
23,B밝기변화제동등,8,2.9,18.82888
23,B밝기변화제동등,9,2.377,23.65714
23,B밝기변화제동등,10,2.766,32.82059
23,C점멸주파수변화제동등,1,2.247,27.81078
23,C점멸주파수변화제동등,2,2.894,20.48192
23,C점멸주파수변화제동등,3,2.377,35.21027
23,C점멸주파수변화제동등,4,1.939,26.11163
23,C점멸주파수변화제동등,5,2.893,26.26223
23,C점멸주파수변화제동등,6,2.875,22.97525
23,C점멸주파수변화제동등,7,2.355,24.00002
23,C점멸주파수변화제동등,8,2.442,21.72775
23,C점멸주파수변화제동등,9,2.394,25.49811
23,D면적변화제동등,1,2.87,36.35222
23,D면적변화제동등,2,2.45,27.13937
23,D면적변화제동등,3,2.407,14.72883
23,D면적변화제동등,4,2.369,40.94749
23,D면적변화제동등,5,2.547,43.21857
23,D면적변화제동등,6,1.92,19.02842
23,D면적변화제동등,7,2.992,16.99219
23,D면적변화제동등,8,2.367,37.12647
23,D면적변화제동등,9,2.889,23.38982
23,D면적변화제동등,10,2.891,34.14664
24,A기본제동등,1,2.448,9.36493
24,A기본제동등,2,1.927,13.91882
24,A기본제동등,3,2.835,4.32257
24,A기본제동등,4,2.374,4.29228
24,A기본제동등,5,2.885,8.75782
24,A기본제동등,6,2.868,18.83573
24,A기본제동등,7,2.375,6.48344
24,A기본제동등,8,2.84,12.22115
24,B밝기변화제동등,1,2.351,8.04191
24,B밝기변화제동등,2,2.356,9.63842
24,B밝기변화제동등,3,2.888,14.47369
24,B밝기변화제동등,4,2.873,10.2786
24,B밝기변화제동등,5,1.738,23.52106
24,B밝기변화제동등,6,2.873,6.65631
24,B밝기변화제동등,7,2.381,32.23965
24,B밝기변화제동등,8,2.596,19.04874
24,C점멸주파수변화제동등,1,2.839,26.52106
24,C점멸주파수변화제동등,2,2.231,13.71835
24,C점멸주파수변화제동등,3,2.937,21.06465
24,C점멸주파수변화제동등,4,2.362,8.09013
24,C점멸주파수변화제동등,5,2.383,4.29394
24,C점멸주파수변화제동등,6,2.381,14.28185
24,C점멸주파수변화제동등,7,2.859,12.73848
24,C점멸주파수변화제동등,8,2.902,5.71327
24,D면적변화제동등,1,2.394,4.28148
24,D면적변화제동등,2,2.889,6.45732
24,D면적변화제동등,3,2.351,12.27187
24,D면적변화제동등,4,2.857,8.45852
24,D면적변화제동등,5,2.364,9.52527
24,D면적변화제동등,6,1.837,14.64073
24,D면적변화제동등,7,2.144,12.67204
24,D면적변화제동등,8,2.813,12.87215
24,D면적변화제동등,9,2.373,9.16925
24,D면적변화제동등,10,2.884,9.31927
25,A기본제동등,1,1.883,22.07018
25,A기본제동등,2,2.453,41.40087
25,A기본제동등,3,2.896,13.47576
25,A기본제동등,4,2.372,22.20216
25,A기본제동등,5,2.882,26.54715
25,A기본제동등,6,2.869,18.01595
25,A기본제동등,7,2.449,20.67272
25,A기본제동등,8,2.41,18.74228
25,A기본제동등,9,2.602,25.08165
25,A기본제동등,10,2.331,23.83904
25,B밝기변화제동등,1,2.258,32.76498
25,B밝기변화제동등,2,1.883,23.37466
25,B밝기변화제동등,3,2.896,21.08911
25,B밝기변화제동등,4,2.217,11.95709
25,B밝기변화제동등,5,2.906,29.9645
25,B밝기변화제동등,6,2.362,31.42554
25,B밝기변화제동등,7,2.887,21.47624
25,B밝기변화제동등,8,2.369,23.43777
25,B밝기변화제동등,9,2.304,36.68613
25,C점멸주파수변화제동등,1,2.854,22.69567
25,C점멸주파수변화제동등,2,2.274,34.93363
25,C점멸주파수변화제동등,3,2.895,23.4322
25,C점멸주파수변화제동등,4,2.425,24.53792
25,C점멸주파수변화제동등,5,2.453,22.8484
25,C점멸주파수변화제동등,6,1.942,23.86967
25,C점멸주파수변화제동등,7,2.848,22.32991
25,C점멸주파수변화제동등,8,2.84,10.86241
25,C점멸주파수변화제동등,9,2.39,27.17678
25,C점멸주파수변화제동등,10,2.289,33.82133
25,D면적변화제동등,1,2.881,24.79694
25,D면적변화제동등,2,2.447,24.90032
25,D면적변화제동등,3,2.843,17.93383
25,D면적변화제동등,4,2.375,33.13288
25,D면적변화제동등,5,2.392,27.86315
25,D면적변화제동등,6,2.441,12.26287
25,D면적변화제동등,7,1.569,19.16197
25,D면적변화제동등,8,2.36,32.83692
25,D면적변화제동등,9,2.485,24.17237
25,D면적변화제동등,10,2.896,16.77772
26,A기본제동등,1,2.858,30.30071
26,A기본제동등,2,1.862,24.04259
26,A기본제동등,3,2.843,28.91191
26,A기본제동등,4,2.965,18.58821
26,A기본제동등,5,2.855,18.17871
26,A기본제동등,6,2.384,21.47923
26,A기본제동등,7,2.346,15.02295
26,A기본제동등,8,2.173,22.48078
26,A기본제동등,9,2.11,16.85436
26,B밝기변화제동등,1,2.39,26.96708
26,B밝기변화제동등,2,2.422,27.73661
26,B밝기변화제동등,3,2.87,33.74681
26,B밝기변화제동등,4,2.363,28.11183
26,B밝기변화제동등,5,2.89,18.85781
26,B밝기변화제동등,6,2.373,27.21557
26,B밝기변화제동등,7,2.907,20.21116
26,B밝기변화제동등,8,2.42,15.09807
26,B밝기변화제동등,9,1.875,16.9722
26,B밝기변화제동등,10,2.9,22.10831
26,C점멸주파수변화제동등,1,2.878,27.67187
26,C점멸주파수변화제동등,2,2.897,17.82571
26,C점멸주파수변화제동등,3,2.463,26.38892
26,C점멸주파수변화제동등,4,2.461,29.25424
26,C점멸주파수변화제동등,5,2.865,17.21535
26,C점멸주파수변화제동등,6,1.839,36.92053
26,C점멸주파수변화제동등,7,2.397,21.49057
26,C점멸주파수변화제동등,8,2.134,19.79062
26,C점멸주파수변화제동등,9,2.572,35.49632
26,D면적변화제동등,1,2.841,18.12382
26,D면적변화제동등,2,2.383,34.3503
26,D면적변화제동등,3,2.231,18.1496
26,D면적변화제동등,4,2.847,20.25036
26,D면적변화제동등,5,1.88,20.14311
26,D면적변화제동등,6,2.354,28.42368
26,D면적변화제동등,7,2.316,24.73428
26,D면적변화제동등,8,2.892,23.27013
26,D면적변화제동등,9,2.4,19.89742
27,A기본제동등,1,2.312,21.22372
27,A기본제동등,2,2.861,25.34832
27,A기본제동등,3,2.899,15.02696
27,A기본제동등,4,2.368,23.7731
27,A기본제동등,5,2.388,31.64738
27,A기본제동등,6,2.876,26.10525
27,A기본제동등,7,1.843,28.08823
27,A기본제동등,8,2.445,21.60189
27,A기본제동등,9,1.974,36.23859
27,B밝기변화제동등,1,2.882,15.17946
27,B밝기변화제동등,2,2.389,24.8567
27,B밝기변화제동등,3,2.92,27.91704
27,B밝기변화제동등,4,2.437,22.71347
27,B밝기변화제동등,5,2.906,15.86555
27,B밝기변화제동등,6,2.376,24.33565
27,B밝기변화제동등,7,2.273,28.84968
27,B밝기변화제동등,8,2.311,17.42076
27,B밝기변화제동등,9,2.365,23.77629
27,C점멸주파수변화제동등,1,2.923,24.32724
27,C점멸주파수변화제동등,2,2.938,18.05799
27,C점멸주파수변화제동등,3,1.882,30.83746
27,C점멸주파수변화제동등,4,2.444,29.0542
27,C점멸주파수변화제동등,5,4.148,34.87919
27,C점멸주파수변화제동등,6,2.878,24.15675
27,C점멸주파수변화제동등,7,2.429,21.0898
27,C점멸주파수변화제동등,8,2.358,35.91781
27,C점멸주파수변화제동등,9,2.469,27.71778
27,C점멸주파수변화제동등,10,1.855,27.02034
27,D면적변화제동등,1,2.455,27.39917
27,D면적변화제동등,2,3.077,19.03792
27,D면적변화제동등,3,2.374,27.91895
27,D면적변화제동등,4,2.346,28.08461
27,D면적변화제동등,5,2.865,20.18446
27,D면적변화제동등,6,1.943,30.48002
27,D면적변화제동등,7,2.914,20.24106
27,D면적변화제동등,8,2.388,27.33687
27,D면적변화제동등,9,2.376,24.34404
28,A기본제동등,1,2.347,24.94303
28,A기본제동등,2,2.438,30.18164
28,A기본제동등,3,2.696,19.54913
28,A기본제동등,4,2.388,26.98973
28,A기본제동등,5,2.82,25.87908
28,A기본제동등,6,1.916,39.81321
28,A기본제동등,7,1.7,47.08493
28,A기본제동등,8,1.899,5.55152
28,A기본제동등,9,1.134,4.16889
28,A기본제동등,10,2.28,70.05749
28,A기본제동등,11,2.496,35.11601
28,A기본제동등,12,2.878,16.71825
28,B밝기변화제동등,1,2.341,19.15162
28,B밝기변화제동등,2,1.917,24.22204
28,B밝기변화제동등,3,2.874,19.90286
28,B밝기변화제동등,4,2.368,32.33131
28,B밝기변화제동등,5,2.895,33.75101
28,B밝기변화제동등,6,2.373,25.49424
28,B밝기변화제동등,7,2.908,28.4043
28,B밝기변화제동등,8,2.94,10.92592
28,B밝기변화제동등,9,2.07,46.52359
28,C점멸주파수변화제동등,1,2.381,21.78609
28,C점멸주파수변화제동등,2,2.375,32.03936
28,C점멸주파수변화제동등,3,2.321,25.08998
28,C점멸주파수변화제동등,4,2.414,14.72341
28,C점멸주파수변화제동등,5,2.855,16.54024
28,C점멸주파수변화제동등,6,1.882,27.81378
28,C점멸주파수변화제동등,7,2.952,14.47593
28,C점멸주파수변화제동등,8,2.415,18.88155
28,C점멸주파수변화제동등,9,2.887,9.46376
28,C점멸주파수변화제동등,10,2.886,22.93402
28,D면적변화제동등,1,2.851,29.90126
28,D면적변화제동등,2,2.832,18.81546
28,D면적변화제동등,3,2.818,22.48635
28,D면적변화제동등,4,1.877,29.76219
28,D면적변화제동등,5,2.374,36.1103
28,D면적변화제동등,6,2.382,25.15467
28,D면적변화제동등,7,2.355,26.32626
28,D면적변화제동등,8,2.426,21.68751
28,D면적변화제동등,9,2.84,23.37127
28,D면적변화제동등,10,2.364,35.85271
29,A기본제동등,1,2.796,24.95249
29,A기본제동등,2,2.432,33.19041
29,A기본제동등,3,1.837,18.04478
29,A기본제동등,4,2.441,15.82301
29,A기본제동등,5,2.909,17.76516
29,A기본제동등,6,2.857,20.50858
29,A기본제동등,7,2.468,17.92647
29,A기본제동등,8,2.383,13.4093
29,B밝기변화제동등,1,2.965,15.78547
29,B밝기변화제동등,2,2.901,12.73642
29,B밝기변화제동등,3,2.266,19.49162
29,B밝기변화제동등,4,2.552,12.9641
29,B밝기변화제동등,5,2.848,19.28473
29,B밝기변화제동등,6,2.452,44.6455
29,B밝기변화제동등,7,1.933,19.20875
29,C점멸주파수변화제동등,1,2.451,33.74856
29,C점멸주파수변화제동등,2,2.339,15.42619
29,C점멸주파수변화제동등,3,2.883,26.89157
29,C점멸주파수변화제동등,4,2.328,19.16338
29,C점멸주파수변화제동등,5,1.797,28.54235
29,C점멸주파수변화제동등,6,2.905,16.16039
29,C점멸주파수변화제동등,7,2.711,29.50366
29,D면적변화제동등,1,2.457,19.18146
29,D면적변화제동등,2,2.875,13.88991
29,D면적변화제동등,3,2.393,13.03452
29,D면적변화제동등,4,2.746,20.51845
29,D면적변화제동등,5,2.465,16.76072
29,D면적변화제동등,6,1.94,16.53395
29,D면적변화제동등,7,2.881,13.2177
29,D면적변화제동등,8,2.335,14.92463
29,D면적변화제동등,9,2.807,18.26653
30,A기본제동등,1,2.354,31.49174
30,A기본제동등,2,2.874,18.77182
30,A기본제동등,3,1.895,23.78738
30,A기본제동등,4,2.365,27.81566
30,A기본제동등,5,2.847,19.78824
30,A기본제동등,6,2.867,24.00797
30,A기본제동등,7,2.421,17.20434
30,A기본제동등,8,2.869,23.62532
30,A기본제동등,9,2.494,28.17839
30,A기본제동등,10,2.388,13.98545
30,B밝기변화제동등,1,2.385,40.87286
30,B밝기변화제동등,2,2.787,24.89533
30,B밝기변화제동등,3,3.127,21.34478
30,B밝기변화제동등,4,2.38,34.65917
30,B밝기변화제동등,5,2.41,24.79985
30,B밝기변화제동등,6,2.396,41.58001
30,B밝기변화제동등,7,2.911,44.23378
30,B밝기변화제동등,8,2.856,34.45075
30,B밝기변화제동등,9,1.858,22.52633
30,B밝기변화제동등,10,2.417,30.8869
30,C점멸주파수변화제동등,1,2.387,28.00619
30,C점멸주파수변화제동등,2,2.897,18.17238
30,C점멸주파수변화제동등,3,1.894,19.56585
30,C점멸주파수변화제동등,4,2.433,15.70878
30,C점멸주파수변화제동등,5,2.361,27.52057
30,C점멸주파수변화제동등,6,2.847,26.47221
30,C점멸주파수변화제동등,7,2.876,24.97591
30,C점멸주파수변화제동등,8,2.884,23.94468
30,C점멸주파수변화제동등,9,1.893,24.13481
30,C점멸주파수변화제동등,10,2.348,30.49856
30,D면적변화제동등,1,2.845,36.94133
30,D면적변화제동등,2,2.434,27.54429
30,D면적변화제동등,3,2.417,18.86008
30,D면적변화제동등,4,2.392,31.31327
30,D면적변화제동등,5,2.461,26.46434
30,D면적변화제동등,6,2.875,24.85332
30,D면적변화제동등,7,1.876,26.97498
30,D면적변화제동등,8,2.471,25.30731
30,D면적변화제동등,9,2.7,10.15193
30,D면적변화제동등,10,2.881,30.59866
