참여자번호,브레이크유형,고감속구간 번호,고감속구간길이,최소거리
6,A기본제동등,4,2.772,21.93525
6,A기본제동등,5,2.885,21.33121
6,A기본제동등,6,2.619,14.47069
6,A기본제동등,7,2.364,26.04205
6,A기본제동등,8,2.835,11.07866
6,A기본제동등,9,2.914,19.45282
6,B밝기변화제동등,1,2.933,20.75475
6,B밝기변화제동등,2,2.881,15.26107
6,B밝기변화제동등,3,2.882,24.34047
6,B밝기변화제동등,4,2.493,29.94547
6,B밝기변화제동등,5,1.913,26.47295
6,B밝기변화제동등,6,2.387,31.4077
6,B밝기변화제동등,7,2.974,31.70432
6,B밝기변화제동등,8,2.35,20.67798
6,B밝기변화제동등,9,2.384,21.37718
6,C점멸주파수변화제동등,1,2.373,21.64605
6,C점멸주파수변화제동등,2,2.886,20.1303
6,C점멸주파수변화제동등,3,2.917,23.27808
6,C점멸주파수변화제동등,4,2.48,31.55013
6,C점멸주파수변화제동등,5,1.95,20.38356
6,C점멸주파수변화제동등,6,2.839,35.92932
6,C점멸주파수변화제동등,7,2.387,19.6619
6,C점멸주파수변화제동등,8,2.298,26.37484
6,C점멸주파수변화제동등,9,2.486,22.29717
6,D면적변화제동등,1,2.43,26.50987
6,D면적변화제동등,2,2.867,20.59334
6,D면적변화제동등,3,2.359,26.16705
6,D면적변화제동등,4,2.356,20.43523
6,D면적변화제동등,5,1.93,31.13246
6,D면적변화제동등,6,2.839,27.70168
6,D면적변화제동등,7,2.953,22.75636
6,D면적변화제동등,8,2.363,32.5219
6,D면적변화제동등,9,2.494,42.44092
7,A기본제동등,1,2.324,14.37121
7,A기본제동등,2,2.445,24.45642
7,A기본제동등,3,2.733,20.10585
7,A기본제동등,4,2.354,10.52361
7,A기본제동등,5,2.35,16.24045
7,A기본제동등,6,2.851,22.80099
7,A기본제동등,7,2.454,45.03904
7,A기본제동등,8,2.847,21.09256
7,A기본제동등,9,2.875,14.22791
7,B밝기변화제동등,1,2.812,15.0844
7,B밝기변화제동등,2,2.478,28.46288
7,B밝기변화제동등,3,2.46,39.50736
7,B밝기변화제동등,4,2.389,18.31571
7,B밝기변화제동등,5,1.998,21.76624
7,B밝기변화제동등,6,2.354,17.79784
7,B밝기변화제동등,7,2.812,16.384
7,B밝기변화제동등,8,2.35,16.38865
7,C점멸주파수변화제동등,1,2.987,26.47685
7,C점멸주파수변화제동등,2,2.365,14.92011
7,C점멸주파수변화제동등,3,2.979,25.50821
7,C점멸주파수변화제동등,4,2.83,12.45414
7,C점멸주파수변화제동등,5,2.361,17.51597
7,C점멸주파수변화제동등,6,1.943,19.02449
7,C점멸주파수변화제동등,7,2.332,21.43424
7,C점멸주파수변화제동등,8,2.489,41.24947
7,D면적변화제동등,1,1.903,26.30496
7,D면적변화제동등,2,2.193,19.04506
7,D면적변화제동등,3,2.899,19.20617
7,D면적변화제동등,4,2.436,22.71541
7,D면적변화제동등,5,3.002,26.09572
7,D면적변화제동등,6,2.385,18.97606
7,D면적변화제동등,7,2.942,47.16594
7,D면적변화제동등,8,2.456,36.12563
8,A기본제동등,1,2.165,21.23018
8,A기본제동등,2,2.829,21.88016
8,A기본제동등,3,2.953,22.82244
8,A기본제동등,4,2.317,19.79518
8,A기본제동등,5,2.462,19.70562
8,A기본제동등,6,2.26,23.95029
8,A기본제동등,7,2.864,17.43628
8,A기본제동등,8,1.931,23.32702
8,B밝기변화제동등,1,2.366,27.55096
8,B밝기변화제동등,2,2.285,23.32357
8,B밝기변화제동등,3,2.407,18.85916
8,B밝기변화제동등,4,2.467,30.07093
8,B밝기변화제동등,5,2.779,18.61033
8,B밝기변화제동등,6,2.793,17.9313
8,B밝기변화제동등,7,2.902,16.56089
8,B밝기변화제동등,8,1.928,37.49954
8,B밝기변화제동등,9,2.369,22.67765
8,C점멸주파수변화제동등,1,2.964,29.58771
8,C점멸주파수변화제동등,2,2.969,20.03923
8,C점멸주파수변화제동등,3,2.373,21.50709
8,C점멸주파수변화제동등,4,2.931,16.79371
8,C점멸주파수변화제동등,5,2.409,26.26666
8,C점멸주파수변화제동등,6,2.385,22.20175
8,C점멸주파수변화제동등,7,2.417,17.22985
8,C점멸주파수변화제동등,8,1.959,36.66462
8,C점멸주파수변화제동등,9,2.389,15.47626
8,D면적변화제동등,1,2.816,25.96823
8,D면적변화제동등,2,2.858,23.75919
8,D면적변화제동등,3,1.761,31.01192
8,D면적변화제동등,4,2.858,15.16372
8,D면적변화제동등,5,2.186,31.36626
8,D면적변화제동등,6,2.407,24.771
8,D면적변화제동등,7,2.362,21.63724
8,D면적변화제동등,8,2.962,22.25934
8,D면적변화제동등,9,2.385,22.70325
8,D면적변화제동등,10,2.455,19.30427
9,A기본제동등,1,2.86,26.14495
9,A기본제동등,2,2.368,23.46075
9,A기본제동등,3,2.476,26.29753
9,A기본제동등,4,2.416,31.22948
9,A기본제동등,5,1.935,21.43684
9,A기본제동등,6,2.132,30.75091
9,A기본제동등,7,2.965,16.22339
9,A기본제동등,8,2.457,27.87383
9,A기본제동등,9,2.893,23.82199
9,A기본제동등,10,2.887,11.12896
9,B밝기변화제동등,1,2.323,22.12781
9,B밝기변화제동등,2,2.768,13.43636
9,B밝기변화제동등,3,2.982,28.2168
9,B밝기변화제동등,4,2.455,22.19007
9,B밝기변화제동등,5,2.957,34.03111
9,B밝기변화제동등,6,2.896,16.98776
9,B밝기변화제동등,7,2.421,23.03134
9,B밝기변화제동등,8,2.53,26.80019
9,B밝기변화제동등,9,1.849,22.32402
9,C점멸주파수변화제동등,1,2.298,20.35037
9,C점멸주파수변화제동등,2,1.984,33.53687
9,C점멸주파수변화제동등,3,2.875,19.86273
