participant_id,experiment_id,brake_light_type,total_seconds,per_km,low_cnt,low_zero_cnt,low_nonzero_brake_mean,low_react_nonzero_mean,high_cnt,high_zero_cnt,high_nonzero_brake_mean,high_react_nonzero_mean,brake_count,brake_min_dur,brake_max_dur,brake_avg_dur,brake_std_dur,brake_min_max,brake_max_max,brake_avg_max,brake_std_max,accel_count,accel_min_dur,accel_max_dur,accel_avg_dur,accel_std_dur,accel_min_max,accel_max_max,accel_avg_max,accel_std_max
1,1,A기본제동등,246.052,41.009,26,19,0.2119455993256743,1.5905714285711707,8,0,0.19430343895563343,1.7467499999993379,8,0.77,2.1,1.19,0.5072333923212413,0.06,0.57,0.265,0.1943487292765985,36,0.24,11.03,4.758055555555556,2.4686373562808686,0.02,1.0,0.9544444444444444,0.16641504815961883
1,2,B밝기변화제동등,274.981,45.83,28,19,0.15643020062293145,1.8230000000003201,10,0,0.16182163966800858,1.7620999999991909,10,0.74,1.98,1.177,0.3753531670307312,0.05,0.46,0.225,0.14323640133243598,21,1.73,19.54,10.119047619047619,5.187890616389193,0.8,1.0,0.9519047619047619,0.07379830943992198
1,3,C점멸주파수변화제동등,247.596,41.266,26,19,0.16132154479028152,1.2584285714266505,8,0,0.16477320959400557,1.2454999999990832,10,0.6,1.75,1.096,0.34606357797375903,0.09,0.38,0.2,0.10044346115546242,24,0.6,25.82,8.247083333333334,6.274607543013394,0.25,1.0,0.9079166666666667,0.23068855659726067
1,4,D면적변화제동등,249.173,41.529,26,19,0.245714364710573,1.1585714285735906,9,0,0.23201826312324567,1.3755000000010114,9,0.73,2.25,1.2344444444444445,0.4474123129483338,0.06,0.7,0.3111111111111111,0.1801696731170679,22,2.45,25.21,9.289090909090909,6.622800378124412,0.68,1.0,0.9627272727272728,0.0774708435589261
2,5,A기본제동등,245.57,40.928,27,18,0.32325935603647493,1.7749999999998383,8,0,0.3503672272096718,2.088999999999942,10,0.62,1.15,0.836,0.14706007842601831,0.21,0.91,0.458,0.20863578046176282,37,0.78,12.63,5.160810810810811,3.5526823812581534,0.38,1.0,0.9145945945945946,0.1422555328858482
2,6,B밝기변화제동등,250.684,41.781,27,19,0.3098647589630955,0.9797142857143106,8,0,0.2992856364108222,0.985249999998814,9,0.49,1.28,0.9033333333333333,0.2548528987474932,0.15,0.59,0.41333333333333333,0.14807092894960847,41,0.12,14.97,4.52219512195122,3.5333550007005536,0.01,1.0,0.86,0.28249778760195626
2,7,C점멸주파수변화제동등,259.033,43.172,26,18,0.2939839309733255,0.8963749999993524,8,0,0.3009764141950673,1.084749999999076,11,0.21,1.41,1.0154545454545454,0.37811013306611174,0.04,0.63,0.36272727272727273,0.17765646113164074,43,0.08,12.35,4.570232558139534,3.0828152628123884,0.04,1.0,0.8504651162790697,0.25684860733024456
2,8,D면적변화제동등,252.152,42.025,24,19,0.3247809324198835,1.2,9,1,0.2921057399569723,1.065625000000182,9,0.8,1.35,1.0644444444444445,0.1922960680247461,0.23,0.82,0.4811111111111111,0.22712576056253747,36,0.84,12.1,5.346666666666667,3.1999392851383024,0.66,1.0,0.9358333333333333,0.08188406438373708
3,9,A기본제동등,275.868,45.978,26,20,0.0626876733234875,1.5941666666634167,8,1,0.09997133207595467,1.7185714285723017,9,0.52,1.69,1.1955555555555555,0.34522134606333044,0.03,0.24,0.11555555555555556,0.06821127309893708,29,0.25,16.77,7.213793103448276,4.801055995294237,0.02,0.99,0.8413793103448276,0.1841529670435314
3,10,B밝기변화제동등,262.559,43.76,26,18,0.1025983558931863,1.596875000000182,9,0,0.10448607535501099,1.706555555556002,9,0.42,2.03,1.1522222222222223,0.4211821986319512,0.02,0.29,0.1411111111111111,0.07944250191875322,24,2.7,16.12,8.724583333333333,4.420362939227135,0.66,1.0,0.85375,0.08208227579691002
3,11,C점멸주파수변화제동등,282.967,47.161,26,19,0.0635817391329626,1.4935714285695991,9,1,0.08413680417098969,1.030624999999418,10,0.28,2.67,1.15,0.6909253054981976,0.02,0.23,0.114,0.08071899129421499,31,2.26,16.53,6.788709677419355,3.946491050655408,0.59,1.0,0.9087096774193548,0.08800537617986266
3,12,D면적변화제동등,266.583,44.431,23,18,0.08318521320286495,1.3514999999988504,8,0,0.0881508567380982,1.511624999999185,10,0.21,2.3,1.154,0.553738807260848,0.04,0.22,0.117,0.06111010100175293,25,1.22,22.06,8.362,5.486115808718101,0.52,1.0,0.8916000000000001,0.11462547709824374
4,13,A기본제동등,286.846,47.808,25,15,0.33692034548757455,1.1794444444434096,10,0,0.4460077319649322,1.842899999999645,15,0.6,2.12,1.2173333333333334,0.411416831843095,0.09,0.6,0.46799999999999997,0.17059559532079702,46,0.35,14.76,4.279347826086957,3.11788632261873,0.07,1.0,0.9256521739130434,0.17694509096720176
4,14,B밝기변화제동등,304.252,50.709,25,19,0.31961000592673366,1.5345999999990454,10,1,0.40530072999787947,1.6654444444445997,11,0.69,1.63,1.1145454545454545,0.32806595789150805,0.12,0.63,0.45636363636363636,0.19386968444152,46,0.12,11.86,4.345217391304348,3.144223443523366,0.02,1.0,0.8471739130434782,0.251110095761275
4,15,C점멸주파수변화제동등,262.422,43.737,23,19,0.30802837278526646,1.4494999999988067,9,0,0.3980473122780237,1.4198888888883328,10,0.58,1.57,1.246,0.28806635038168243,0.18,0.57,0.498,0.11923832344417534,44,1.35,12.9,4.171818181818182,2.9584764092092706,0.7,1.0,0.9665909090909091,0.07517245852095411
4,16,D면적변화제동등,303.865,50.644,25,17,0.2245821182876438,1.916833333336399,10,0,0.34885579518110654,1.5264999999999418,14,0.5,1.95,1.18,0.3962904917433092,0.19,0.59,0.41785714285714287,0.13571341815801363,47,0.12,11.71,4.164255319148936,3.036622655317303,0.09,1.0,0.8634042553191489,0.20417678396902375
5,17,A기본제동등,248.42,41.403,21,19,0.14031943710869565,0.9085000000013679,9,0,0.12689750908529399,1.8414444444440758,9,0.7,1.34,1.0,0.21065374432940898,0.09,0.31,0.18,0.07681145747868609,48,0.07,10.58,3.4335416666666667,2.0516796332214944,0.02,1.0,0.835625,0.23543446709832513
5,18,B밝기변화제동등,249.061,41.51,23,18,0.09419734548324403,0.9103999999977532,9,0,0.10067184836426128,1.265333333332415,12,0.08,1.42,0.8133333333333334,0.450803995572624,0.01,0.29,0.11916666666666667,0.07902339507827394,50,0.53,5.61,3.1798,1.3606503397047955,0.23,1.0,0.8896,0.15896296578069974
5,19,C점멸주파수변화제동등,244.179,40.697,25,21,0.12192657640216242,1.6037499999983993,8,0,0.10893290167621146,1.5530000000017026,10,0.33,1.19,0.84,0.23953658964295577,0.06,0.27,0.156,0.06603029607687672,50,0.74,6.49,2.9996,1.3789954344243731,0.44,1.0,0.9576,0.11247784362318851
5,20,D면적변화제동등,248.619,41.437,22,18,0.13703961639380205,1.2700000000040745,9,0,0.0930029427540456,1.2560000000012224,10,0.55,1.54,1.146,0.31486152158969466,0.05,0.31,0.128,0.07161626134397751,46,0.99,7.41,3.6128260869565216,1.4882721720071952,0.62,1.0,0.9078260869565218,0.11919942288223939
6,21,A기본제동등,262.87,43.812,20,9,0.2646671112425227,0.8046363636359192,9,0,0.30223839356334753,1.1074444444441016,23,0.12,1.6,0.6456521739130435,0.3077310822330627,0.04,1.0,0.38869565217391305,0.2433909004765433,59,0.3,7.56,2.64135593220339,1.5108623452520118,0.15,1.0,0.9050847457627119,0.17483364389944628
6,22,B밝기변화제동등,257.234,42.872,18,16,0.2761253177793041,1.2890000000006694,9,0,0.3234584653857495,0.9819999999995667,13,0.42,1.12,0.6846153846153846,0.18936804484985428,0.18,0.64,0.43538461538461537,0.13289189745901142,66,0.14,6.91,2.4192424242424244,1.4326847423964462,0.02,1.0,0.8231818181818182,0.26393565119556694
6,23,C점멸주파수변화제동등,264.085,44.014,25,15,0.2631568298417391,1.3597777777766977,9,0,0.3812858642580751,0.9927777777767106,15,0.29,1.39,0.7453333333333333,0.3758773862894781,0.02,0.79,0.37866666666666665,0.24793048180795318,55,1.04,7.66,3.0103636363636364,1.4283323138027784,0.63,1.0,0.9398181818181818,0.09778076212158218
6,24,D면적변화제동등,259.52,43.253,22,18,0.13597878684916023,1.5614999999997963,9,1,0.2336682239009203,1.605874999999287,11,0.35,1.06,0.6454545454545455,0.21355859319463766,0.1,0.52,0.28454545454545455,0.13887862588344085,62,0.09,9.35,2.599032258064516,1.8803249716318609,0.02,1.0,0.8114516129032258,0.2812142685452171
7,25,A기본제동등,247.852,41.309,19,13,0.3065759120504258,1.4878333333338862,9,0,0.42063685973572573,1.947333333332305,15,0.33,1.5,1.0446666666666666,0.3530250227202976,0.11,0.79,0.5013333333333333,0.17779870908524886,36,0.18,14.24,5.103888888888889,3.0790279335973905,0.09,1.0,0.9180555555555555,0.166421486326469
7,26,B밝기변화제동등,239.177,39.863,21,16,0.3181362561312021,1.9853999999992085,8,0,0.4802978273008236,1.9299999999993815,12,0.5,2.26,1.0691666666666666,0.5279541704169085,0.16,1.0,0.5458333333333333,0.22001893857878083,38,0.45,12.47,4.463684210526316,2.7430880419136936,0.12,1.0,0.9326315789473684,0.17946894951685316
7,27,C점멸주파수변화제동등,242.392,40.399,22,13,0.40500479992466887,1.3487777777772862,8,1,0.6036236538358345,1.0174285714300433,12,0.28,2.0,1.3583333333333334,0.5779876270039844,0.02,0.88,0.5425,0.2931374173566818,41,0.22,15.77,4.079756097560976,3.0367149090792815,0.01,1.0,0.9278048780487805,0.21131152589390328
7,28,D면적변화제동등,244.225,40.704,21,18,0.3712359084404762,2.1519999999994375,8,2,0.44995877140392665,1.5005000000007083,9,0.66,1.72,1.198888888888889,0.3757474033324929,0.51,0.59,0.5522222222222223,0.02728450923957482,34,0.14,14.3,5.216764705882353,3.3287814865778205,0.01,1.0,0.8952941176470588,0.22147214468966586
8,29,A기본제동등,257.128,42.855,20,14,0.2128987148403564,1.0548333333317714,8,0,0.34069105351364115,1.4735000000009677,17,0.34,1.68,0.8705882352941177,0.38976708731361753,0.06,0.69,0.42058823529411765,0.16345758579197595,56,0.39,10.9,3.02875,1.6994299177825916,0.39,1.0,0.9698214285714286,0.09643633927346855
8,30,B밝기변화제동등,268.899,44.816,22,15,0.22995562780034814,1.839428571428081,9,0,0.3180434370089214,1.557111111109811,17,0.44,2.27,0.88,0.5031649828833481,0.14,0.57,0.39941176470588236,0.12744952864934878,59,0.71,9.64,2.9484745762711864,1.7682943404146523,0.1,1.0,0.9625423728813559,0.12766595987777532
8,31,C점멸주파수변화제동등,268.307,44.718,19,15,0.3216668016390445,1.558999999999287,9,0,0.40919765817611975,1.5328888888875047,14,0.34,1.71,1.07,0.43830091524852227,0.04,0.63,0.445,0.18768836691953786,57,0.55,8.35,3.0917543859649124,1.5197968882234343,0.11,1.0,0.9719298245614035,0.1308957954755727
8,32,D면적변화제동등,280.39,46.732,23,18,0.26792507939979754,0.897000000004482,10,0,0.34007630659574106,1.2373000000021421,18,0.05,1.65,0.845,0.37077422970288093,0.02,0.61,0.43166666666666664,0.1627068818820049,65,0.19,6.96,2.643076923076923,1.4700594408442758,0.18,1.0,0.9335384615384615,0.1472607250893671
9,33,A기본제동등,285.177,47.53,22,1,0.35886107112790955,1.0848947368423596,10,0,0.44485287132309725,1.2881000000001221,51,0.18,2.88,0.7262745098039216,0.47342142234720946,0.06,1.0,0.49058823529411766,0.13983435578863848,58,0.22,12.12,3.3348275862068966,2.6948601118394895,0.21,1.0,0.8832758620689655,0.20247926409781986
