2024-10-17,16:05:58,event1 start,
2024-10-17,16:06:46,event1 end,
2024-10-17,16:07:18,event2 start,
2024-10-17,16:08:18,event2 end,
2024-10-17,16:08:27,event3 start,
2024-10-17,16:08:47,event3 end,
2024-10-17,16:10:15,event4 start,
2024-10-17,16:10:33,event4 end,
2024-10-17,16:11:09,event5 start,
2024-10-17,16:12:39,event5 end,
2024-10-17,16:14:22,event6 start,
2024-10-17,16:15:07,event6 end,
2024-10-17,16:16:45,event7 start,Accident!
2024-10-17,16:17:28,event7 end,
2024-10-17,16:20:05,event8 start,
2024-10-17,16:21:16,event8 end,
2024-10-17,16:21:05,event9 start,
2024-10-17,16:21:50,event9 end,
2024-10-17,16:22:54,event10 start,
2024-10-17,16:23:05,event10 end,
2024-10-17,16:23:15,event11 start,
2024-10-17,16:24:45,event11 end,
2024-10-17,16:24:45,event12 start,
2024-10-17,16:25:44,event12 end,
2024-10-17,16:25:53,event13 start,
2024-10-17,16:26:41,event13 end,
2024-10-17,16:27:48,event14 start,
2024-10-17,16:28:01,event14 end,
2024-10-17,16:28:39,event15 start,
2024-10-17,16:29:21,event15 end,
2024-10-17,16:30:02,event16 start,
2024-10-17,16:30:36,event16 end,
2024-10-17,16:31:18,event17 start,
2024-10-17,16:31:59,event17 end,
