2024-10-17,16:50:58,event1 start,
2024-10-17,16:51:52,event1 end,
2024-10-17,16:52:25,event2 start,
2024-10-17,16:53:13,event2 end,
2024-10-17,16:53:49,event3 start,
2024-10-17,16:54:10,event3 end,
2024-10-17,16:56:08,event4 start,
2024-10-17,16:56:27,event4 end,
2024-10-17,16:56:55,event5 start,
2024-10-17,16:58:39,event5 end,Accident!
2024-10-17,17:00:17,event6 start,
2024-10-17,17:01:07,event6 end,
2024-10-17,17:01:19,event7 start,
2024-10-17,17:02:09,event7 end,
2024-10-17,17:04:04,event8 start,
2024-10-17,17:05:19,event8 end,
2024-10-17,17:05:08,event9 start,
2024-10-17,17:05:48,event9 end,
2024-10-17,17:06:30,event10 start,
2024-10-17,17:06:41,event10 end,
2024-10-17,17:06:46,event11 start,
2024-10-17,17:07:40,event11 end,
2024-10-17,17:07:40,event12 start,
2024-10-17,17:08:43,event12 end,
2024-10-17,17:08:52,event13 start,
2024-10-17,17:09:16,event13 end,
2024-10-17,17:10:23,event14 start,
2024-10-17,17:10:49,event14 end,
2024-10-17,17:11:25,event15 start,
2024-10-17,17:12:13,event15 end,
2024-10-17,17:12:51,event16 start,
2024-10-17,17:13:13,event16 end,
2024-10-17,17:13:45,event17 start,
2024-10-17,17:14:03,event17 end,
