2024-10-18,11:15:35,event1 start,
2024-10-18,11:16:23,event1 end,
2024-10-18,11:16:47,event2 start,
2024-10-18,11:17:58,event2 end,
2024-10-18,11:18:11,event3 start,
2024-10-18,11:18:32,event3 end,
2024-10-18,11:19:39,event4 start,
2024-10-18,11:19:57,event4 end,
2024-10-18,11:20:23,event5 start,
2024-10-18,11:21:55,event5 end,
2024-10-18,11:23:44,event6 start,
2024-10-18,11:24:28,event6 end,
2024-10-18,11:24:49,event7 start,Accident!
2024-10-18,11:25:32,event7 end,
2024-10-18,11:27:39,event8 start,Accident!
2024-10-18,11:28:27,event8 end,
2024-10-18,11:28:16,event9 start,
2024-10-18,11:29:01,event9 end,
2024-10-18,11:29:49,event10 start,
2024-10-18,11:30:00,event10 end,
2024-10-18,11:30:11,event11 start,
2024-10-18,11:31:42,event11 end,
2024-10-18,11:31:42,event12 start,
2024-10-18,11:32:41,event12 end,
2024-10-18,11:32:47,event13 start,
2024-10-18,11:33:33,event13 end,
2024-10-18,11:34:00,event14 start,
2024-10-18,11:34:18,event14 end,
2024-10-18,11:34:35,event15 start,
2024-10-18,11:35:17,event15 end,
2024-10-18,11:35:49,event16 start,
2024-10-18,11:36:14,event16 end,
2024-10-18,11:36:43,event17 start,
2024-10-18,11:37:11,event17 end,
