2025-01-20,9:58:28,event1 start
2025-01-20,9:59:41,event2 start
2025-01-20,10:00:43,event2 end
2025-01-20,10:00:52,event3 start
2025-01-20,10:01:12,event3 end
2025-01-20,10:02:22,event4 start
2025-01-20,10:02:39,event4 end
2025-01-20,10:03:12,event5 start
2025-01-20,10:04:36,event5 end
2025-01-20,10:06:33,event6 start
2025-01-20,10:07:13,event6 end
2025-01-20,10:07:34,event7 start
2025-01-20,10:08:15,event7 end
2025-01-20,10:09:55,event8 start
2025-01-20,10:11:02,event8 end
2025-01-20,10:10:52,event9 start
2025-01-20,10:11:28,event9 end
2025-01-20,10:12:17,event10 start
2025-01-20,10:12:27,event10 end
2025-01-20,10:12:39,event11 start
2025-01-20,10:14:16,event11 end
2025-01-20,10:14:17,event12 start
2025-01-20,10:15:13,event12 end
2025-01-20,10:15:21,event13 start
2025-01-20,10:15:47,event13 end
2025-01-20,10:16:44,event14 start
2025-01-20,10:17:00,event14 end
2025-01-20,10:17:19,event15 start
2025-01-20,10:17:59,event15 end
2025-01-20,10:18:25,event16 start
2025-01-20,10:18:39,event16 end
2025-01-20,10:18:57,event17 start
2025-01-20,10:19:10,event17 end
2025-01-20,10:19:26,the end
