2024-10-17,10:18:24,event1 start,
2024-10-17,10:19:13,event1 end,
2024-10-17,10:19:48,event2 start,
2024-10-17,10:21:10,event2 end,
2024-10-17,10:21:24,event3 start,
2024-10-17,10:21:46,event3 end,
2024-10-17,10:22:58,event4 start,
2024-10-17,10:23:16,event4 end,
2024-10-17,10:23:49,event5 start,
2024-10-17,10:25:16,event5 end,
2024-10-17,10:27:00,event6 start,
2024-10-17,10:27:45,event6 end,
2024-10-17,10:28:09,event7 start,
2024-10-17,10:28:53,event7 end,
2024-10-17,10:30:40,event8 start,
2024-10-17,10:31:48,event8 end,
2024-10-17,10:31:37,event9 start,
2024-10-17,10:32:14,event9 end,
2024-10-17,10:32:58,event10 start,
2024-10-17,10:33:08,event10 end,
2024-10-17,10:33:15,event11 start,
2024-10-17,10:34:33,event11 end,
2024-10-17,10:34:34,event12 start,
2024-10-17,10:35:29,event12 end,
2024-10-17,10:35:37,event13 start,
2024-10-17,10:36:07,event13 end,
2024-10-17,10:36:54,event14 start,
2024-10-17,10:37:29,event14 end,Accident!
2024-10-17,10:37:44,event15 start,
2024-10-17,10:38:26,event15 end,
2024-10-17,10:38:48,event16 start,
2024-10-17,10:39:07,event16 end,
2024-10-17,10:39:25,event17 start,
2024-10-17,10:39:38,event17 end,
