2025-01-21,13:45:24,event1 start
2025-01-21,13:46:35,event2 start
2025-01-21,13:47:16,event2 end
2025-01-21,13:47:39,event3 start
2025-01-21,13:48:01,event3 end
2025-01-21,13:49:06,event4 start
2025-01-21,13:49:25,event4 end
2025-01-21,13:49:56,event5 start
2025-01-21,13:51:16,event5 end
2025-01-21,13:53:11,event6 start
2025-01-21,13:53:57,event6 end
2025-01-21,13:54:22,event7 start
2025-01-21,13:55:09,event7 end
2025-01-21,13:56:25,event8 start
2025-01-21,13:57:31,event8 end
2025-01-21,13:57:21,event9 start
2025-01-21,13:57:57,event9 end
2025-01-21,13:58:36,event10 start
2025-01-21,13:58:46,event10 end
2025-01-21,13:58:52,event11 start
2025-01-21,13:59:59,event11 end
2025-01-21,13:59:59,event12 start
2025-01-21,14:00:53,event12 end
2025-01-21,14:01:00,event13 start
2025-01-21,14:01:38,event13 end
2025-01-21,14:02:06,event14 start
2025-01-21,14:02:22,event14 end
2025-01-21,14:02:39,event15 start
2025-01-21,14:03:24,event15 end
2025-01-21,14:03:35,event16 start
2025-01-21,14:03:51,event16 end
2025-01-21,14:04:06,event17 start
2025-01-21,14:04:20,event17 end
2025-01-21,14:04:31,the end
