User,BrakeType,Event,Trial_no,Event_period,Speed_avg,Handle_avg,Brake_avg,Speed_std,Handle_std,Brake_std,Brake_feq,GSR_avg,GSR_std,GSR_max,GSR_min,GSR_range,GSR_peaks,GSR_Z_avg,SCR_avg,SCR_std,SCR_max,SCR_min,SCR_range,GSR_time_to_stable,SCR_duration_unstable,SCR_peaks,SCR_Z_avg,PPG_avg,PPG_std,PPG_max,PPG_min,PPG_range,PPG_peaks,HR_bpm,HRV_ibi,SDNN,RMSSD,pNN50,Leye_dist_avg,Reye_dist_avg,Leye_open_avg,Reye_open_avg,Leye_blink_rate,Reye_blink_rate,eye_blink_rate,Angry_avg,Disgust_avg,Fear_avg,Happy_avg,Neutral_avg,Sad_avg,Surprise_avg,Emotion1,Emotion2
1,A,1,1,246.0,,,,,,,,2.9212155898798344,0.5035562543082567,4.164564132285836,1.248229122793583,2.9163350094922533,19,0.2888024348433732,9.071905348335953e-05,0.007011085975918126,0.0232428828117763,-0.0167929198626115,0.0400358026743878,1037037642.0,28247,23,0.017318050417045892,1387.992426555915,327.21394186413613,2798.5347985347985,0.0,2798.5347985347985,518,57.30337078651686,1047.0588235294117,145.99616054106892,174.16467303484174,0.6833333333333333,21.260299130843425,25.182970057899976,0.9210836277974087,0.8951707891637221,0.3780487804878049,0.46747967479674796,0.6056910569105691,0.16552971019552415,0.012748503611012959,0.15195255454652531,0.013304876655382804,0.3726845656167844,0.25461076211972905,0.02916902675294464,Neutral,Sad
2,B,1,1,275.0,,,,,,,,2.403033954638605,0.836964741890806,4.41003617337118,1.0845845986975784,3.325451574673602,38,0.010711447836810106,-0.00029212856076406393,0.005453885196472825,0.0239910416976911,-0.0192743345424122,0.0432653762401033,1036934930.0,43969,56,-0.009082880661776923,1390.6310352417436,296.18969427537127,2648.351648351648,0.0,2648.351648351648,1012,55.774647887323944,1075.7575757575758,100.09178524190149,155.21246435421702,0.6022727272727273,1.2995434702033672,1.3738713288499598,0.9785696486419138,0.9666085223025168,0.24363636363636362,0.36363636363636365,0.41818181818181815,0.16304849511188638,0.012786940130575629,0.1665043672810865,0.00919219111816347,0.3661826507176676,0.24215336741839025,0.040131988139023175,Neutral,Sad
3,C,1,1,247.0,,,,,,,,2.5250223496423407,1.2468636972108862,6.567880435476255,1.0239442950739863,5.543936140402268,69,0.14871498271110226,-0.0006011643754076989,0.006831391435731133,0.0936698036762657,-0.074178375552619,0.1678481792288847,518540670.0,45027,119,-0.04585269083148752,1395.285895423258,270.2065104657412,2777.289377289377,0.0,2777.289377289377,1896,63.676731793960926,942.2594142259414,161.10471030773397,157.98734126505198,0.432,1.2677292391848853,1.3594190853431736,0.9636413717118855,0.9374741771105908,0.7368421052631579,1.1417004048582995,1.3076923076923077,0.1234478673224074,0.008136161008197218,0.1366494772911445,0.016887771729370612,0.46178460050530223,0.20871693057292381,0.044377192685731995,Neutral,Sad
4,D,1,1,249.0,,,,,,,,2.34531266699782,0.9669826357254212,7.183139056612963,1.094329743412525,6.0888093132004375,62,0.09203256355832984,-0.0004888677481939148,0.008845123772449903,0.0737359439933997,-0.0454661980566042,0.1192021420500039,518411811.0,37211,146,-0.05936618501969251,1394.3760803174005,277.79619932923305,2748.7179487179487,0.0,2748.7179487179487,1559,53.516295025728986,1121.1538461538462,101.59599186055608,126.49110640673517,0.4,1.495812713205153,1.552196111381585,0.9498081841432225,0.9485294117647058,0.9518072289156626,0.9518072289156626,1.2730923694779117,0.11694493202250639,0.007892283493999362,0.1332538029366848,0.016443849646875,0.4791134787219469,0.19625755081930946,0.05009410202205882,Neutral,Sad
5,A,1,1,245.0,,,,,,,,3.590719355796424,3.1917333023139816,11.66109478034706,0.3859518473791126,11.275142932967947,54,0.1049352741061181,-0.0008595222622589398,0.00666294668313698,0.0564354170832279,-0.0281472006316692,0.0845826177148971,1123201983.0,66866,121,-0.053254933088938486,1395.392476420628,243.9748308868803,2706.227106227106,0.0,2706.227106227106,1906,64.9789029535865,923.3766233766233,145.40235612884405,135.400640077266,0.3177083333333333,1.7111952805393702,1.6421397088836365,0.9754713832804939,0.9512764892374437,0.3306122448979592,0.746938775510204,0.8734693877551021,0.1438112034730519,0.01083064973577507,0.15250107246187217,0.010757351809834809,0.408487464074587,0.21796923583263808,0.05564302295658269,Neutral,Sad
6,B,1,1,251.0,,,,,,,,4.700488710785664,3.6317407703815876,10.822501979331111,1.2664377344489937,9.556064244882117,33,0.16505530600611112,0.00019527657674020302,0.004908524954731999,0.024321306278531,-0.0133032766791447,0.0376245829576757,1036802788.0,34592,73,-0.02845413120806566,1390.9161010236278,220.11894068808624,2257.142857142857,0.0,2257.142857142857,1094,85.01892915089238,705.7251908396946,122.4964902712742,166.45246173712368,0.6307339449541285,1.4766504159778524,1.6482841553615228,0.9818566676746295,0.9594798911400061,0.19123505976095617,0.3944223107569721,0.43824701195219123,0.14199405298415482,0.009339589670931358,0.151383984010886,0.00486919585009374,0.4306967327412156,0.2105889190764439,0.05112752564275779,Neutral,Sad
7,C,1,1,259.0,,,,,,,,3.2625527197680246,3.148935826327274,10.391451761963928,0.7754216337313854,9.616030128232543,71,0.033911029995838324,-4.5299445809356774e-06,0.00479845653098647,0.0401636241009155,-0.0161997491965557,0.0563633732974712,1123273612.0,-691298764,145,-0.015242880724745373,1395.2344263855368,209.4556851982598,2289.3772893772893,0.0,2289.3772893772893,1725,65.36023054755043,917.989417989418,157.84320092578344,179.96850826633903,0.29554655870445345,1.3664348826939487,1.4242298001320506,0.9880373073803731,0.9693836171938361,0.14671814671814673,0.3938223938223938,0.42857142857142855,0.15170404559955394,0.010686992004997974,0.14774053111962693,0.009984893797814276,0.40831558355515,0.2306644780287916,0.04090347653134631,Neutral,Sad
8,D,1,1,252.0,,,,,,,,3.699840776514085,3.247073916295072,12.3674151044515,0.5941103237506767,11.773304780700823,71,-0.06638086521328408,-0.0003826647549265048,0.00614262164981094,0.050892807803315,-0.0195533178410149,0.07044612564432991,1123264417.0,71401,163,-0.01242142754002243,1392.9521860870816,251.16464905055358,2812.454212454212,0.0,2812.454212454212,2013,63.523956723338486,944.5255474452555,142.4087404176023,139.4095701470583,0.3672316384180791,1.988150557340919,1.9298245700426468,0.984230833752726,0.9681261533299782,0.1865079365079365,0.4603174603174603,0.49206349206349204,0.153860717828049,0.0112529855556769,0.14697165911642343,0.006251267580922665,0.4097722985977186,0.2313338314722362,0.04055724047523906,Neutral,Sad
9,A,1,1,275.0,,,,,,,,2.4683426051936026,1.6156992708431681,5.186076083919779,0.378200438352671,4.8078756455671074,71,-0.09430812729521529,-3.4554035209573695e-05,0.006803685877875196,0.0468280948580894,-0.0352154589430866,0.082043553801176,58393.0,47856,118,0.008861960365159178,1397.986436545129,278.7168496926396,2780.9523809523807,0.0,2780.9523809523807,1518,86.54934003771213,693.2461873638345,122.51062095105219,175.37474881238862,0.592436974789916,1.545332755185327,1.5898553302453806,0.977119389850396,0.9621589909064242,0.13454545454545455,0.2690909090909091,0.31272727272727274,0.24120558219683194,0.0259693712737753,0.19873915473511297,0.009995618084262244,0.2390910666350836,0.23912501651628043,0.04587419008530361,Angry,Sad
10,B,1,1,262.0,,,,,,,,2.1464466643620916,1.4866752254344882,4.679553029124451,0.3316900201581897,4.347863008966261,39,0.028818915577544492,-0.00018788427491081498,0.005250756273266835,0.035206187914619,-0.0168003242399885,0.0520065121546075,1209686237.0,21067,88,-0.018241834746880712,1395.5456900724514,237.2031389521525,2284.2490842490843,0.0,2284.2490842490843,891,83.58938547486034,717.7944862155389,152.04256055534168,154.91933384829667,0.312,1.4557910168653967,1.5967555833382965,0.9940570522979397,0.9904912836767037,0.05725190839694656,0.08778625954198473,0.09923664122137404,0.26397385833399367,0.026773876193700478,0.2093531425435816,0.0038606016756497622,0.21689537487916008,0.23559061069334392,0.043552536148019017,Angry,Sad
