timestamp,date,time,time(ms),GSR,SCR,PPG,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise,Emotion,Leye_X,Leye_Y,Reye_X,Reye_Y,Leye_open,Reye_open
2589007.0,2024-12-05,13:45:37,1733373937318,0.6560222588097152,0.0,0.7326007326007326,0.20241715,0.0078662075,0.08172897,0.0006402111,0.3056648,0.40066922,0.001013461,Sad,308,244,351,242,0,0
2595560.0,2024-12-05,13:45:37,1733373937550,0.6644688644688646,0.008446605659149342,0.7326007326007326,0.13764213,0.004306897,0.07542433,0.0012526119,0.46147892,0.31794107,0.0019540153,Neutral,299,241,343,239,1,1
2602113.0,2024-12-05,13:45:37,1733373937767,0.6577866577866578,-0.006682206682206759,0.7326007326007326,0.16888158,0.006118129,0.08431172,0.0010673937,0.38851535,0.3491684,0.0019374933,Neutral,287,242,331,239,1,1
2608666.0,2024-12-05,13:45:37,1733373937999,0.6604506604506605,0.002664002664002685,0.0,0.16449462,0.005911807,0.08461761,0.001150229,0.39894655,0.34278834,0.0020908588,Neutral,286,243,330,239,1,1
2615219.0,2024-12-05,13:45:38,1733373938214,0.6622266622266622,0.0017760017760016789,0.7326007326007326,0.16093102,0.006159934,0.0889648,0.001466027,0.41325587,0.32644024,0.0027821285,Neutral,296,243,340,238,1,1
2621772.0,2024-12-05,13:45:38,1733373938444,0.6635586635586636,0.001332001332001398,0.0,0.16892722,0.006949182,0.090103135,0.0017667975,0.37853244,0.35148916,0.0022320265,Neutral,302,244,347,239,1,1
2628325.0,2024-12-05,13:45:38,1733373938677,0.6644466644466646,0.000888000888001006,0.0,0.1756035,0.007494775,0.08461629,0.0015955026,0.33143446,0.39804557,0.0012099873,Sad,310,247,353,242,0,1
2634878.0,2024-12-05,13:45:38,1733373938895,0.6657786657786658,0.001332001332001287,0.0,0.18981884,0.008688768,0.08573389,0.0013697904,0.30370936,0.40960333,0.0010760209,Sad,311,247,355,243,0,0
2641431.0,2024-12-05,13:45:39,1733373939108,0.6666666666666667,0.0008880008880008949,0.0,0.1754405,0.0071758092,0.08298829,0.0014103485,0.3332168,0.39864087,0.0011273435,Sad,310,247,354,243,0,0
2647984.0,2024-12-05,13:45:39,1733373939322,0.6688866688866689,0.002220002220002182,0.7326007326007326,0.15326416,0.0042264457,0.06837767,0.0005860076,0.4084241,0.36421335,0.0009082805,Neutral,308,247,352,243,0,1
2654537.0,2024-12-05,13:45:39,1733373939538,0.6724386724386725,0.0035520035520035798,0.7326007326007326,0.20100294,0.008814219,0.08776679,0.001015105,0.2971743,0.40299383,0.0012328452,Sad,308,247,352,243,0,0
2661090.0,2024-12-05,13:45:39,1733373939756,0.6764346764346765,0.003996003996003972,1315.7509157509157,0.20103012,0.008970762,0.087770514,0.0010662845,0.29668605,0.40327024,0.0012060725,Sad,307,247,352,243,1,0
2667643.0,2024-12-05,13:45:39,1733373939967,0.6813186813186813,0.004884004884004867,1330.4029304029302,0.20156789,0.008829567,0.088179894,0.0010040492,0.29891774,0.4002329,0.0012679208,Sad,307,246,352,243,0,0
2674196.0,2024-12-05,13:45:40,1733373940190,0.6866466866466866,0.005328005328005259,1334.7985347985348,0.20791364,0.009839222,0.090577945,0.0011028328,0.28634644,0.4029266,0.0012932695,Sad,307,247,351,243,1,0
2680749.0,2024-12-05,13:45:40,1733373940391,0.6928626928626929,0.006216006216006265,1345.7875457875457,0.17423868,0.007245034,0.0895616,0.001623371,0.36391467,0.36143184,0.0019847995,Neutral,307,245,351,242,1,1
2687302.0,2024-12-05,13:45:40,1733373940618,0.6973026973026972,0.004440004440004364,1350.9157509157508,0.16891265,0.007856914,0.102749206,0.002622204,0.3808597,0.33299533,0.004003903,Neutral,308,245,352,241,1,1
2693855.0,2024-12-05,13:45:40,1733373940846,0.7004107004107003,0.0031080031080030768,1356.0439560439559,0.15765235,0.0067103887,0.09564005,0.002565264,0.40514952,0.32885426,0.0034280992,Neutral,308,245,352,241,1,1
2700408.0,2024-12-05,13:45:41,1733373941082,0.7012987012987013,0.000888000888001006,1359.7069597069597,0.1675492,0.007070068,0.09294643,0.0019700672,0.38316172,0.34464526,0.0026572368,Neutral,308,245,352,241,1,1
2706961.0,2024-12-05,13:45:41,1733373941308,0.7008547008547008,-0.000444000444000503,1362.6373626373625,0.17990555,0.007852411,0.09213116,0.0016626464,0.3493337,0.36707538,0.0020390858,Sad,308,246,352,242,1,1
