date,time,speed,brake,handle
2024-10-17,16:50:59,10,-0.000106838,-11.29121
2024-10-17,16:50:59,10,-0.000106838,-11.46978
2024-10-17,16:50:59,10,-0.000106838,-11.66209
2024-10-17,16:51:00,10,-0.000106838,-11.90934
2024-10-17,16:51:00,10,-0.000106838,-13.43407
2024-10-17,16:51:00,10,-0.000106838,-13.43407
2024-10-17,16:51:00,11,-0.000106838,-13.43407
2024-10-17,16:51:00,11,-0.000106838,-13.43407
2024-10-17,16:51:00,11,-0.000106838,-13.43407
2024-10-17,16:51:00,11,-0.000106838,-13.26923
2024-10-17,16:51:00,11,-0.000106838,-13.25549
2024-10-17,16:51:00,12,-0.000106838,-13.20055
2024-10-17,16:51:00,12,-0.000106838,-13.18681
2024-10-17,16:51:00,12,-0.000106838,-13.17308
2024-10-17,16:51:00,12,-0.000106838,-11.73077
2024-10-17,16:51:00,13,-0.000106838,-11.63462
2024-10-17,16:51:00,13,-0.000106838,-11.5522
2024-10-17,16:51:00,13,-0.000106838,-11.44231
2024-10-17,16:51:00,13,-0.000106838,-11.22253
2024-10-17,16:51:00,13,-0.000106838,-7.843407
2024-10-17,16:51:00,14,-0.000106838,-7.664835
2024-10-17,16:51:00,14,-0.000106838,-7.431319
2024-10-17,16:51:00,14,-0.000106838,-7.348901
2024-10-17,16:51:00,14,-0.000106838,-7.06044
2024-10-17,16:51:00,14,-0.000106838,-3.200549
2024-10-17,16:51:00,15,-0.000106838,-3.021978
2024-10-17,16:51:00,15,-0.000106838,-2.82967
2024-10-17,16:51:00,15,-0.000106838,-2.747253
2024-10-17,16:51:00,15,-0.000106838,-2.513736
2024-10-17,16:51:00,15,-0.000106838,1.304945
2024-10-17,16:51:00,16,-0.000106838,1.483516
2024-10-17,16:51:00,16,-0.000106838,1.703297
2024-10-17,16:51:00,16,-0.000106838,1.881868
2024-10-17,16:51:00,16,-0.000106838,2.06044
2024-10-17,16:51:00,17,-0.000106838,5.412088
2024-10-17,16:51:00,17,-0.000106838,5.521978
2024-10-17,16:51:00,17,-0.000106838,5.673077
2024-10-17,16:51:00,17,-0.000106838,5.755495
2024-10-17,16:51:00,17,-0.000106838,5.934066
2024-10-17,16:51:00,18,-0.000106838,7.774725
2024-10-17,16:51:00,18,-0.000106838,7.843407
2024-10-17,16:51:00,18,-0.000106838,7.925825
2024-10-17,16:51:00,18,-0.000106838,7.953297
2024-10-17,16:51:00,19,-0.000106838,8.008242
2024-10-17,16:51:00,19,-0.000106838,8.131868
2024-10-17,16:51:00,19,-0.000106838,8.131868
2024-10-17,16:51:00,19,-0.000106838,8.131868
2024-10-17,16:51:00,20,-0.000106838,8.131868
2024-10-17,16:51:00,20,-0.000106838,8.131868
2024-10-17,16:51:00,20,-0.000106838,8.131868
2024-10-17,16:51:00,20,-0.000106838,8.131868
2024-10-17,16:51:00,21,-0.000106838,8.131868
2024-10-17,16:51:01,21,-0.000106838,8.131868
2024-10-17,16:51:01,21,-0.000106838,7.664835
2024-10-17,16:51:01,21,-0.000106838,7.582418
2024-10-17,16:51:01,22,-0.000106838,7.513737
