User,Support,Event,Trial_no,Event_period,Speed_avg,Handle_avg,Brake_avg,Speed_std,Handle_std,Brake_std,GSR_avg,GSR_std,GSR_max,GSR_min,GSR_range,GSR_peaks,GSR_Z_avg,SCR_avg,SCR_std,SCR_max,SCR_min,SCR_range,GSR_time_to_stable,SCR_duration_unstable,SCR_peaks,SCR_Z_avg,PPG_avg,PPG_std,PPG_max,PPG_min,PPG_range,PPG_peaks,HR_bpm,HRV_ibi,SDNN,RMSSD,pNN50,Leye_dist_avg,Reye_dist_avg,Leye_open_avg,Reye_open_avg,Angry_avg,Disgust_avg,Fear_avg,Happy_avg,Neutral_avg,Sad_avg,Surprise_avg,Emotion1,Emotion2
1,o,1,1,56.0,70.65600501724678,-0.005608218730009404,0.00193185403323926,26.126871935023797,1.0814163405983546,0.031870457644428786,1.3931823365961538,0.1833905658086135,1.901098901,0.998778999,0.9023199019999999,17,0.019246585142857108,0.0019464661923076926,0.020480660088346446,0.108424908,-0.033699634,0.142124542,3000.0,6000.0,55,0.11339789599725275,1397.1521152994505,82.50660023139514,1644.688645,1261.538462,383.15018299999997,97,,,,,,1.0797750939920323,1.094949448799763,0.989010989010989,0.9725274725274725,0.21011026313186812,0.012295179760989011,0.11370151889010989,0.001975081434065934,0.3005858837362637,0.3575627374175823,0.003769333041208791,Sad,Neutral
1,o,2,1,50.0,68.75665024630541,0.10497301564860431,-0.00010683799999999996,15.763764794517938,2.0497532209087796,4.0664259234773286e-20,1.4447714357218044,0.08576614138932039,1.624175824,1.253191253,0.37098457099999993,8,0.21498267069924812,0.0007085646616541355,0.012911139066588258,0.065290265,-0.019047619,0.084337884,52000.0,0.0,20,0.034402020105263185,1397.6699992030076,80.26099348741532,1566.300366,1286.446886,279.85348,40,,,,,,1.4053519486706783,1.719038649625531,0.9924812030075187,0.9548872180451128,0.22492492812030074,0.016713998571428572,0.12326486509022555,0.0022734603233082705,0.2928045273684211,0.3349447608270677,0.005073461932330827,Sad,Sad
1,o,3,1,24.0,60.14004796163069,-0.015139537976019201,-0.00010683799999999996,13.273642688005092,0.5422334327162451,4.0667334996346774e-20,1.0885537867928996,0.06600978934815938,1.253191253,0.990786991,0.262404262,9,-1.1365557234911243,-0.001287338550295858,0.0022455674082896273,0.007548008,-0.006216006,0.013764014,44000.0,0.0,30,-0.09296523701183432,1398.6258317573963,77.16039888240732,1560.43956,1279.120879,281.31868099999997,46,,,,,,1.1510825015744321,1.1378343364505012,0.9644970414201184,0.9349112426035503,0.18803855573964495,0.00962620425443787,0.10608368779881655,0.0022277829940828405,0.3538029955621302,0.336555195443787,0.0036655797041420116,Neutral,Sad
1,o,4,1,18.0,72.12444444444445,-0.004105606816666661,-0.00010683799999999997,14.97342698026477,0.66772910270769,2.711258663250314e-20,1.1516308750531916,0.05529185598485795,1.314019314,1.05960706,0.254412254,6,-0.8972326388191489,-0.0013556183989361702,0.002619602229781047,0.007104007,-0.008880009,0.015984016,38000.0,0.0,30,-0.09732247087765956,1399.828540255319,73.69177423528436,1600.0,1273.260073,326.7399270000001,49,,,,,,1.1081707069547355,1.0811312909848965,0.9680851063829787,0.9521276595744681,0.19404713367021273,0.010413631202127661,0.1106831768031915,0.0022786198085106386,0.33961242558510635,0.338992124893617,0.00397288629787234,Neutral,Sad
1,o,5,1,92.0,46.74777562862669,0.04031075029013542,0.008975143493230173,24.500011250030894,1.298412218083823,0.0716223441547588,1.2694108480504855,0.2497911276570131,2.138461538,1.036519037,1.1019425010000001,21,-0.4503593408485437,0.0011497887339805826,0.018019874350057894,0.126517927,-0.042490842,0.169008769,3000.0,5000.0,95,0.06255844541165048,1400.6244887902913,81.47998256879333,1600.732601,1254.212454,346.52014699999995,136,,,,,,1.1529724154842844,1.3132593636522174,0.9592233009708738,0.9359223300970874,0.18696025687378642,0.00985280635339806,0.1057117151669903,0.0021813338446601944,0.3574563619029126,0.33410458431067963,0.0037329397165048544,Neutral,Sad
1,o,6,1,53.0,77.6985119047619,0.018429506803571426,0.0014854782934523808,14.129031473668006,4.5108248612026856,0.01854589857347965,1.3985564837623188,0.29227773733621454,2.40952381,1.114219114,1.295304696,10,0.03963683321449277,-0.00030513763768115926,0.018956388995842028,0.181884782,-0.046886447,0.228771229,62000.0,3000.0,66,-0.03028672864927536,1401.450337110145,81.03585560449743,1684.981685,1269.59707,415.38461499999994,89,,,,,,1.2359148911646864,1.2761863261640787,0.9449275362318841,0.9217391304347826,0.19244431010144927,0.010643905104347826,0.10946001759710146,0.002288974260869565,0.34960981753623194,0.3314071634782609,0.004145811171014493,Neutral,Sad
1,o,8,1,74.0,15.596503496503496,27.45190361938928,0.08862632850209791,20.947026790172494,50.75555767315021,0.13371940578610034,1.6483491682316074,0.37727986156909704,2.576556777,1.045399045,1.531157732,22,0.9873843820708447,0.001813868866485014,0.02422350804351986,0.127472527,-0.073260073,0.20073259999999998,36000.0,5000.0,69,0.10493628442506814,1397.0835703896457,82.09492112457795,1612.454212,1254.945055,357.5091570000002,100,,,,,,1.625494791061719,1.6976955133791276,0.9782016348773842,0.9455040871934605,0.2040119124904632,0.012885364686648502,0.11766445140871935,0.002678575269754768,0.3235397594005449,0.3341450646049046,0.005074868983651227,Sad,Sad
1,o,9,1,45.0,59.721008403361346,20.42178882019832,0.01847706715226891,33.883034087619436,48.16044271886378,0.06837002137675753,1.4757271872065574,0.309709050018859,2.241025641,1.097347097,1.1436785439999997,9,0.3324330181245902,-0.002716918770491803,0.014943680245195086,0.0996337,-0.073260073,0.172893773,53000.0,1000.0,62,-0.18419296301639343,1401.8591244918034,77.68697488085463,1600.0,1278.388278,321.6117220000001,77,,,,,,1.288652775625563,1.4079272491999981,0.9737704918032787,0.9377049180327869,0.19355705289836064,0.010673806537704918,0.1135237327639344,0.0026762065803278686,0.3388560975737705,0.3360823001967213,0.004630802537704918,Neutral,Sad
1,o,10,1,11.0,81.46174678402167,0.04452895603926881,-0.00010683799999999994,13.500353520747547,3.1650371919124454,5.422846937285395e-20,1.2419906974709676,0.239163576187822,1.836630037,0.938394938,0.898235099,5,-0.554395135767742,0.002220718303225807,0.016722940986712887,0.098279498,-0.030769231,0.129048729,5000.0,1000.0,26,0.13089911488387096,1399.4611840129035,84.76409820652877,1617.582418,1251.282051,366.30036700000005,39,,,,,,0.8943379224892434,1.014783819406707,0.9741935483870968,0.9612903225806452,0.1983900473548387,0.011482861993548388,0.11618465549032259,0.0026658675161290325,0.33108809322580646,0.3356004409032258,0.0045880300064516134,Sad,Neutral
1,o,11,1,97.0,54.97228340675477,0.02602277205396476,0.0005910859207048459,21.09894693437052,2.2611702009924786,0.007539470827452688,1.6625960522800687,0.21776523503326567,2.421245421,1.352647353,1.068598068,25,1.0414390052835052,-0.00012610526116838501,0.022474062953105067,0.150915751,-0.055677656,0.20659340699999998,51000.0,4000.0,97,-0.018861894702749144,1398.7840338350516,83.33624491671507,1657.142857,1269.59707,387.545787,145,,,,,,1.0122342127112565,1.0677089208408417,0.9776632302405498,0.9604810996563574,0.2067992059621993,0.011823121324742268,0.1152064246701031,0.0020646314415807563,0.32045811682130587,0.3393202673539519,0.004328231053264605,Sad,Neutral
